#Transcript position	Transcript coverage profile
0.0	24981.021486889273
1.0	30782.08482204742
2.0	26943.023295004637
3.0	25941.22852999218
4.0	29663.453289926365
5.0	33509.82125050412
6.0	36319.184584244904
7.0	37353.55293739943
8.0	38686.98949238269
9.0	41891.464810778576
10.0	45086.605353765226
11.0	50432.791481655615
12.0	63957.66039382464
13.0	69968.44388523498
14.0	70993.38857734189
15.0	73646.20800207976
16.0	76053.05876730208
17.0	76158.03064808914
18.0	74574.54411013484
19.0	71737.08577975906
20.0	74616.46822803657
21.0	80578.77157285581
22.0	81703.70304590273
23.0	80721.85385279711
24.0	79990.18179672508
25.0	81810.50175447992
26.0	82365.83800446424
27.0	84786.64365827506
28.0	87406.48206704768
29.0	86196.23317673386
30.0	85209.98015315895
31.0	87086.0913999045
32.0	92149.77965841061
33.0	95449.87886109443
34.0	96659.88094135936
35.0	96350.72094492307
36.0	94370.67814572556
37.0	94456.20636436454
38.0	95565.8066818777
39.0	98385.71333525315
40.0	103298.10854818944
41.0	108049.60468283818
42.0	110913.55375365721
43.0	111014.07009784276
44.0	108116.88936478029
45.0	107567.22614491239
46.0	108339.36378554304
47.0	109100.43296730798
48.0	109871.94979886545
49.0	110063.3727289273
50.0	110624.42480485344
51.0	113643.67882463364
52.0	117423.24478438117
53.0	121391.70942667536
54.0	122714.85697541079
55.0	118308.60799227974
56.0	117779.47567408567
57.0	114540.38130725895
58.0	114509.5543333978
59.0	114610.84153239039
60.0	115793.91825175133
61.0	112336.36574330267
62.0	113274.05462111326
63.0	105346.49064533407
64.0	97784.4078447809
65.0	95146.97212750139
66.0	94420.46841974856
67.0	94481.20905281563
68.0	93347.14447698572
69.0	92494.81063366866
70.0	90971.31671239763
71.0	88207.45737131035
72.0	88034.37129836959
73.0	88332.26996616148
74.0	88768.63300331504
75.0	83256.7346335242
76.0	77551.96633672412
77.0	75581.57561964245
78.0	75590.72161865525
79.0	74133.01473588268
80.0	74540.7885513977
81.0	76326.53157517404
82.0	78221.28655049636
83.0	76647.21283290096
84.0	75403.97301574696
85.0	70500.09254529353
86.0	62451.55156856848
87.0	54872.49264505973
88.0	50347.04495373274
89.0	49097.96338035618
90.0	46894.75169288154
91.0	44125.746301353036
92.0	39417.602188165736
93.0	37236.70131550334
94.0	33956.014564184916
95.0	30643.0820563836
96.0	26506.209516833525
97.0	18562.393277382616
98.0	10546.682700840314
99.0	2865.2982232842783
