#Transcript position	Transcript coverage profile
0.0	68168.49411927076
1.0	76793.53826522583
2.0	74892.31709087345
3.0	77477.96527260436
4.0	88437.19249951311
5.0	95899.3746471384
6.0	100042.25852968491
7.0	105904.14351499217
8.0	111950.59041113904
9.0	119205.82350233837
10.0	125573.54770184701
11.0	133715.55568302414
12.0	150614.22822119182
13.0	160201.26817759595
14.0	165102.36900723478
15.0	172410.78447691386
16.0	178834.7180778482
17.0	182401.7685841904
18.0	184262.67268687737
19.0	183779.51609116027
20.0	189088.33974345058
21.0	196703.16119483687
22.0	199778.58066313312
23.0	201871.61891951395
24.0	203620.11306670206
25.0	207809.01458908734
26.0	211354.65277114898
27.0	215654.4054281191
28.0	221289.27298855805
29.0	223144.09303085192
30.0	224687.92801484693
31.0	228653.7701064923
32.0	236588.63056028547
33.0	244082.14612624815
34.0	246213.38263988326
35.0	246225.5742422525
36.0	245833.08163573424
37.0	247239.58907082112
38.0	249652.64529026864
39.0	254051.29869424738
40.0	260319.8191753271
41.0	265855.83701114607
42.0	270852.3317839036
43.0	273037.3760733573
44.0	271921.8896110168
45.0	272379.13945364644
46.0	273117.4141566686
47.0	275356.7952524359
48.0	277776.23144863255
49.0	277754.9797663338
50.0	277936.090729373
51.0	281266.4400741577
52.0	286540.82996069954
53.0	291795.1435598423
54.0	295693.13274368795
55.0	292732.7961966636
56.0	294728.8696095847
57.0	292130.7866704967
58.0	291199.49491211405
59.0	291637.36019243445
60.0	293500.32165882655
61.0	290420.7627644755
62.0	290905.0347196631
63.0	282464.09768787556
64.0	276086.085800641
65.0	273623.9705331507
66.0	271773.63799184567
67.0	270985.8942763317
68.0	268144.9897258908
69.0	268146.39928476186
70.0	269076.8231912526
71.0	267746.76460962417
72.0	267926.8936550298
73.0	268193.3664205071
74.0	269274.0225800301
75.0	264076.43929674657
76.0	258687.77213444462
77.0	255871.10554511196
78.0	252656.33089934557
79.0	247423.61500789237
80.0	246972.4915163389
81.0	250650.87731205052
82.0	251928.0900265101
83.0	249285.76084074166
84.0	246972.52634808538
85.0	238004.81528692684
86.0	225649.50894742284
87.0	215561.90104148182
88.0	209151.1303262165
89.0	208811.31054279907
90.0	206069.80137082096
91.0	201381.05438866685
92.0	192862.05624927394
93.0	187748.91700658633
94.0	183310.61367976398
95.0	173913.36658056919
96.0	157580.43661154123
97.0	126226.25093191583
98.0	83109.51820028636
99.0	27108.89146860192
