	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
18-w	5925.96191367555	-2.32165184373235	0.190284760874524	128.824593856055	7.40845056311864e-30	4.06867891589663e-28
5-HT1	9603.55717291126	-1.5862332627904	0.130067401418721	136.799856220923	1.33372796248159e-31	8.78138615297536e-30
5-HT2alpha	1713.04024365226	-0.383393014676367	0.167397030575361	5.1816528284306	0.0228266000563611	0.0406883004850197
5-HT2beta	619.559318254501	-1.2289201014142	0.338737202242136	12.454114790439	0.000417071990250183	0.00108178183992346
5-ht7	332.580214099317	-0.554123067666392	0.247078622722986	4.94786618281022	0.0261228913607649	0.0458594028880373
A4	31803.2665851199	-2.13382853315661	0.596856929181951	11.2177460984405	0.000810188334046315	0.00198823854615178
Abscam	18211.6332912096	-1.83670067843308	0.231760143543049	56.5599984303748	5.45095139760648e-14	6.41927081254714e-13
Ac3	14747.3394436395	-1.30982934384613	0.153358127620195	68.4212661151733	1.32045842830538e-16	2.0649760144673e-15
AChE-2	40125.9292800243	-1.05067898121715	0.422146524528162	5.90826277923952	0.0150700261441736	0.0280848283947705
ACSF2	2733.63378206768	-1.01490557528214	0.262073604230951	14.3479071943974	0.000151948503125522	0.000424693500776301
AGLU2	23331.568407773	-6.26130062808313	0.603585945056623	62.6739039198393	2.43926376261889e-15	3.32543393896796e-14
Amih	11739.3813836472	-0.96573362635867	0.172999399789938	29.8850631961712	4.58430920260032e-08	2.30168869322931e-07
Ancr-1	482268.508825455	-0.476670706370994	0.184563444827684	6.56055599239519	0.0104263784747342	0.0201636972238351
Ant	133573.386951763	0.467176524878413	0.125673866441321	13.9249134254466	0.000190259874197529	0.000521953461695305
Antp	679.710194838546	0.834290375097293	0.284985001184528	8.64040141434818	0.00328788979232296	0.00710689552573
Apd-2	2223.74965491523	8.488001528	0.904865677742175	52.1513982476154	5.1382251548172e-13	5.30675161265791e-12
apd-3	29.2174504098304	2.4203208262061	0.98459826668102	5.82760410689919	0.0157765958529922	0.029265881082101
Apime-ASTA	2252.71627764468	-1.48686965515393	0.330761972136863	18.7128492822008	1.51955072284581e-05	5.02383845259264e-05
Argk	186384.622674253	0.949213905937492	0.169882270913137	31.4217293032538	2.07644029333282e-08	1.09421510318966e-07
Arp1	81727.4251013503	-0.298710391574414	0.125891607524534	5.57731674360303	0.0181945785561063	0.0332868292245279
B-gluc1	25389.9563809395	-1.12393906407021	0.348380468202492	9.88144595147426	0.00166953689477388	0.00383025015573941
BBIP1	1953.49919522603	0.237006359834584	0.098334962664945	5.83369542960875	0.0157220635389961	0.0291779744218269
Blop	225487.288747763	8.7774441256821	0.320606220451573	423.003287169834	5.4168994391134e-94	1.56927576751115e-90
Br-c	4697.16055575096	-1.54755920009611	0.251602209963269	34.8744979926812	3.51656850342207e-09	2.07012159937162e-08
brp	10761.1439216389	-1.12165176894158	0.338111213708497	10.4498411504609	0.00122660003300172	0.00289134279544832
c-mos	249.393578043151	0.86831663052032	0.202503145780985	18.5442708524147	1.66003427301953e-05	5.45251620060951e-05
C1q-VP	18748.3707149624	2.11651059701811	0.326512056038306	40.7053367122537	1.77003115910862e-10	1.26768362618978e-09
Cac	16764.309551661	-1.24271230274817	0.265049945649505	20.7063582579366	5.35379314195972e-06	1.91067924019185e-05
Camkii	85854.4870227653	-0.967931316989621	0.306953815841169	9.53236620832021	0.00201879673013441	0.00457089029089439
Cat	9187.4285327835	1.84502110001235	0.507582114726652	12.9659565112925	0.000317206357898709	0.000841719092129664
Cdk5	4437.66446153186	-0.438453537724722	0.110498693251959	15.5220527876875	8.15483259877565e-05	0.000238210738983141
Cox6b1	10145.8069501699	0.668347033918934	0.249077902174154	7.2592354666786	0.00705373133827868	0.0141269683283742
Cox6c	10472.7212310557	0.762900339578396	0.27803043120034	7.58924478987848	0.00587175418575191	0.0120027292510889
Cpap3-b	4449.66340048385	2.98209172030589	0.308611969184397	85.8325499109973	1.9583594654029e-20	4.53869389701776e-19
Cpap3-c	11152.4494806721	3.65477741020606	0.189587964688959	325.027099831044	1.1639015801429e-72	8.99152767379725e-70
CPF1	692.616726205023	1.03993365893045	0.413328908329978	6.36624240112501	0.0116311629665475	0.022244911116744
CPF2	6700.96736905591	2.85999764044286	0.209396098546082	173.019178160933	1.62099229579541e-39	2.13455212769059e-37
CPR17	149.058360891279	-1.45092813533894	0.21192199999597	44.7912972711194	2.19194762399718e-11	1.77748698858497e-10
CPR2	218.121885646848	3.99554200110475	0.459506388940288	66.2688682886875	3.93423619325795e-16	5.85988804723305e-15
CPR27	1448.52040264948	8.73982547328786	0.986061155776886	46.4855854276274	9.22949064148736e-12	7.9574056929352e-11
CPR4	825.72977126043	-0.698109417700275	0.12490443080822	30.5844924777103	3.19638383443377e-08	1.64474670841113e-07
CPR5	8086.13076764507	6.43494299136415	0.579968527783452	84.6215691446655	3.61302129557026e-20	8.17728335411488e-19
CPR6	1641.22685796248	-2.23193488320243	0.703454813026436	8.76098821043536	0.0030774225600346	0.00670322793715807
crh-BP	1824.90833047523	-1.276356851184	0.266597627540948	21.560255992292	3.42884131749368e-06	1.26781790641725e-05
Crz	162.307740676074	-3.52755601295061	0.342556900234371	90.5880807902327	1.76922951665232e-21	4.61752964841601e-20
Crzr	248.265799598324	-1.6214747485447	0.541154114363123	8.27183038233822	0.00402648930330048	0.00855029467594759
Csd	8480.61865326841	2.59443409446785	0.19923357387848	159.971275801177	1.1479533279557e-36	1.23171140410654e-34
CSP1	799.143848729083	-1.81680748454498	0.570857152329424	9.14907380981759	0.00248843991891753	0.00553793773389981
CSP3	120378.454255139	-1.16270633958564	0.486618418654998	5.40590338312498	0.0200687592597342	0.0363143007966583
CSP6	4104.66514833578	-3.72842911878102	0.483091354385753	44.8341838915064	2.14446039097749e-11	1.74263723777329e-10
CUTA	1020.96286720659	1.36082306193316	0.205273209307385	43.8907095158482	3.47233184817559e-11	2.71874199031478e-10
Cyp314a1	2747.95453048573	-0.740463258339377	0.162660880372098	20.1459482166119	7.17520796565198e-06	2.50894115588338e-05
Cyp4g11	3034.36701540614	-2.19451845504852	0.575534084916067	12.7003222743457	0.00036559256330738	0.00095804763084711
CYP6AQ1	1710.01533453906	2.63190414420746	0.525359839070273	23.6098994330818	1.1797900354724e-06	4.68519771454907e-06
Cyp6as5	1703.26922197579	-3.18242064250387	0.562146636214262	25.520070083715	4.37804957923307e-07	1.87899401941307e-06
Dat	6146.12619796477	4.03331926583178	0.204442082161665	330.962823344986	5.93040100005834e-74	5.28626821451355e-71
DHRS4	1242.91413177143	0.823425729717394	0.297957092159808	7.69381152033898	0.0055410484846019	0.0114109951731947
Dl	12563.4280172433	-1.84970838000401	0.140776302114849	155.461359918002	1.11012894200601e-35	1.09018425253946e-33
Dll	10007.3517497581	-1.99476075545031	0.176760291018385	113.264737841153	1.88805312738371e-26	7.84184933337722e-25
Dnmt3	5968.16879688094	-0.74085154346343	0.198143310692945	13.5822384978924	0.000228335779850465	0.000618647420366423
Dop1	4780.84278830334	-1.28239153428242	0.291092464692423	18.2347684972195	1.95281305139134e-05	6.36187732345314e-05
Dop3	1830.58645486996	-2.28111714554721	0.222820200368977	91.3361982514221	1.21222675891125e-21	3.251686037561e-20
DopR2	3594.77642046554	-2.00858520305868	0.213045579172345	79.067126511792	6.00350251768531e-19	1.18515480706878e-17
Dscam	36352.574454374	-1.46312683433042	0.292878753564156	23.1388637453124	1.50713520564392e-06	5.89823801519815e-06
Dsx	3511.26709875918	-1.24947228540927	0.339683891173518	12.7445627709533	0.00035704559824426	0.000937770714518243
E74	4107.52905609016	-0.496709897471852	0.186050200606653	7.00725289072344	0.00811801503346981	0.0160149060619421
E75	61891.880982146	-1.25423155910545	0.0855065499239494	202.554069462028	5.78753988073542e-46	1.24196318774004e-43
