	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
5-HT2beta	809.621111575718	-3.4681568792954	0.665035664408433	26.6918822739771	2.38621913524631e-07	1.12905190994382e-06
A4	6127.07973037523	-2.80789602697715	0.554501897551141	25.9452775171848	3.51233608069688e-07	1.61736531790475e-06
AChE-2	5387.13616497187	-5.3980511614003	0.608209039255148	67.3063569671517	2.32430732732333e-16	3.24363923725993e-15
Acph-1	2428.82199406842	2.75859875497101	0.591228680191882	16.8893804042931	3.96226416963996e-05	0.000130592880189689
Adk1	898.271569779936	3.84744327073417	0.502963027498759	40.5337793669507	1.93246135397223e-10	1.37592176355454e-09
AGLU2	38013.3704861797	4.21027347029665	0.857739331323593	15.8451294479146	6.87432428632236e-05	0.000217913507975296
Amih	17941.606027102	2.8163805354093	0.57458967667409	18.498699331144	1.70020288220254e-05	5.95799308380696e-05
Ancr-1	257469.403960895	2.01550960858914	0.275412350391799	45.01819875207	1.95211805290125e-11	1.56883633763649e-10
Apd-2	1032.86036282296	7.27894287255613	0.73111087547948	49.9562576529596	1.5721189822637e-12	1.45124321926942e-11
apd-3	142.458299842354	-6.15758645086495	0.779083462212233	55.3530574846831	1.00713092718447e-13	1.07110220731571e-12
Argk	332521.410509762	3.68604504852049	0.326244301509304	89.0597555971503	3.83065043256471e-21	8.04233193470489e-20
aub	32368.7281668193	-2.27957145556529	0.190963309179858	147.015474170212	7.78661130724316e-34	4.25644162795016e-32
bantam	12.4681389753832	7.65931861188274	1.44790392713367	27.6025678324364	1.48980855621968e-07	7.24563718486178e-07
brp	5442.80229331706	6.00272993703726	0.608176687211056	53.0978449932869	3.17340411387909e-13	3.14740130425031e-12
C1q-VP	6921.37119789384	3.50642725639871	0.287780986385089	106.030165876849	7.26212587314729e-25	2.09085769677847e-23
cad	9633.26370025321	-6.89375202100056	0.437759083612763	189.482693837369	4.12333472912191e-43	3.91287972454753e-41
Cpap3-b	2499.94738916556	-3.23849276325701	0.432776195560798	55.5255438308863	9.225243141734e-14	9.88526053724017e-13
Cpap3-c	10712.5308503107	2.69087252078535	0.634663260105308	14.0377004977956	0.000179181910589334	0.000527146781599872
Cpap3-d	4571.16314620131	4.00489783898264	0.610112729682139	29.0390027837197	7.09356406222024e-08	3.60359130218657e-07
CPF2	5050.46662498288	4.46826014329516	0.550253719750245	42.2308396757157	8.11107994137536e-11	6.09332680586413e-10
CPR11	118.312644347865	5.04019057063305	0.757904439991355	28.9752480712153	7.33090490376255e-08	3.71620487044579e-07
CPR14	9243.819572949	2.83315910111677	0.669989741731755	13.7432342641253	0.000209574326976355	0.000607965435703968
CPR17	133.789269740107	4.37360100826906	0.398773899573063	93.1479547788481	4.85275733451621e-22	1.11341213737004e-20
CPR2	445.36013793806	7.45336760214281	0.91126401259698	34.5942234529723	4.06109637301351e-09	2.43912532540184e-08
CPR22	10635.0068336579	12.5394351347485	0.604242741632954	202.707449677891	5.35827650987488e-46	5.88517370001258e-44
CPR27	45.9063316938423	6.79103775649829	1.68785896558569	9.76496322270488	0.0017786907347211	0.00429669949962332
CPR28	11731.85166979	6.39800674300762	0.415675639881057	124.335855270987	7.11260392297477e-29	2.69551781898808e-27
CPR3	2379.20863474076	-7.40169126623902	0.746035529695737	72.9218159344127	1.34888877822329e-17	2.13625082607272e-16
CPR5	508.145539417515	4.6746139364201	0.556026500672334	45.4571043081973	1.56018598018375e-11	1.26327140593444e-10
crh-BP	78.6137581279667	2.65490090890756	0.426481298015518	32.4806303049264	1.20386451063803e-08	6.80984302584086e-08
Csd	5547.31293795776	4.05845005077867	0.270089244556537	152.092886647713	6.04679063563306e-35	3.67830925742971e-33
CSP2	5317.11053927937	2.40765639416871	0.424657822394511	25.9175961791953	3.56306406864188e-07	1.63818085202442e-06
CSP3	161465.567016295	7.53029583188124	0.68293246179819	56.7910523754143	4.84666622525182e-14	5.3380830792885e-13
CSP4	277.388027534348	6.59593304086258	0.603199192665236	72.0726133626446	2.07422550040462e-17	3.24597135696564e-16
CSP6	3160.61025024189	-6.25773419859846	0.405533516237488	192.756418652834	7.95584983529957e-44	7.79936287159698e-42
CTL5	3476.36811873248	4.60689710492144	0.276870778101156	176.990332546986	2.20081155100978e-40	1.87813141137251e-38
Cyp314a1	10199.4199127484	-3.40854554021131	0.392917267811124	73.8512004591135	8.42331638583114e-18	1.35757308381425e-16
CYP6AQ1	32543.7126567121	8.29813676265444	0.659537202078691	69.2807234450323	8.54001937507974e-17	1.24144252239211e-15
Cyp6as5	4287.5389348775	2.54481605817843	0.499768019539669	20.5906830207942	5.68722226261016e-06	2.17058656625102e-05
CytC	15989.5371041549	2.62322098478506	0.333378247295652	48.7306631254317	2.93639437621242e-12	2.61301651092511e-11
Dsx	2974.48754067546	3.38884649586107	0.25537565713293	128.166373141957	1.03217626180771e-29	4.29602625177651e-28
Eaat-2	716.157999869548	4.01641556829767	0.377636587502392	78.1336116377711	9.63012895162727e-19	1.67006709976905e-17
Ecr	7309.99899520754	2.25780865842096	0.507096691845258	16.2416609904031	5.57544538173598e-05	0.000178649198050114
Ef-1a-f1	25149.7041624397	5.67267132941457	0.701796952892559	36.6727564182938	1.39718446919231e-09	8.93926762327895e-09
Emc	26932.0262569833	2.57240067329037	0.41843038612594	29.9059417684019	4.5352089006195e-08	2.37094085408323e-07
Est-6	93.4152593571649	-2.24666418733073	0.667043071635947	11.5267266357114	0.000686027032614323	0.00180116260754119
Eth	482.399289799958	7.0261013949457	0.462327883645534	150.682845571999	1.22944223219937e-34	7.18406096470388e-33
eve	3720.94015136323	-9.34693116156549	0.615454151732363	154.948972898974	1.43662949776393e-35	9.0165603716803e-34
Fabp	2866.01394454761	2.23872561589463	0.558720244181414	13.1876592028791	0.000281798663095292	0.000796448830506637
Fem	20829.2775570478	3.90103904360305	0.298563733782972	116.386544463741	3.9112639551961e-27	1.31431764976023e-25
For	16752.989989551	2.27890697189129	0.302195593836124	46.4877539691735	9.21928215045096e-12	7.68511067242792e-11
Gfat2	7391.21448801607	2.62254617744184	0.377814459876714	37.941863130481	7.28844112861149e-10	4.84615967867654e-09
GlnS	91317.594586325	4.013976271772	0.38396028627868	73.48208740181	1.0155359900613e-17	1.63450310910544e-16
Glob1	7816.00073463895	5.05319072367116	0.349304262078639	126.168877128374	2.82399479390705e-29	1.12410155185656e-27
GluCl	8362.22136538167	2.97624261115936	0.561997740561217	21.2141379344794	4.10723626644322e-06	1.59842639739335e-05
Glurb	182.45603281593	3.72328568295779	0.548146329538407	33.4180514646085	7.43308357523838e-09	4.32211947889596e-08
Grp	100.708251392085	-2.67838977383478	0.674281319953184	16.0710079401914	6.10109797448614e-05	0.000194650952591056
GstD1	13884.5347828735	5.01429437204287	0.559210099218614	48.4407081047299	3.40427532302225e-12	2.99344061391327e-11
GstS4	19638.0462648251	2.95025861086169	0.461807552735411	30.9565969663914	2.63863666411594e-08	1.41755018612968e-07
Gycbeta1	406.713288751796	4.45510695192142	0.919299659828376	15.1932095473935	9.70517859710459e-05	0.000300346539313474
Hb	241.825702654616	-6.16838093369502	1.03727070853682	29.4913420775125	5.61670489673449e-08	2.90547191118054e-07
Hbg3	11907.8851761897	2.43587089647887	0.723683953042664	9.10047217029359	0.00255543518024145	0.00592505318765131
Hex70a	883.019400306858	-2.18393577697564	0.490725359067834	20.4889704065365	5.99758636600553e-06	2.28243084611991e-05
Hex70c	1357.30337121143	-2.67566566184353	0.55970446923634	23.2870249869764	1.39538170210084e-06	5.84670355009542e-06
Ip3k	19314.4001992562	2.4298487156269	0.330295423813146	43.5122398483258	4.21315903051077e-11	3.24522678051421e-10
JHBP-1	5230.82543489061	6.6488333658025	0.912525340033797	27.0834514723541	1.94858901484856e-07	9.32398664547545e-07
Kr	608.746589343144	-3.45831070743785	0.453933396305345	57.2923740469522	3.75608790398804e-14	4.2032749733119e-13
LOC100188904	102.250189754288	-2.76207834120605	0.442612719865534	39.8954742476182	2.6792327528983e-10	1.88388019649553e-09
LOC100576080	2482.51985488427	4.20908969340075	0.795162312287187	18.459704333535	1.73534899921087e-05	6.07039511313458e-05
LOC100576082	107.118374111229	-3.07473071677796	0.583245662122415	28.1862639315519	1.10183754092152e-07	5.4640455311083e-07
LOC100576096	4266.53118147579	-6.28424966585125	0.516345784432509	118.454213722075	1.3790090098968e-27	4.78298388169468e-26
LOC100576103	38.3180355742367	-3.47257090961156	0.98963075173394	11.5821465448902	0.000665880325439318	0.00175175702381042
LOC100576105	42.0786832479463	-8.15554135623497	1.24507849335104	46.4790885541573	9.26014268729886e-12	7.70833772327993e-11
LOC100576115	3.97204165057805	-5.33194738393609	1.79928404721909	9.31741448072526	0.00226986066441699	0.00532853496958525
LOC100576118	1269.92664167888	4.44320090730196	0.643093335350543	30.8075047213933	2.8493380056236e-08	1.51973234814331e-07
LOC100576121	80.2363196647587	-3.00961270503332	0.654663245058562	21.6804976895659	3.22048809133415e-06	1.26999433974088e-05
LOC100576125	478.997033498719	-2.52248084443259	0.631103959161312	16.310570232686	5.3763216956334e-05	0.000172782248587384
LOC100576130	126.660851913181	-2.4829760994255	0.860516862281674	8.60007353280298	0.00336149430424757	0.00763142883063041
LOC100576132	14768.3735556056	4.04922493538177	0.444516031770776	55.6141967697689	8.81844743183476e-14	9.47503835474855e-13
LOC100576139	173.572949676373	2.24039319251307	0.427001896404475	23.0624682885267	1.56822213485893e-06	6.51339319457164e-06
LOC100576143	106.516208410074	-3.0494566828243	0.472065807247342	42.4434360114861	7.27561761926857e-11	5.48306074966733e-10
LOC100576150	65.9678688499172	-4.72281290606768	1.06899440641551	18.3301071418684	1.85748361118315e-05	6.47091647455346e-05
LOC100576161	3236.10257052966	5.62995048336736	0.240841579544287	323.658310726788	2.31236226916912e-72	9.1430804122947e-70
LOC100576170	16.2959560784145	-3.61316946105116	1.19983946610523	9.20306335820984	0.00241610466842597	0.00563726073502535
LOC100576172	989.840282358013	3.99585748757207	0.333775500789016	98.6588168701486	2.99976052593395e-23	7.63587110700183e-22
LOC100576173	607.456986164662	-4.11168610373606	0.480354786167333	69.3623839411963	8.19365368200478e-17	1.19548733057738e-15
LOC100576179	219.251147189914	-6.53245379365521	0.813161466130044	55.4407193895705	9.63203794585797e-14	1.02932643345736e-12
LOC100576183	61.7803043095639	-3.5130476101648	0.671088963006494	27.2706987138243	1.76871510202452e-07	8.52519241780369e-07
LOC100576185	2803.05444665265	-3.91414444768143	0.719475727070393	28.1062121889381	1.14836656030052e-07	5.67580172428531e-07
LOC100576193	783.166485272547	-2.61183659906901	0.658852629854424	16.0575664498109	6.14456020870218e-05	0.000195879530222051
