18-w	GO:0005515,GO:0007165
5-HT1	GO:0004930,GO:0016020,GO:0071880
5-HT2alpha	GO:0004993,GO:0007187,GO:0007210,GO:0007268,GO:0016020,GO:0030425,GO:0030594,GO:0051378
5-HT2beta	GO:0001591,GO:0004930,GO:0016020,GO:0071880
5-ht7	GO:0005886,GO:0016907,GO:0071880
A4	GO:0005576,GO:0006869,GO:0008289
Abscam	GO:0005515,GO:0005886,GO:0007411,GO:0030424,GO:0098609
Ac3	GO:0004016,GO:0006171,GO:0007189,GO:0035556
AChE-2	GO:0001507,GO:0003990,GO:0005615,GO:0005886,GO:0019695
Acph-1	GO:0016311,GO:0016791
ACSF2	GO:0006631,GO:0031956
Adar	GO:0003725,GO:0003726,GO:0005730,GO:0005737,GO:0006382,GO:0006396,GO:0008251
Adk1	GO:0004017,GO:0005524,GO:0005737,GO:0005829,GO:0009142
AGLU2	GO:0005975
Akhr	GO:0005000,GO:0007186,GO:0016020,GO:0042277,GO:0097003
Amel_8916	GO:0004890,GO:0005230,GO:0007165,GO:0007268,GO:0016020,GO:0030594,GO:0034220,GO:0042391,GO:0043005,GO:0045202,GO:0050877
Amih	GO:0005249,GO:0006813,GO:0016020,GO:0055085
Ant	GO:0005471,GO:0005743,GO:0140021,GO:1990544
Antp	GO:0000122,GO:0000978,GO:0000981,GO:0005634,GO:0009952
Argk	GO:0004111,GO:0046314
arm	GO:0003713,GO:0005912,GO:0007155,GO:0016342,GO:0019903,GO:0045294,GO:0045296,GO:0045944
Arp1	GO:0000281
ATP5G2	GO:0000276,GO:0015078,GO:0015986,GO:1902600
aub	GO:0005515,GO:0031047,GO:0034584,GO:0043186
B-gluc1	GO:0004553,GO:0005975,GO:0030246
BBIP1	GO:0034464,GO:0060271,GO:0097500
Blop	GO:0004930,GO:0007186,GO:0007601,GO:0016020
Br-c	GO:0005515,GO:0005634,GO:0006357
Brd7	GO:0005634,GO:0006357,GO:0070577
brp	GO:0007274,GO:0048167,GO:0048788,GO:0048790,GO:0098882
Burs	GO:0005615,GO:0009887,GO:0036122,GO:0038098,GO:0048018
c-mos	GO:0004672,GO:0005524,GO:0006468
C1q-VP	GO:0005515
Cac	GO:0005509,GO:0005891,GO:0007268,GO:0008331,GO:0016020,GO:0098703
cact1	GO:0005515
cad	GO:0000977,GO:0000981,GO:0005634,GO:0006357,GO:0009790,GO:0009887,GO:0009948,GO:0030154
Calpb	GO:0004198,GO:0005509,GO:0005737,GO:0006508
Camkii	GO:0004683,GO:0005516,GO:0005524,GO:0005737,GO:0006468,GO:0043005
Cat	GO:0004096,GO:0005737,GO:0005739,GO:0005777,GO:0020037,GO:0042542,GO:0042744
Cbs	GO:0004122,GO:0004124,GO:0005737,GO:0006535,GO:0019343
Cdc37	GO:0005737,GO:0006457,GO:0019901,GO:0031072,GO:0050821,GO:0051082,GO:0051087
Cdk5	GO:0000083,GO:0004693,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0007409,GO:0048489,GO:0051402
Chmp1	GO:0000815,GO:0005771,GO:0015031,GO:0032509,GO:0045324
Coq7	GO:0005634,GO:0005743,GO:0006744,GO:0008340,GO:0008682,GO:0010468,GO:2000377
Cox6b1	GO:0005739,GO:0045277
Cpap3-b	GO:0005576,GO:0008061
Cpap3-c	GO:0005576,GO:0008061
Cpap3-d	GO:0005576,GO:0008061
CPR1	GO:0005615,GO:0031012
CPR11	GO:0005615,GO:0031012
CPR12	GO:0008010,GO:0062129
CPR13	GO:0008010,GO:0062129
CPR14	GO:0008010,GO:0062129
CPR16	GO:0008010,GO:0062129
CPR17	GO:0008010,GO:0062129
CPR18	GO:0008010,GO:0062129
CPR19	GO:0008010,GO:0062129
CPR2	GO:0005615,GO:0031012
CPR21	GO:0008010,GO:0062129
CPR22	GO:0008010,GO:0062129
CPR27	GO:0008010,GO:0062129
CPR28	GO:0008010,GO:0062129
CPR3	GO:0005615,GO:0031012
CPR4	GO:0005615,GO:0031012
CPR5	GO:0005615,GO:0031012
CPR6	GO:0005615,GO:0031012
crh-BP	GO:0005615,GO:0009755,GO:0051424,GO:0051460,GO:1900011
Cry2	GO:0003677,GO:0005634,GO:0005737,GO:0032922,GO:0043153,GO:0045892,GO:0071949
Cryl1	GO:0006631,GO:0016616,GO:0070403
Crz	GO:0045823,GO:0071858
Crzr	GO:0007218,GO:0016020,GO:0035237
CUTA	GO:0005507,GO:0010038
Cyp314a1	GO:0004497,GO:0005506,GO:0016705,GO:0020037
Cyp4g11	GO:0004497,GO:0005506,GO:0016705,GO:0020037
CYP6AQ1	GO:0004497,GO:0005506,GO:0016705,GO:0020037
