Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0071705	GO:0071705	nitrogen compound transport	2.000e+00	2.250e+02	1.544e+00	2.860e-02
GO:0071705	GO:0006811	monoatomic ion transport	2.900e+01	2.330e+02	1.285e+00	5.190e-02
GO:0071705	GO:0071702	organic substance transport	1.200e+01	2.810e+02	1.451e+00	3.543e-02
GO:0050793	GO:0050793	regulation of developmental process	3.000e+00	4.000e+01	2.273e+00	5.329e-03
GO:0000724	GO:0000724	double-strand break repair via homologous recombination	4.000e+00	4.100e+01	3.516e+00	3.049e-04
GO:0000724	GO:0006302	double-strand break repair	1.700e+01	6.400e+01	3.052e+00	8.878e-04
GO:0032989	GO:0032989	cellular component morphogenesis	5.000e+00	4.300e+01	4.063e+00	8.656e-05
GO:0032989	GO:0000904	cell morphogenesis involved in differentiation	1.400e+01	3.900e+01	4.417e+00	3.824e-05
GO:0022414	GO:0022414	reproductive process	6.000e+00	5.400e+01	2.733e+00	1.847e-03
GO:0065008	GO:0065008	regulation of biological quality	7.000e+00	1.990e+02	2.066e+00	8.584e-03
GO:0006399	GO:0006399	tRNA metabolic process	8.000e+00	8.600e+01	1.553e+00	2.799e-02
GO:0045786	GO:0045786	negative regulation of cell cycle	9.000e+00	4.200e+01	3.500e+00	3.165e-04
GO:0045786	GO:0051726	regulation of cell cycle	3.700e+01	8.300e+01	2.854e+00	1.399e-03
GO:0045786	GO:1901987	regulation of cell cycle phase transition	1.900e+01	4.300e+01	3.478e+00	3.326e-04
GO:0045786	GO:0007346	regulation of mitotic cell cycle	3.400e+01	4.400e+01	3.572e+00	2.679e-04
GO:0007267	GO:0007267	cell-cell signaling	1.000e+01	1.080e+02	3.295e+00	5.072e-04
GO:0007267	GO:0007154	cell communication	1.300e+01	5.560e+02	2.476e+00	3.338e-03
GO:0051604	GO:0051604	protein maturation	1.100e+01	4.600e+01	2.550e+00	2.818e-03
GO:0006520	GO:0006520	amino acid metabolic process	1.500e+01	8.400e+01	1.132e+00	7.385e-02
GO:0009968	GO:0009968	negative regulation of signal transduction	1.800e+01	3.900e+01	2.939e+00	1.151e-03
GO:0009968	GO:0010629	negative regulation of gene expression	2.100e+01	6.700e+01	2.297e+00	5.044e-03
GO:0006518	GO:0006518	peptide metabolic process	2.000e+01	2.200e+02	1.357e+00	4.394e-02
GO:0003008	GO:0003008	system process	2.200e+01	1.060e+02	2.874e+00	1.337e-03
GO:0051649	GO:0051649	establishment of localization in cell	2.400e+01	2.860e+02	2.117e+00	7.633e-03
GO:0031175	GO:0031175	neuron projection development	2.500e+01	4.400e+01	3.588e+00	2.581e-04
GO:0007166	GO:0007166	cell surface receptor signaling pathway	2.700e+01	1.360e+02	2.536e+00	2.913e-03
GO:0007166	GO:0035556	intracellular signal transduction	3.500e+01	2.080e+02	1.856e+00	1.392e-02
GO:0000280	GO:0000280	nuclear division	2.800e+01	5.300e+01	4.223e+00	5.990e-05
GO:0006814	GO:0006814	sodium ion transport	3.000e+01	4.100e+01	2.580e+00	2.633e-03
GO:0043549	GO:0043549	regulation of kinase activity	3.100e+01	4.300e+01	3.536e+00	2.914e-04
GO:0043549	GO:0043085	positive regulation of catalytic activity	1.600e+01	6.700e+01	3.264e+00	5.440e-04
GO:0043549	GO:0065009	regulation of molecular function	2.600e+01	1.210e+02	2.758e+00	1.744e-03
GO:0006357	GO:0006357	regulation of transcription by RNA polymerase II	3.200e+01	3.530e+02	2.459e+00	3.475e-03
GO:0010243	GO:0010243	response to organonitrogen compound	3.300e+01	4.400e+01	3.521e+00	3.011e-04
GO:0034330	GO:0034330	cell junction organization	3.600e+01	4.000e+01	3.948e+00	1.128e-04
