dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.430839425499311	-1.1922359359696306	0.4341490123911586	0.3010299956639812	1.3862943611198906	2.0	nitrogen compound transport	1. nitrogen compound transport	['GO:0071705', 'GO:0006811', 'GO:0071702']	GO:0071705	225.0
2	-0.05055009097453908	1.1106317600315987	0.8212527238579007	0.47712125471966244	0.6931471805599453	3.0	regulation of developmental process	2. regulation of developmental process	['GO:0050793']	GO:0050793	40.0
3	0.711569435362532	-0.7916454697429285	1.2572876882133333	0.6020599913279624	1.0986122886681098	4.0	double-strand break repair via homo...	3. double-strand break repair via homo...	['GO:0000724', 'GO:0006302']	GO:0000724	41.0
4	-1.1519601609002317	0.05449738204866704	1.4018496483141099	0.6989700043360189	1.0986122886681098	5.0	cellular component morphogenesis	4. cellular component morphogenesis	['GO:0032989', 'GO:0000904']	GO:0032989	43.0
5	-0.2068319554582369	-0.2807823756288573	1.0055551516517305	0.7781512503836436	0.6931471805599453	6.0	reproductive process	5. reproductive process	['GO:0022414']	GO:0022414	54.0
6	0.5046131964056585	1.0577684215597671	0.7257530967191487	0.8450980400142568	0.6931471805599453	7.0	regulation of biological quality	6. regulation of biological quality	['GO:0065008']	GO:0065008	199.0
7	0.7682199732814542	-0.2999850392880924	0.4402056808143366	0.9030899869919435	0.6931471805599453	8.0	tRNA metabolic process	7. tRNA metabolic process	['GO:0006399']	GO:0006399	86.0
8	-0.45256732891259954	1.0363134620228227	1.252657192321177	0.9542425094393249	1.6094379124341003	9.0	negative regulation of cell cycle	8. negative regulation of cell cycle	['GO:0045786', 'GO:0051726', 'GO:1901987', 'GO:0007346']	GO:0045786	42.0
9	0.47026062350019915	0.6817282333300309	1.1923627624964979	1.0	1.0986122886681098	10.0	cell-cell signaling	9. cell-cell signaling	['GO:0007267', 'GO:0007154']	GO:0007267	108.0
10	1.0256509316494462	-0.5271134023549923	0.9361178134865108	1.041392685158225	0.6931471805599453	11.0	protein maturation	10. protein maturation	['GO:0051604']	GO:0051604	46.0
11	1.0950802622308207	-0.04818545076916357	0.12368269284650697	1.1760912590556813	0.6931471805599453	15.0	amino acid metabolic process	11. amino acid metabolic process	['GO:0006520']	GO:0006520	84.0
12	-0.4560688732433139	1.144575579370137	1.0780965825603988	1.255272505103306	1.0986122886681098	18.0	negative regulation of signal trans...	12. negative regulation of signal trans...	['GO:0009968', 'GO:0010629']	GO:0009968	39.0
13	1.19872765147684	-0.24514228452305267	0.30541153150791334	1.3010299956639813	0.6931471805599453	20.0	peptide metabolic process	13. peptide metabolic process	['GO:0006518']	GO:0006518	220.0
14	0.05541827179243324	-0.5881474423735064	1.0556438915497794	1.3424226808222062	0.6931471805599453	22.0	system process	14. system process	['GO:0003008']	GO:0003008	106.0
15	-0.21619380392163665	-1.2154933211140142	0.750134802910252	1.380211241711606	0.6931471805599453	24.0	establishment of localization in ce...	15. establishment of localization in ce...	['GO:0051649']	GO:0051649	286.0
16	-1.1597201689621606	-0.2750560161965221	1.2776729753642382	1.3979400086720377	0.6931471805599453	25.0	neuron projection development	16. neuron projection development	['GO:0031175']	GO:0031175	44.0
17	-0.0839622731908858	0.7984786553889889	0.930472269370232	1.4313637641589874	1.0986122886681098	27.0	cell surface receptor signaling pat...	17. cell surface receptor signaling pat...	['GO:0007166', 'GO:0035556']	GO:0007166	136.0
18	-0.9722859949824237	-0.04939449540034117	1.4404407277943374	1.4471580313422192	0.6931471805599453	28.0	nuclear division	18. nuclear division	['GO:0000280']	GO:0000280	53.0
19	-0.5865742595881117	-1.0228468750953281	0.9476332385479005	1.4771212547196624	0.6931471805599453	30.0	sodium ion transport	19. sodium ion transport	['GO:0006814']	GO:0006814	41.0
20	0.2354893613442221	0.8663781038757196	1.262857745241855	1.4913616938342726	1.3862943611198906	31.0	regulation of kinase activity	20. regulation of kinase activity	['GO:0043549', 'GO:0043085', 'GO:0065009']	GO:0043549	43.0
21	0.23414451663765326	1.172682006416491	0.8997846175276344	1.505149978319906	0.6931471805599453	32.0	regulation of transcription by RNA ...	21. regulation of transcription by RNA ...	['GO:0006357']	GO:0006357	353.0
22	0.4427857991485763	-1.0353418811670367	1.2588325581478264	1.5185139398778875	0.6931471805599453	33.0	response to organonitrogen compound	22. response to organonitrogen compound	['GO:0010243']	GO:0010243	44.0
23	-0.9744056871963847	-0.3516836144207572	1.3731196757247255	1.5563025007672873	0.6931471805599453	36.0	cell junction organization	23. cell junction organization	['GO:0034330']	GO:0034330	40.0
