GO.ID	Term	Annotated	Significant	Expected	Rank in weight_fisher	weight_ks	weight_fisher	weight_ks_adjusted	weight_fisher_adjusted
GO:0007186	G protein-coupled receptor signaling pat...	133	101	81.23	1	0.98725	0.00018	1	0.08208
GO:0071705	nitrogen compound transport	376	225	229.64	2	0.99806	0.00264	1	0.274577142857143
GO:0050793	regulation of developmental process	50	40	30.54	3	0.84664	0.00337	1	0.274577142857143
GO:0000724	double-strand break repair via homologou...	52	41	31.76	4	0.98658	0.00492	1	0.274577142857143
GO:0032989	cellular component morphogenesis	55	43	33.59	5	0.30908	0.00532	1	0.274577142857143
GO:0022414	reproductive process	71	54	43.36	6	0.8334	0.00541	1	0.274577142857143
GO:0065008	regulation of biological quality	310	199	189.33	7	0.94472	0.00637	1	0.274577142857143
GO:0006399	tRNA metabolic process	118	86	72.07	8	0.98169	0.00691	1	0.274577142857143
GO:0045786	negative regulation of cell cycle	54	42	32.98	9	0.9392	0.00693	1	0.274577142857143
GO:0007267	cell-cell signaling	149	108	91	10	0.92167	0.00741	1	0.274577142857143
GO:0051604	protein maturation	60	46	36.64	11	0.91694	0.00774	1	0.274577142857143
GO:0071702	organic substance transport	467	281	285.21	12	0.98221	0.00818	1	0.274577142857143
GO:0007154	cell communication	820	556	500.8	13	0.99855	0.0084	1	0.274577142857143
GO:0000904	cell morphogenesis involved in different...	50	39	30.54	14	0.50053	0.00843	1	0.274577142857143
GO:0006520	cellular amino acid metabolic process	131	84	80.01	15	0.94165	0.01099	1	0.334096
GO:0043085	positive regulation of catalytic activit...	92	67	56.19	16	0.54516	0.01183	1	0.337155
GO:0006302	double-strand break repair	80	64	48.86	17	0.96887	0.01411	1	0.3762
GO:0009968	negative regulation of signal transducti...	51	39	31.15	18	0.61632	0.01485	1	0.3762
GO:1901987	regulation of cell cycle phase transitio...	57	43	34.81	19	0.9359	0.01592	1	0.38208
GO:0006518	peptide metabolic process	341	220	208.26	20	0.93932	0.01693	1	0.386004
GO:0010629	negative regulation of gene expression	100	67	61.07	21	0.7176	0.02143	1	0.465337142857143
GO:0003008	system process	214	106	130.7	22	0.95713	0.02501	1	0.518389090909091
GO:0006928	movement of cell or subcellular componen...	206	131	125.81	23	0.28566	0.03014	1	0.575295483870968
GO:0051649	establishment of localization in cell	473	286	288.88	24	0.61276	0.03122	1	0.575295483870968
GO:0031175	neuron projection development	60	44	36.64	25	0.40651	0.03183	1	0.575295483870968
GO:0065009	regulation of molecular function	179	121	109.32	26	0.5381	0.0345	1	0.575295483870968
GO:0007166	cell surface receptor signaling pathway	201	136	122.76	27	0.70942	0.0374	1	0.575295483870968
GO:0000280	nuclear division	74	53	45.19	28	0.67373	0.03789	1	0.575295483870968
GO:0006811	ion transport	358	233	218.64	29	0.99762	0.03846	1	0.575295483870968
GO:0006814	sodium ion transport	56	41	34.2	30	0.46615	0.0391	1	0.575295483870968
GO:0043549	regulation of kinase activity	59	43	36.03	31	0.56013	0.03911	1	0.575295483870968
GO:0006357	regulation of transcription by RNA polym...	554	353	338.35	32	0.18575	0.04643	1	0.595358048780488
GO:0010243	response to organonitrogen compound	61	44	37.25	33	0.82261	0.04749	1	0.595358048780488
GO:0007346	regulation of mitotic cell cycle	61	44	37.25	34	0.96937	0.04749	1	0.595358048780488
GO:0035556	intracellular signal transduction	312	208	190.55	35	0.77706	0.0477	1	0.595358048780488
GO:0034330	cell junction organization	55	40	33.59	36	0.97546	0.04802	1	0.595358048780488
GO:0051726	regulation of cell cycle	117	83	71.46	37	0.77707	0.04836	1	0.595358048780488
GO:0040011	locomotion	98	68	59.85	38	0.16827	0.05207	1	0.595358048780488
GO:0006281	DNA repair	167	125	101.99	39	0.99457	0.05301	1	0.595358048780488
GO:0006259	DNA metabolic process	224	165	136.8	40	0.65645	0.05331	1	0.595358048780488
GO:0007268	chemical synaptic transmission	98	68	59.85	41	0.76093	0.05353	1	0.595358048780488
GO:0010033	response to organic substance	136	91	83.06	42	0.68601	0.06643	1	0.700692857142857
GO:0055085	transmembrane transport	471	304	287.66	43	0.85878	0.06669	1	0.700692857142857
GO:0051276	chromosome organization	169	104	103.21	44	0.9791	0.069	1	0.700692857142857
GO:0098813	nuclear chromosome segregation	56	40	34.2	45	0.74985	0.07031	1	0.700692857142857
GO:0006139	nucleobase-containing compound metabolic...	1714	1087	1046.8	46	1	0.0722	1	0.700692857142857
GO:0019439	aromatic compound catabolic process	108	72	65.96	47	0.99962	0.07598	1	0.700692857142857
GO:0046907	intracellular transport	428	252	261.39	48	0.99728	0.07873	1	0.700692857142857
GO:0006401	RNA catabolic process	69	44	42.14	49	0.81209	0.07957	1	0.700692857142857
GO:0044265	cellular macromolecule catabolic process	299	180	182.61	50	0.81128	0.08025	1	0.700692857142857
GO:0051049	regulation of transport	81	56	49.47	51	0.70922	0.08186	1	0.700692857142857
GO:0042221	response to chemical	345	185	210.7	52	0.18637	0.08303	1	0.700692857142857
GO:0048585	negative regulation of response to stimu...	56	44	34.2	53	0.68836	0.08399	1	0.700692857142857
GO:0043043	peptide biosynthetic process	297	186	181.39	54	0.49568	0.08456	1	0.700692857142857
GO:0007600	sensory perception	174	74	106.27	55	0.97693	0.08475	1	0.700692857142857
GO:0006066	alcohol metabolic process	52	37	31.76	56	0.95165	0.08605	1	0.700692857142857
GO:1901137	carbohydrate derivative biosynthetic pro...	218	138	133.14	57	0.74131	0.09697	1	0.77576
GO:0050877	nervous system process	202	95	123.37	58	0.78599	0.1007	1	0.791710344827586
GO:0006812	cation transport	237	155	144.74	59	0.99756	0.10287	1	0.795063050847458
GO:0031399	regulation of protein modification proce...	82	56	50.08	60	0.64898	0.1073	1	0.814937142857143
GO:0046474	glycerophospholipid biosynthetic process	71	50	43.36	61	0.90848	0.10922	1	0.814937142857143
GO:0008033	tRNA processing	74	51	45.19	62	0.43125	0.11255	1	0.814937142857143
GO:0030182	neuron differentiation	96	69	58.63	63	0.84011	0.11259	1	0.814937142857143
