GO.ID	Term	Annotated	Significant	Expected	Rank in weight_fisher	weight_ks	weight_fisher	weight_ks_adjusted	weight_fisher_adjusted
GO:0045202	synapse	115	87	70.73	1	0.9316	0.00086	1	0.0856
GO:0005761	mitochondrial ribosome	53	43	32.6	2	0.9169	0.00171	1	0.0856
GO:0005739	mitochondrion	551	379	338.91	3	0.8598	0.00214	1	0.0856
GO:0043005	neuron projection	149	108	91.65	4	0.8692	0.00793	1	0.2379
GO:0016020	membrane	1889	1186	1161.88	5	0.8252	0.01034	1	0.244
GO:0098590	plasma membrane region	96	70	59.05	6	0.991	0.0122	1	0.244
GO:1902495	transmembrane transporter complex	75	55	46.13	7	0.8937	0.02095	1	0.359142857142857
GO:0005743	mitochondrial inner membrane	141	100	86.73	8	0.94	0.02756	1	0.4134
GO:0098798	mitochondrial protein-containing complex	157	110	96.57	9	0.9758	0.04336	1	0.5526
GO:0061695	transferase complex, transferring phosph...	126	78	77.5	10	0.9967	0.04605	1	0.5526
GO:0000228	nuclear chromosome	66	47	40.59	11	0.7373	0.06459	1	0.703753846153846
GO:0005634	nucleus	1805	1116	1110.21	12	0.4981	0.07362	1	0.703753846153846
GO:0032991	protein-containing complex	1870	1128	1150.19	13	0.8863	0.07624	1	0.703753846153846
GO:0012505	endomembrane system	695	420	427.48	14	0.9987	0.08283	1	0.709971428571429
GO:0005746	mitochondrial respirasome	52	37	31.98	15	0.9999	0.09647	1	0.765675
GO:0098800	inner mitochondrial membrane protein com...	89	61	54.74	16	0.9813	0.10209	1	0.765675
GO:0098803	respiratory chain complex	54	38	33.21	17	0.9848	0.11313	1	0.7674
GO:0030424	axon	51	36	31.37	18	0.1518	0.11511	0.72864	0.7674
GO:0120025	plasma membrane bounded cell projection	289	193	177.76	19	0.4483	0.13661	1	0.84984
GO:1990351	transporter complex	79	59	48.59	20	0.9956	0.14164	1	0.84984
GO:0000151	ubiquitin ligase complex	91	60	55.97	21	0.423	0.18039	1	1
GO:0099513	polymeric cytoskeletal fiber	75	49	46.13	22	0.5631	0.19846	1	1
GO:0000139	Golgi membrane	53	36	32.6	23	0.8293	0.20648	1	1
GO:0005783	endoplasmic reticulum	323	200	198.67	24	0.6374	0.21727	1	1
GO:0005667	transcription regulator complex	114	71	70.12	25	0.7267	0.23195	1	1
GO:0042995	cell projection	295	198	181.45	26	0.9996	0.25291	1	1
GO:0043235	receptor complex	51	34	31.37	27	0.3833	0.27146	1	1
GO:0005856	cytoskeleton	360	224	221.43	28	0.5524	0.28784	1	1
GO:0005694	chromosome	211	135	129.78	29	0.0888	0.33705	0.511428571428571	1
GO:0005815	microtubule organizing center	107	69	65.81	30	0.3355	0.34273	1	1
GO:0005773	vacuole	83	52	51.05	31	0.6546	0.3521	1	1
GO:0030054	cell junction	177	123	108.87	32	0.9283	0.35934	1	1
GO:0098797	plasma membrane protein complex	86	55	52.9	33	0.6757	0.36304	1	1
GO:0043227	membrane-bounded organelle	3236	2025	1990.38	34	0.9938	0.36317	1	1
GO:0099512	supramolecular fiber	91	60	55.97	35	0.8862	0.37328	1	1
GO:0031224	intrinsic component of membrane	116	82	71.35	36	0.8054	0.3762	1	1
GO:0042175	nuclear outer membrane-endoplasmic retic...	180	108	110.71	37	0.9415	0.37902	1	1
GO:0005730	nucleolus	140	88	86.11	38	0.6627	0.40594	1	1
GO:0005813	centrosome	66	42	40.59	39	0.3865	0.41262	1	1
GO:0043226	organelle	3655	2256	2248.1	40	0.9906	0.41265	1	1
GO:0071944	cell periphery	796	478	489.6	41	0.7762	0.41618	1	1
GO:0016021	integral component of membrane	114	80	70.12	42	0.7526	0.43021	1	1
GO:0031984	organelle subcompartment	228	138	140.24	43	0.7391	0.43706	1	1
GO:1990204	oxidoreductase complex	65	41	39.98	44	0.7059	0.45081	1	1
GO:0031461	cullin-RING ubiquitin ligase complex	57	36	35.06	45	0.7799	0.45615	1	1
GO:0005840	ribosome	154	88	94.72	46	0.9107	0.46857	1	1
GO:0005874	microtubule	59	37	36.29	47	0.3001	0.48151	1	1
GO:0110165	cellular anatomical entity	5846	3583	3595.73	48	0.8733	0.52	1	1
GO:0005576	extracellular region	267	161	164.23	49	0.1349	0.52621	0.703826086956522	1
GO:0140534	endoplasmic reticulum protein-containing...	50	31	30.75	50	0.6117	0.53386	1	1
GO:0019898	extrinsic component of membrane	55	34	33.83	51	0.4658	0.54061	1	1
GO:0032993	protein-DNA complex	52	32	31.98	52	0.4633	0.55921	1	1
GO:0140513	nuclear protein-containing complex	581	335	357.36	53	0.295	0.56313	1	1
GO:0043231	intracellular membrane-bounded organelle	3100	1944	1906.73	54	0.5347	0.56381	1	1
GO:0005911	cell-cell junction	51	31	31.37	55	0.4992	0.60296	1	1
GO:0000323	lytic vacuole	53	32	32.6	56	0.5365	0.61524	1	1
GO:0031090	organelle membrane	546	341	335.83	57	0.8751	0.61587	1	1
GO:0000428	DNA-directed RNA polymerase complex	73	39	44.9	58	0.9813	0.61614	1	1
GO:0015629	actin cytoskeleton	86	52	52.9	59	0.5561	0.62514	1	1
GO:0005635	nuclear envelope	53	32	32.6	60	0.6602	0.62586	1	1
GO:0031410	cytoplasmic vesicle	218	128	134.09	61	0.3939	0.64833	1	1
GO:0140535	intracellular protein-containing complex	338	204	207.9	62	0.2071	0.66008	0.887571428571429	1
GO:0005764	lysosome	52	31	31.98	63	0.4032	0.66754	1	1
GO:0099568	cytoplasmic region	52	31	31.98	64	0.0478	0.66754	0.48	1
GO:0098827	endoplasmic reticulum subcompartment	181	108	111.33	65	0.3871	0.67045	1	1
GO:0055029	nuclear DNA-directed RNA polymerase comp...	72	38	44.29	66	0.6963	0.68245	1	1
GO:0005929	cilium	139	83	85.5	67	0.0695	0.70291	0.493333333333333	1
GO:0015630	microtubule cytoskeleton	223	136	137.16	68	0.3773	0.70592	1	1
GO:0005789	endoplasmic reticulum membrane	178	106	109.48	69	0.4178	0.73443	1	1
GO:0005615	extracellular space	152	90	93.49	70	0.1618	0.75085	0.746769230769231	1
GO:0031982	vesicle	227	133	139.62	71	0.3938	0.76637	1	1
GO:0005737	cytoplasm	2694	1642	1657.01	72	0.0566	0.77128	0.487714285714286	1
GO:0099080	supramolecular complex	150	94	92.26	73	0.3184	0.77131	1	1
GO:0090575	RNA polymerase II transcription regulato...	59	34	36.29	74	0.2649	0.77461	1	1
GO:0030135	coated vesicle	54	31	33.21	75	0.114	0.77832	0.621818181818182	1
GO:0031966	mitochondrial membrane	175	119	107.64	76	0.3701	0.79624	1	1
GO:0005654	nucleoplasm	215	122	132.24	77	0.0425	0.79883	0.48	1
GO:0031012	extracellular matrix	82	47	50.44	78	0.0024	0.81623	0.096	1
GO:0000785	chromatin	99	57	60.89	79	0.5478	0.82019	1	1
GO:0019866	organelle inner membrane	145	102	89.19	80	0.7767	0.83531	1	1
GO:0005759	mitochondrial matrix	88	62	54.13	81	0.6716	0.84899	1	1
GO:0031981	nuclear lumen	401	244	246.65	82	0.428	0.84939	1	1
GO:0044391	ribosomal subunit	123	68	75.65	83	0.473	0.86056	1	1
GO:1990904	ribonucleoprotein complex	383	202	235.57	84	0.4822	0.86079	1	1
GO:0005794	Golgi apparatus	211	127	129.78	85	0.0657	0.86238	0.493333333333333	1
GO:0005740	mitochondrial envelope	189	126	116.25	86	0.5759	0.87304	1	1
GO:0098588	bounding membrane of organelle	227	136	139.62	87	0.2256	0.87935	0.93351724137931	1
GO:0015934	large ribosomal subunit	74	41	45.52	88	0.5409	0.88541	1	1
GO:0070013	intracellular organelle lumen	507	315	311.84	89	0.3324	0.93074	1	1
GO:0030684	preribosome	71	38	43.67	90	0.0895	0.93381	0.511428571428571	1
GO:0030659	cytoplasmic vesicle membrane	92	50	56.59	91	0.0569	0.93596	0.487714285714286	1
GO:0120114	Sm-like protein family complex	52	27	31.98	92	0.3637	0.9404	1	1
GO:1905368	peptidase complex	61	32	37.52	93	0.0019	0.94302	0.096	1
GO:0005768	endosome	117	64	71.96	94	0.07	0.94681	0.493333333333333	1
