GO.ID	Term	Annotated	Significant	Expected	Rank in weight_fisher	weight_ks	weight_fisher	weight_ks_adjusted	weight_fisher_adjusted
GO:0004930	G protein-coupled receptor activity	93	72	56.37	1	0.88172	0.00042	1	0.06972
GO:0140101	catalytic activity, acting on a tRNA	76	58	46.07	2	0.96695	0.00275	1	0.22825
GO:0004518	nuclease activity	82	61	49.7	3	0.90849	0.006	1	0.332
GO:0098772	molecular function regulator	345	233	209.11	4	0.99562	0.01112	1	0.384013333333333
GO:0005261	cation channel activity	99	71	60.01	5	0.97932	0.01355	1	0.384013333333333
GO:0015291	secondary active transmembrane transport...	63	47	38.19	6	0.4665	0.01388	1	0.384013333333333
GO:0046873	metal ion transmembrane transporter acti...	119	83	72.13	7	0.29206	0.02347	0.946487307692308	0.453844
GO:0000978	RNA polymerase II cis-regulatory region ...	268	178	162.44	8	0.29649	0.0265	0.946487307692308	0.453844
GO:0048018	receptor ligand activity	51	38	30.91	9	0.53918	0.02668	1	0.453844
GO:0005543	phospholipid binding	95	59	57.58	10	0.52478	0.02734	1	0.453844
GO:0005102	signaling receptor binding	118	86	71.52	11	0.84542	0.03817	1	0.57602
GO:0005085	guanyl-nucleotide exchange factor activi...	68	48	41.22	12	0.49871	0.05662	1	0.783243333333333
GO:0015276	ligand-gated ion channel activity	56	40	33.94	13	0.77488	0.06142	1	0.784286153846154
GO:0004888	transmembrane signaling receptor activit...	318	181	192.75	14	0.80086	0.06615	1	0.78435
GO:0016788	hydrolase activity, acting on ester bond...	312	211	189.11	15	0.94383	0.07747	1	0.857334666666667
GO:0000981	DNA-binding transcription factor activit...	351	225	212.75	16	0.14264	0.0931	0.7434725	0.9659125
GO:0140097	catalytic activity, acting on DNA	120	83	72.73	17	0.75455	0.10497	1	1
GO:0008094	ATP-dependent activity, acting on DNA	67	46	40.61	18	0.87746	0.10855	1	1
GO:0016298	lipase activity	52	36	31.52	19	0.9443	0.12755	1	1
GO:0008509	anion transmembrane transporter activity	88	59	53.34	20	0.56156	0.12795	1	1
GO:0003690	double-stranded DNA binding	409	266	247.9	21	0.94215	0.12902	1	1
GO:0042578	phosphoric ester hydrolase activity	153	96	92.74	22	0.95955	0.13429	1	1
GO:0016818	hydrolase activity, acting on acid anhyd...	329	192	199.41	23	0.87218	0.1686	1	1
GO:0046943	carboxylic acid transmembrane transporte...	64	43	38.79	24	0.7765	0.17046	1	1
GO:0003677	DNA binding	707	453	428.53	25	0.89488	0.1835	1	1
GO:0020037	heme binding	84	55	50.91	26	0.90299	0.21105	1	1
GO:0016705	oxidoreductase activity, acting on paire...	89	58	53.95	27	0.75816	0.21972	1	1
GO:0008237	metallopeptidase activity	104	65	63.04	28	0.67064	0.22153	1	1
GO:0030554	adenyl nucleotide binding	627	372	380.04	29	0.9983	0.22431	1	1
GO:0016772	transferase activity, transferring phosp...	395	213	239.42	30	0.99081	0.236	1	1
GO:0022853	active ion transmembrane transporter act...	64	42	38.79	31	0.35659	0.24478	0.972052459016393	1
GO:0046914	transition metal ion binding	409	241	247.9	32	0.99776	0.26107	1	1
GO:0004721	phosphoprotein phosphatase activity	58	38	35.16	33	0.79389	0.26545	1	1
GO:0008757	S-adenosylmethionine-dependent methyltra...	79	51	47.88	34	0.69002	0.27409	1	1
GO:0004386	helicase activity	71	46	43.03	35	0.96996	0.27556	1	1
GO:0003723	RNA binding	546	339	330.94	36	0.86983	0.27682	1	1
GO:0022836	gated channel activity	92	64	55.76	37	0.2909	0.28209	0.946487307692308	1
GO:0016758	hexosyltransferase activity	76	49	46.07	38	0.54014	0.28471	1	1
GO:0030234	enzyme regulator activity	258	167	156.38	39	0.78038	0.2949	1	1
GO:0004497	monooxygenase activity	65	42	39.4	40	0.6578	0.29829	1	1
GO:0003682	chromatin binding	86	55	52.13	41	0.74497	0.3011	1	1
GO:0005215	transporter activity	546	351	330.94	42	0.47494	0.30287	1	1
GO:0005216	ion channel activity	151	106	91.52	43	0.83609	0.30329	1	1
GO:0003712	transcription coregulator activity	112	71	67.89	44	0.15066	0.30692	0.757865454545455	1
GO:0003729	mRNA binding	104	66	63.04	45	0.60731	0.31112	1	1
GO:0140098	catalytic activity, acting on RNA	205	139	124.26	46	0.92576	0.32357	1	1
GO:0051015	actin filament binding	64	41	38.79	47	0.62929	0.33311	1	1
GO:0016874	ligase activity	111	70	67.28	48	0.85454	0.33389	1	1
GO:0016741	transferase activity, transferring one-c...	110	71	66.67	49	0.81982	0.34664	1	1
GO:0003779	actin binding	96	62	58.19	50	0.45321	0.34735	1	1
GO:0090079	translation regulator activity, nucleic ...	60	38	36.37	51	0.76848	0.34737	1	1
GO:0030674	protein-macromolecule adaptor activity	58	37	35.16	52	0.91293	0.36157	1	1
GO:0000976	transcription cis-regulatory region bind...	367	237	222.45	53	0.2845	0.36337	0.946487307692308	1
GO:0019001	guanyl nucleotide binding	155	86	93.95	54	0.78402	0.36899	1	1
GO:0005096	GTPase activator activity	120	81	72.73	55	0.662	0.38769	1	1
GO:0008017	microtubule binding	83	52	50.31	56	0.22256	0.39672	0.851995	1
GO:0016740	transferase activity	955	550	578.85	57	0.89216	0.40462	1	1
GO:0008092	cytoskeletal protein binding	218	135	132.14	58	0.6352	0.41043	1	1
GO:0005506	iron ion binding	85	53	51.52	59	0.75713	0.41635	1	1
GO:0008234	cysteine-type peptidase activity	69	43	41.82	60	0.75735	0.43677	1	1
GO:0043565	sequence-specific DNA binding	431	277	261.24	61	0.69654	0.4428	1	1
GO:0008238	exopeptidase activity	56	35	33.94	62	0.65479	0.44301	1	1
GO:0038023	signaling receptor activity	356	205	215.78	63	0.77616	0.45222	1	1
GO:0016829	lyase activity	94	58	56.98	64	0.89967	0.45854	1	1
GO:0019899	enzyme binding	173	106	104.86	65	0.60137	0.46189	1	1
GO:0008135	translation factor activity, RNA binding	55	34	33.34	66	0.34633	0.48587	0.972052459016393	1
GO:0061659	ubiquitin-like protein ligase activity	84	51	50.91	67	0.36652	0.48592	0.9740309375	1
GO:0036094	small molecule binding	979	564	593.4	68	0.80979	0.5072	1	1
GO:1990837	sequence-specific double-stranded DNA bi...	383	247	232.15	69	0.63502	0.53975	1	1
GO:0008168	methyltransferase activity	105	67	63.64	70	0.42935	0.54501	1	1
GO:0060090	molecular adaptor activity	74	47	44.85	71	0.79484	0.54651	1	1
GO:0000987	cis-regulatory region sequence-specific ...	274	182	166.08	72	0.34329	0.55195	0.972052459016393	1
GO:0042626	ATPase-coupled transmembrane transporter...	61	37	36.97	73	0.83881	0.55313	1	1
GO:0016798	hydrolase activity, acting on glycosyl b...	58	35	35.16	74	0.26924	0.57368	0.946487307692308	1
GO:0043169	cation binding	724	423	438.83	75	0.62086	0.59068	1	1
