dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.46866221096488164	0.3913963612377408	0.9256034948600002	0.3010299956639812	1.0986122886681098	2.0	multicellular organismal process	1. multicellular organismal process	['GO:0032501', 'GO:0003008']	GO:0032501	152.0
2	-0.8654316361168753	0.7503089479831921	1.1466045929587079	0.47712125471966244	1.6094379124341003	3.0	microtubule cytoskeleton organizati...	2. microtubule cytoskeleton organizati...	['GO:0000226', 'GO:0007018', 'GO:0030036', 'GO:0000280']	GO:0000226	50.0
3	0.5438964176814363	0.9180403039492663	1.0524281220370153	0.6020599913279624	1.0986122886681098	4.0	potassium ion transmembrane transpo...	3. potassium ion transmembrane transpo...	['GO:0071805', 'GO:0006814']	GO:0071805	22.0
4	-0.20860146925481804	1.070391536882193	0.8997846175276344	0.6989700043360189	1.0986122886681098	5.0	regulation of transcription by RNA ...	4. regulation of transcription by RNA ...	['GO:0006357', 'GO:0010629']	GO:0006357	142.0
5	-0.0676256483822575	0.2901923518249605	1.1854184826680885	0.9030899869919435	0.6931471805599453	8.0	mitotic cell cycle process	5. mitotic cell cycle process	['GO:1903047']	GO:1903047	40.0
6	0.21070507915107028	-1.0480867874713307	0.7009417581117069	0.9542425094393249	0.6931471805599453	9.0	organonitrogen compound catabolic p...	6. organonitrogen compound catabolic p...	['GO:1901565']	GO:1901565	51.0
7	0.7259820420301178	-0.7692497639288692	0.33627504358882865	1.0	0.6931471805599453	10.0	carbohydrate metabolic process	7. carbohydrate metabolic process	['GO:0005975']	GO:0005975	47.0
8	-0.8862215481898053	-0.5885133110680777	0.372605439930577	1.0791812460476249	0.6931471805599453	12.0	response to stress	8. response to stress	['GO:0006950']	GO:0006950	69.0
9	-0.3759297198140702	-0.12986175227277688	1.3756011217398068	1.146128035678238	0.6931471805599453	14.0	mitotic cell cycle	9. mitotic cell cycle	['GO:0000278']	GO:0000278	54.0
10	0.41020692566266936	-0.8520579145633522	0.25214810331323895	1.2304489213782739	0.6931471805599453	17.0	amide metabolic process	10. amide metabolic process	['GO:0043603']	GO:0043603	52.0
11	0.8557722170453773	-0.5319859940835209	0.3731498603765281	1.3222192947339193	0.6931471805599453	21.0	lipid metabolic process	11. lipid metabolic process	['GO:0006629']	GO:0006629	60.0
12	-0.9766859200928736	0.609674051350917	1.2847904732508904	1.3424226808222062	1.0986122886681098	22.0	cilium assembly	12. cilium assembly	['GO:0060271', 'GO:0031175']	GO:0060271	32.0
13	-0.07642167626599462	0.8656566282794458	1.3437711357404585	1.3617278360175928	0.6931471805599453	23.0	chemical synaptic transmission	13. chemical synaptic transmission	['GO:0007268']	GO:0007268	28.0
14	-0.09474736826011707	-0.9956015307548156	0.27769428462908785	1.380211241711606	0.6931471805599453	24.0	carbohydrate derivative metabolic p...	14. carbohydrate derivative metabolic p...	['GO:1901135']	GO:1901135	58.0
15	0.7223854433412835	0.17917143115536827	0.9369006422104337	1.3979400086720377	0.6931471805599453	25.0	cell adhesion	15. cell adhesion	['GO:0007155']	GO:0007155	24.0
16	-1.0400539700853437	0.3121909376493389	1.4018496483141099	1.4471580313422192	1.791759469228055	28.0	cellular component morphogenesis	16. cellular component morphogenesis	['GO:0032989', 'GO:0048731', 'GO:0048856', 'GO:0030182', 'GO:0032502']	GO:0032989	17.0
17	0.8654835571728283	0.7677139021530665	0.4341490123911586	1.4771212547196624	1.0986122886681098	30.0	nitrogen compound transport	17. nitrogen compound transport	['GO:0055085', 'GO:0071705']	GO:0071705	49.0
18	0.11664570690137933	-0.40059430836962306	0.37191284969347	1.4913616938342726	0.6931471805599453	31.0	phosphorylation	18. phosphorylation	['GO:0016310']	GO:0016310	65.0
19	-0.8198509133321327	-0.015358716408343102	0.8432058078219109	1.505149978319906	0.6931471805599453	32.0	G protein-coupled receptor signalin...	19. G protein-coupled receptor signalin...	['GO:0007186']	GO:0007186	34.0
20	-0.6101381403328511	-0.84583087000339	1.0055551516517305	1.5185139398778875	0.6931471805599453	33.0	reproductive process	20. reproductive process	['GO:0022414']	GO:0022414	20.0
21	1.1019684101760936	0.022404496458609265	1.0674975697500604	1.5314789170422551	0.6931471805599453	34.0	inorganic ion homeostasis	21. inorganic ion homeostasis	['GO:0098771']	GO:0098771	15.0
