dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.4548624907904653	0.12209028475242173	1.06579447895588	0.0	0.6931471805599453	1.0	extracellular space	1. extracellular space	['GO:0005615']	GO:0005615	61.0
2	-1.022532962470464	0.15108359045991746	1.1954910052016106	0.3010299956639812	0.6931471805599453	2.0	extracellular matrix	2. extracellular matrix	['GO:0031012']	GO:0031012	35.0
3	0.13657031982346957	-0.6932859916517413	0.6759948051503706	0.47712125471966244	0.6931471805599453	3.0	extracellular region	3. extracellular region	['GO:0005576']	GO:0005576	104.0
4	0.8923031140516506	-0.43293468918884354	-1.268655764030557	0.6020599913279624	0.6931471805599453	4.0	membrane	4. membrane	['GO:0016020']	GO:0016020	366.0
5	0.5087303277242685	-0.9267681287072133	1.0038888648977267	0.6989700043360189	1.6094379124341003	5.0	microtubule	5. microtubule	['GO:0005874', 'GO:0099513', 'GO:0099512', 'GO:0099080']	GO:0005874	24.0
6	0.3149474670903789	0.9741468080118252	0.9663787302999612	0.9030899869919435	1.0986122886681098	8.0	chromosome	6. chromosome	['GO:0005694', 'GO:0043232']	GO:0005694	61.0
7	-0.1615929813053111	-0.21525399789955293	1.2923130401431802	0.9542425094393249	0.6931471805599453	9.0	centrosome	7. centrosome	['GO:0005813']	GO:0005813	22.0
8	-0.511246426713951	0.898843203429693	1.126756304841758	1.0791812460476249	1.3862943611198906	12.0	cilium	8. cilium	['GO:0005929', 'GO:0043005', 'GO:0030424']	GO:0005929	38.0
9	1.042834459503275	-0.2213095508709876	-0.0190862913860562	1.1139433523068367	0.6931471805599453	13.0	plasma membrane	9. plasma membrane	['GO:0005886']	GO:0005886	152.0
10	-0.7809772893494212	-0.7777389092270017	1.1358604537169412	1.146128035678238	0.6931471805599453	14.0	microtubule associated complex	10. microtubule associated complex	['GO:0005875']	GO:0005875	19.0
11	0.0061483476957495415	1.1115144221363102	0.33860392757157926	1.2041199826559248	0.6931471805599453	16.0	nucleus	11. nucleus	['GO:0005634']	GO:0005634	323.0
12	-0.9711170472909516	-0.500756907311083	1.2733744346264977	1.255272505103306	1.0986122886681098	18.0	chromatin	12. chromatin	['GO:0000785', 'GO:0032993']	GO:0000785	27.0
13	0.9269551175912142	0.40909503546612497	1.495563640685667	1.2787536009528289	0.6931471805599453	19.0	cytoplasmic region	13. cytoplasmic region	['GO:0099568']	GO:0099568	16.0
14	-0.1904042158443041	-1.0162840557264372	1.0830573472116387	1.3222192947339193	0.6931471805599453	21.0	synapse	14. synapse	['GO:0045202']	GO:0045202	30.0
15	-0.14361809207654086	0.9687745907552231	0.8783047745958886	1.3424226808222062	0.6931471805599453	22.0	cytoskeleton	15. cytoskeleton	['GO:0005856']	GO:0005856	101.0
16	-0.5018626292195285	0.14878429557134465	-3.224520286643673	1.3617278360175928	0.6931471805599453	23.0	cellular anatomical entity	16. cellular anatomical entity	['GO:0110165']	GO:0110165	1067.0
