GO.ID	Term	Annotated	Significant	Expected	Rank in weight_fisher	weight_ks	weight_fisher	weight_ks_adjusted	weight_fisher_adjusted
GO:0005615	extracellular space	152	61	27.75	1	0.66491	1.4e-10	1	1.68e-08
GO:0031012	extracellular matrix	82	35	14.97	2	0.16615	2.2e-07	0.443066666666667	1.28e-05
GO:0005576	extracellular region	267	104	48.75	3	0.28125	3.2e-07	0.649038461538461	1.28e-05
GO:0016020	membrane	1889	366	344.89	4	0.54954	3.2e-06	0.903353424657534	9.6e-05
GO:0005874	microtubule	59	24	10.77	5	0.8984	4.6e-05	1	0.001104
GO:0099080	supramolecular complex	150	63	27.39	6	0.99293	1e-04	1	0.002
GO:0043005	neuron projection	149	47	27.2	7	0.38221	0.00081	0.751888524590164	0.0138857142857143
GO:0005694	chromosome	211	61	38.52	8	0.58972	0.00128	0.925090909090909	0.0192
GO:0005813	centrosome	66	22	12.05	9	0.81369	0.00232	1	0.0309333333333333
GO:0099512	supramolecular fiber	91	40	16.61	10	0.99994	0.00345	1	0.0388363636363636
GO:0099513	polymeric cytoskeletal fiber	75	32	13.69	11	0.80406	0.00356	1	0.0388363636363636
GO:0005929	cilium	139	38	25.38	12	0.20199	0.00495	0.51571914893617	0.0495
GO:0005886	plasma membrane	688	152	125.61	13	0.00176	0.00659	0.0176	0.0608307692307692
GO:0005875	microtubule associated complex	60	19	10.95	14	0.91958	0.00835	1	0.0715714285714286
GO:0043232	intracellular non-membrane-bounded organ...	918	202	167.61	15	0.93959	0.01125	1	0.09
GO:0005634	nucleus	1805	323	329.56	16	0.06162	0.01251	0.254979310344828	0.093825
GO:0030424	axon	51	16	9.31	17	0.12353	0.01628	0.37773	0.111666666666667
GO:0000785	chromatin	99	27	18.08	18	0.96872	0.01675	1	0.111666666666667
GO:0099568	cytoplasmic region	52	16	9.49	19	0.52931	0.01965	0.89085	0.1179
GO:0032993	protein-DNA complex	52	16	9.49	20	0.56429	0.01965	0.915064864864865	0.1179
GO:0045202	synapse	115	30	21	21	0.70288	0.02247	1	0.1284
GO:0005856	cytoskeleton	360	101	65.73	22	0.90318	0.03029	1	0.165218181818182
GO:0110165	cellular anatomical entity	5846	1067	1067.36	23	0.99974	0.0381	1	0.198782608695652
GO:0098797	plasma membrane protein complex	86	20	15.7	24	0.46464	0.14331	0.832191044776119	0.687888
GO:0015629	actin cytoskeleton	86	20	15.7	25	0.91544	0.14331	1	0.687888
GO:0005635	nuclear envelope	53	13	9.68	26	0.95859	0.15629	1	0.721338461538461
GO:0000228	nuclear chromosome	66	15	12.05	27	0.1167	0.21245	0.368526315789474	0.944222222222222
GO:0030054	cell junction	177	40	32.32	28	0.89939	0.22517	1	0.965014285714286
GO:0070161	anchoring junction	61	9	11.14	29	0.90103	0.27188	1	1
GO:0098590	plasma membrane region	96	20	17.53	30	0.97586	0.29294	1	1
GO:0005667	transcription regulator complex	114	17	20.81	31	0.34711	0.30203	0.743145762711864	1
GO:0031224	intrinsic component of membrane	116	19	21.18	32	0.9832	0.33263	1	1
GO:0042175	nuclear outer membrane-endoplasmic retic...	180	22	32.86	33	0.98301	0.33509	1	1
GO:0015630	microtubule cytoskeleton	223	64	40.72	34	0.43585	0.43238	0.804646153846154	1
GO:0098827	endoplasmic reticulum subcompartment	181	22	33.05	35	0.4298	0.45785	0.804646153846154	1
GO:1990904	ribonucleoprotein complex	383	37	69.93	36	0.91344	0.458	1	1
GO:0005815	microtubule organizing center	107	30	19.54	37	0.22207	0.46922	0.555175	1
GO:0005773	vacuole	83	10	15.15	38	0.79545	0.48098	1	1
GO:1902495	transmembrane transporter complex	75	14	13.69	39	0.69668	0.5107	1	1
GO:0043231	intracellular membrane-bounded organelle	3100	451	566	40	0.82741	0.52487	1	1
GO:1990351	transporter complex	79	15	14.42	41	0.99652	0.55353	1	1
GO:0055029	nuclear DNA-directed RNA polymerase comp...	72	7	13.15	42	0.57984	0.59514	0.925090909090909	1
GO:0043235	receptor complex	51	9	9.31	43	0.275	0.60235	0.647764705882353	1
GO:0043226	organelle	3655	589	667.33	44	0.81305	0.67207	1	1
GO:0042995	cell projection	295	84	53.86	45	0.76742	0.69002	1	1
GO:0031461	cullin-RING ubiquitin ligase complex	57	9	10.41	46	0.53307	0.73747	0.89085	1
GO:0005740	mitochondrial envelope	189	18	34.51	47	0.71157	0.76299	1	1
GO:0031410	cytoplasmic vesicle	218	15	39.8	48	0.48134	0.8091	0.849423529411765	1
GO:0031982	vesicle	227	16	41.45	49	0.09093	0.84486	0.322011428571429	1
GO:0005746	mitochondrial respirasome	52	7	9.49	50	0.5936	0.86189	0.925090909090909	1
GO:0120025	plasma membrane bounded cell projection	289	83	52.77	51	0.14046	0.88306	0.401314285714286	1
GO:0098803	respiratory chain complex	54	7	9.86	52	0.36513	0.88671	0.743145762711864	1
