GO.ID	Term	Annotated	Significant	Expected	Rank in weight_fisher	weight_ks	weight_fisher	weight_ks_adjusted	weight_fisher_adjusted
GO:0000981	DNA-binding transcription factor activit...	351	120	71.27	1	0.01712	3e-10	0.1852975	4.98e-08
GO:0000978	RNA polymerase II cis-regulatory region ...	268	90	54.42	2	0.00439	1.4e-07	0.104105714285714	1.162e-05
GO:0020037	heme binding	84	36	17.06	3	0.94852	2e-06	1	0.000110666666666667
GO:0016705	oxidoreductase activity, acting on paire...	89	35	18.07	4	0.80513	2.7e-05	1	0.0011205
GO:0004497	monooxygenase activity	65	27	13.2	5	0.84914	7.2e-05	1	0.0023904
GO:0005198	structural molecule activity	247	42	50.15	6	0.56826	8.8e-05	1	0.00243466666666667
GO:0005506	iron ion binding	85	32	17.26	7	0.99465	0.00016	1	0.00379428571428571
GO:0000977	RNA polymerase II transcription regulato...	341	116	69.24	8	0.71718	0.00106	1	0.0197355555555556
GO:0046943	carboxylic acid transmembrane transporte...	64	24	13	9	0.88585	0.00107	1	0.0197355555555556
GO:0022857	transmembrane transporter activity	508	140	103.15	10	0.97475	0.0014	1	0.02324
GO:0005509	calcium ion binding	160	48	32.49	11	0.97361	0.00208	1	0.0313890909090909
GO:0003774	cytoskeletal motor activity	58	21	11.78	12	0.48469	0.00354	0.893983777777778	0.04897
GO:0008061	chitin binding	52	19	10.56	13	0.15587	0.00482	0.562982083333333	0.0615476923076923
GO:1990837	sequence-specific double-stranded DNA bi...	383	129	77.77	14	0.92149	0.00602	1	0.07138
GO:0008017	microtubule binding	83	26	16.85	15	0.54959	0.01138	0.991651521739131	0.12211375
GO:0015276	ligand-gated ion channel activity	56	19	11.37	16	0.30492	0.01177	0.767823235294118	0.12211375
GO:0016614	oxidoreductase activity, acting on CH-OH...	82	19	16.65	17	0.86187	0.01407	1	0.137389411764706
GO:0022836	gated channel activity	92	32	18.68	18	0.81816	0.01934	1	0.178357777777778
GO:1901363	heterocyclic compound binding	2225	473	451.78	19	0.82266	0.02062	1	0.180153684210526
GO:0004930	G protein-coupled receptor activity	93	27	18.88	20	0.02958	0.02757	0.272793333333333	0.228831
GO:0097159	organic cyclic compound binding	2239	476	454.62	21	0.91964	0.02925	1	0.231214285714286
GO:0046873	metal ion transmembrane transporter acti...	119	33	24.16	22	0.48179	0.03088	0.893983777777778	0.233003636363636
GO:0016798	hydrolase activity, acting on glycosyl b...	58	18	11.78	23	0.97409	0.03489	1	0.245956666666667
GO:0140657	ATP-dependent activity	316	65	64.16	24	0.3903	0.03556	0.842352987012987	0.245956666666667
GO:0016491	oxidoreductase activity	385	108	78.17	25	0.98546	0.05375	1	0.3569
GO:0045182	translation regulator activity	68	11	13.81	26	0.88108	0.05975	1	0.381480769230769
GO:0019842	vitamin binding	55	16	11.17	27	0.74026	0.07649	1	0.470271851851852
GO:0033218	amide binding	56	16	11.37	28	0.96972	0.08777	1	0.514142068965517
GO:0005261	cation channel activity	99	26	20.1	29	0.5562	0.08982	0.992787096774194	0.514142068965517
GO:0008509	anion transmembrane transporter activity	88	23	17.87	30	0.73676	0.11033	1	0.598081935483871
GO:0005215	transporter activity	546	151	110.86	31	0.74235	0.11169	1	0.598081935483871
GO:0004888	transmembrane signaling receptor activit...	318	78	64.57	32	0.1573	0.13676	0.562982083333333	0.662985555555555
GO:0042578	phosphoric ester hydrolase activity	153	36	31.07	33	0.95865	0.13878	1	0.662985555555555
GO:0097367	carbohydrate derivative binding	858	176	174.21	34	0.99966	0.14122	1	0.662985555555555
GO:0046983	protein dimerization activity	122	30	24.77	35	0.46925	0.14191	0.893983777777778	0.662985555555555
GO:0005549	odorant binding	163	39	33.1	36	7.8e-18	0.14378	6.474e-16	0.662985555555555
GO:0016791	phosphatase activity	127	28	25.79	37	0.76985	0.14853	1	0.666377837837838
GO:0016298	lipase activity	52	14	10.56	38	0.99173	0.15418	1	0.673523157894737
GO:0003700	DNA-binding transcription factor activit...	401	133	81.42	39	0.00949	0.1628	0.157247272727273	0.67779380952381
GO:0015318	inorganic molecular entity transmembrane...	249	63	50.56	40	0.97648	0.16402	1	0.67779380952381
GO:0008324	cation transmembrane transporter activit...	189	45	38.38	41	0.96028	0.17004	1	0.67779380952381
GO:0004252	serine-type endopeptidase activity	75	19	15.23	42	0.85506	0.17149	1	0.67779380952381
GO:0015291	secondary active transmembrane transport...	63	16	12.79	43	0.48028	0.1946	0.893983777777778	0.751246511627907
GO:0022804	active transmembrane transporter activit...	133	32	27.01	44	0.96127	0.2024	1	0.7636
GO:0022853	active ion transmembrane transporter act...	64	16	13	45	0.70211	0.21356	1	0.787799111111111
GO:0030234	enzyme regulator activity	258	43	52.39	46	0.67645	0.23907	1	0.862599574468085
GO:0042626	ATPase-coupled transmembrane transporter...	61	15	12.39	47	0.93328	0.24423	1	0.862599574468085
GO:0140110	transcription regulator activity	518	149	105.18	48	0.70241	0.2546	1	0.880491666666667
GO:0015631	tubulin binding	105	32	21.32	49	0.89689	0.2738	1	0.9167516
GO:0008289	lipid binding	130	20	26.4	50	0.86127	0.27613	1	0.9167516
GO:0051015	actin filament binding	64	15	13	51	0.83349	0.31094	1	1
GO:0003779	actin binding	96	23	19.49	52	0.20074	0.31552	0.61708962962963	1
GO:0048018	receptor ligand activity	51	12	10.36	53	0.07089	0.33426	0.379604516129032	1
GO:0000987	cis-regulatory region sequence-specific ...	274	92	55.63	54	0.43416	0.33838	0.893983777777778	1
GO:0004672	protein kinase activity	226	50	45.89	55	0.37221	0.34136	0.8238248	1
GO:0016829	lyase activity	94	21	19.09	56	0.89753	0.34963	1	1
GO:0004674	protein serine/threonine kinase activity	137	30	27.82	57	0.27387	0.35249	0.750401639344262	1
GO:0008233	peptidase activity	271	50	55.03	58	0.7145	0.35437	1	1
GO:0003729	mRNA binding	104	23	21.12	59	0.47075	0.35926	0.893983777777778	1
GO:0046914	transition metal ion binding	409	91	83.05	60	0.89423	0.3782	1	1
GO:0050660	flavin adenine dinucleotide binding	67	15	13.6	61	0.42891	0.38185	0.893983777777778	1
GO:0008237	metallopeptidase activity	104	22	21.12	62	0.39073	0.41551	0.842352987012987	1
GO:0016757	glycosyltransferase activity	106	15	21.52	63	0.70312	0.41556	1	1
GO:0003824	catalytic activity	2679	514	543.96	64	0.8557	0.4185	1	1
GO:0016818	hydrolase activity, acting on acid anhyd...	329	57	66.8	65	0.77525	0.43621	1	1
GO:0004984	olfactory receptor activity	143	30	29.04	66	2.1e-21	0.45332	3.486e-19	1
GO:0008238	exopeptidase activity	56	12	11.37	67	0.58031	0.46977	1	1
GO:0036094	small molecule binding	979	196	198.78	68	0.87389	0.48045	1	1
GO:0043168	anion binding	928	183	188.43	69	0.05778	0.48149	0.358674482758621	1
GO:0030554	adenyl nucleotide binding	627	123	127.31	70	0.88533	0.49538	1	1
GO:0016787	hydrolase activity	1037	197	210.56	71	0.30168	0.56888	0.767823235294118	1
GO:0032553	ribonucleotide binding	784	150	159.19	72	0.95132	0.57786	1	1
GO:0004222	metalloendopeptidase activity	50	10	10.15	73	0.31266	0.57789	0.767823235294118	1
GO:0061659	ubiquitin-like protein ligase activity	84	7	17.06	74	0.57765	0.59986	1	1
GO:0000976	transcription cis-regulatory region bind...	367	121	74.52	75	0.06171	0.61075	0.358674482758621	1
GO:0008168	methyltransferase activity	105	14	21.32	76	0.16149	0.63681	0.562982083333333	1
GO:0016301	kinase activity	315	67	63.96	77	0.47847	0.64804	0.893983777777778	1
GO:0005524	ATP binding	612	121	124.26	78	0.14187	0.65168	0.562982083333333	1
GO:0022890	inorganic cation transmembrane transport...	174	40	35.33	79	0.93617	0.66306	1	1
GO:0060090	molecular adaptor activity	74	8	15.03	80	0.76396	0.66332	1	1
GO:0038023	signaling receptor activity	356	85	72.28	81	0.61085	0.6654	1	1
GO:0000166	nucleotide binding	898	174	182.34	82	0.27575	0.67074	0.750401639344262	1
GO:0016740	transferase activity	955	154	193.91	83	0.67085	0.6727	1	1
GO:0090079	translation regulator activity, nucleic ...	60	7	12.18	84	0.29233	0.68022	0.767823235294118	1
GO:0004842	ubiquitin-protein transferase activity	113	12	22.94	85	0.06989	0.69478	0.379604516129032	1
GO:0043169	cation binding	724	159	147.01	86	0.67726	0.70766	1	1
GO:0015267	channel activity	163	44	33.1	87	0.60901	0.72904	1	1
GO:0005102	signaling receptor binding	118	24	23.96	88	0.5223	0.73206	0.952767032967033	1
GO:0016887	ATP hydrolysis activity	172	32	34.92	89	0.3522	0.74123	0.812016666666667	1
GO:0098772	molecular function regulator	345	61	70.05	90	0.47626	0.74887	0.893983777777778	1
GO:0004721	phosphoprotein phosphatase activity	58	10	11.78	91	0.24647	0.76781	0.693457966101695	1
GO:0016746	acyltransferase activity	127	18	25.79	92	0.471	0.77755	0.893983777777778	1
GO:0016462	pyrophosphatase activity	322	55	65.38	93	0.60801	0.77809	1	1
GO:0016773	phosphotransferase activity, alcohol gro...	289	60	58.68	94	0.37125	0.84794	0.8238248	1
GO:0005216	ion channel activity	151	42	30.66	95	0.4467	0.8488	0.893983777777778	1
GO:0043565	sequence-specific DNA binding	431	136	87.51	96	0.30998	0.85296	0.767823235294118	1
GO:0005525	GTP binding	151	26	30.66	97	0.01172	0.8552	0.162126666666667	1
GO:0016616	oxidoreductase activity, acting on the C...	58	9	11.78	98	0.06266	0.86026	0.358674482758621	1
GO:0008092	cytoskeletal protein binding	218	57	44.26	99	0.18023	0.86924	0.586630980392157	1
GO:0003677	DNA binding	707	182	143.55	100	0.42087	0.87082	0.893983777777778	1
GO:0005543	phospholipid binding	95	11	19.29	101	0.03256	0.87135	0.284471578947368	1
GO:0004518	nuclease activity	82	13	16.65	102	0.31453	0.87638	0.767823235294118	1
GO:0004386	helicase activity	71	11	14.42	103	0.15562	0.87993	0.562982083333333	1
GO:0008236	serine-type peptidase activity	85	20	17.26	104	0.13517	0.89608	0.562982083333333	1
GO:0008270	zinc ion binding	290	51	58.88	105	0.29157	0.89618	0.767823235294118	1
GO:0044877	protein-containing complex binding	166	31	33.71	106	0.22669	0.90397	0.66921298245614	1
GO:0003690	double-stranded DNA binding	409	132	83.05	107	0.45473	0.90644	0.893983777777778	1
GO:0016874	ligase activity	111	17	22.54	108	0.19128	0.92866	0.599103396226415	1
GO:0032559	adenyl ribonucleotide binding	624	122	126.7	109	0.10456	0.93507	0.495913142857143	1
GO:0140097	catalytic activity, acting on DNA	120	16	24.37	110	0.36935	0.93612	0.8238248	1
GO:0008094	ATP-dependent activity, acting on DNA	67	9	13.6	111	0.17387	0.94655	0.586630980392157	1
