GO.ID	Term	Annotated	Significant	Expected	Rank in weight_fisher	weight_ks	weight_fisher	weight_ks_adjusted	weight_fisher_adjusted
GO:0000981	DNA-binding transcription factor activit...	351	120	71.27	1	0.01712	3e-10	0.1852975	4.98e-08
GO:0000978	RNA polymerase II cis-regulatory region ...	268	90	54.42	2	0.00439	1.4e-07	0.104105714285714	1.162e-05
GO:0020037	heme binding	84	36	17.06	3	0.94852	2e-06	1	0.000110666666666667
GO:0016705	oxidoreductase activity, acting on paire...	89	35	18.07	4	0.80513	2.7e-05	1	0.0011205
GO:0004497	monooxygenase activity	65	27	13.2	5	0.84914	7.2e-05	1	0.0023904
GO:0005198	structural molecule activity	247	42	50.15	6	0.56826	8.8e-05	1	0.00243466666666667
GO:0005506	iron ion binding	85	32	17.26	7	0.99465	0.00016	1	0.00379428571428571
GO:0000977	RNA polymerase II transcription regulato...	341	116	69.24	8	0.71718	0.00106	1	0.0197355555555556
GO:0046943	carboxylic acid transmembrane transporte...	64	24	13	9	0.88585	0.00107	1	0.0197355555555556
GO:0022857	transmembrane transporter activity	508	140	103.15	10	0.97475	0.0014	1	0.02324
GO:0005509	calcium ion binding	160	48	32.49	11	0.97361	0.00208	1	0.0313890909090909
GO:0003774	cytoskeletal motor activity	58	21	11.78	12	0.48469	0.00354	0.893983777777778	0.04897
GO:0008061	chitin binding	52	19	10.56	13	0.15587	0.00482	0.562982083333333	0.0615476923076923
GO:1990837	sequence-specific double-stranded DNA bi...	383	129	77.77	14	0.92149	0.00602	1	0.07138
GO:0008017	microtubule binding	83	26	16.85	15	0.54959	0.01138	0.991651521739131	0.12211375
GO:0015276	ligand-gated ion channel activity	56	19	11.37	16	0.30492	0.01177	0.767823235294118	0.12211375
GO:0016614	oxidoreductase activity, acting on CH-OH...	82	19	16.65	17	0.86187	0.01407	1	0.137389411764706
GO:0022836	gated channel activity	92	32	18.68	18	0.81816	0.01934	1	0.178357777777778
GO:1901363	heterocyclic compound binding	2225	473	451.78	19	0.82266	0.02062	1	0.180153684210526
GO:0004930	G protein-coupled receptor activity	93	27	18.88	20	0.02958	0.02757	0.272793333333333	0.228831
GO:0097159	organic cyclic compound binding	2239	476	454.62	21	0.91964	0.02925	1	0.231214285714286
GO:0046873	metal ion transmembrane transporter acti...	119	33	24.16	22	0.48179	0.03088	0.893983777777778	0.233003636363636
GO:0016798	hydrolase activity, acting on glycosyl b...	58	18	11.78	23	0.97409	0.03489	1	0.245956666666667
GO:0140657	ATP-dependent activity	316	65	64.16	24	0.3903	0.03556	0.842352987012987	0.245956666666667
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
