ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	36,83,27,48	0,3,0,0	27,16,13,53,48	0,4,0,0,0	198	149
1	11,62,7,52	0,10,2,8	2,1,1,3,0	0,0,0,1,0	152	149
2	126,395,301,470	14,13,4,12	77,219,81,139,110	6,1,0,2,12	152	149
3	475,959,964,815	129,355,235,168	541,671,572,689,591	176,178,234,183,178	158	149
4	13,17,21,94	0,1,0,5	8,6,6,25,11	0,0,0,21,0	152	149
5	5,25,21,14	11,26,29,20	41,85,69,101,70	35,11,5,35,24	158	149
6	147,355,108,335	0,0,0,2	145,279,178,292,226	0,0,0,0,0	298	149
7	139,279,826,882	439,903,1619,1180	250,428,355,687,639	1052,1930,1743,2779,1646	155	149
8	2,22,53,9	0,2,0,0	14,35,21,60,47	0,1,0,1,0	298	149
9	0,6,2,1	2,23,9,2	3,0,0,0,0	0,0,0,0,4	170	149
10	170,350,219,523	1272,2790,1869,3942	161,226,177,473,273	1219,1851,1607,2363,1601	155	149
11	163,240,47,156	0,0,2,6	53,59,41,2,15	0,0,0,0,0	176	149
12	352,685,136,542	0,12,16,20	169,202,164,134,130	2,6,2,7,4	176	149
13	186,488,627,516	3,41,23,30	200,327,281,467,379	8,37,20,31,31	170	149
14	148,118,95,94	12,102,26,67	104,123,40,136,49	31,85,33,47,61	155	149
15	173,486,603,392	15,23,31,17	573,857,850,988,634	27,54,45,71,54	194	149
16	2,13,0,2	90,140,23,84	5,24,2,8,12	45,65,122,68,64	170	149
17	3,11,14,21	5,9,4,16	35,62,58,62,108	33,54,65,61,49	152	149
18	20,31,15,67	16,2,0,3	0,4,2,9,0	0,2,2,0,0	152	149
19	0,2,28,0	4,0,7,2	4,4,0,2,0	8,0,0,2,0	157	149
20	41,175,437,173	6,10,17,17	36,26,23,23,11	0,0,0,0,0	179	149
21	17,45,117,37	3,6,10,4	0,7,10,14,20	6,5,0,5,8	152	149
22	125,384,690,302	29,59,139,51	125,154,151,144,192	55,48,39,59,36	159	149
23	9,13,56,43	33,65,169,74	58,48,46,78,60	114,138,99,204,138	152	149
24	325,799,738,807	4,55,33,46	896,1201,1123,1510,1190	79,60,59,102,49	152	149
25	30,45,187,81	265,576,551,433	20,44,27,44,38	157,229,297,254,241	298	149
26	0,11,3,19	2,0,0,4	5,2,1,8,12	4,0,1,0,0	154	149
27	34,25,58,51	0,5,35,4	3,14,17,12,24	0,1,6,2,12	154	149
28	0,11,3,23	0,0,2,6	15,6,5,10,10	4,0,0,0,0	154	149
29	41,139,42,124	3,8,6,0	104,200,184,159,100	40,34,15,22,33	152	149
