ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	24,24,16,9	0,6,1,0	4,61,22,50,28	0,4,1,2,2	298	149
1	129,253,174,252	0,8,2,7	109,250,181,177,143	0,2,0,0,0	298	149
2	2,21,49,32	0,12,19,7	5,22,33,32,24	4,12,2,18,26	298	149
3	6,37,41,34	0,2,0,0	6,13,11,33,20	0,1,0,1,0	298	149
4	14,31,53,64	2,14,42,2	6,0,5,11,2	10,22,10,40,29	298	149
5	0,0,0,0	0,2,0,0	0,0,0,2,0	0,0,0,0,0	226	149
6	1,2,20,7	0,0,29,12	8,11,2,0,2	1,10,7,0,3	222	149
7	0,2,21,29	0,0,3,0	11,4,24,2,9	0,0,1,0,4	298	149
8	0,7,36,18	6,5,101,25	8,12,18,27,14	14,20,22,19,21	212	149
10	294,606,169,221	24,48,17,32	864,946,889,1164,1127	45,22,25,28,36	250	149
11	2,4,5,19	4,0,26,22	2,0,0,5,4	0,0,0,15,1	236	149
12	23,51,85,74	1,6,0,2	9,6,11,15,4	0,0,0,0,0	298	149
14	42,32,27,107	4,5,13,16	0,5,6,23,8	6,10,10,0,0	224	149
15	72,60,74,164	10,11,17,21	24,40,40,22,14	4,0,0,3,0	298	149
16	9,12,26,39	20,25,42,20	1,3,2,14,8	0,4,0,0,2	238	149
18	46,148,312,133	2,29,60,22	293,264,166,359,239	54,57,72,94,52	224	149
19	1589,3187,1584,3041	36,98,52,85	1369,2510,1628,2425,1702	25,21,57,69,32	281	149
20	1079,2129,1371,2146	86,211,453,494	1691,2182,2422,2673,2373	10,5,15,17,14	215	149
21	0,11,18,17	0,5,6,5	19,0,36,73,45	10,8,3,9,2	298	149
22	347,651,1150,587	2,16,99,16	600,743,610,807,672	0,3,6,7,0	245	149
23	1240,2903,1841,2749	117,182,803,208	2004,2679,2616,2941,3005	130,177,213,166,159	298	149
25	817,1738,672,2107	11,46,32,5	685,2032,2338,2989,948	2,22,12,29,23	298	149
26	82,262,77,290	347,798,577,803	170,323,202,293,171	250,337,309,368,231	225	149
27	1604,4347,6946,2123	152,347,717,198	6708,4066,4814,4975,3773	1720,838,648,894,703	236	149
28	47,89,73,60	9,13,4,20	60,64,89,39,91	2,13,0,4,6	227	149
29	0,5,45,64	28,45,0,0	17,98,24,37,94	11,0,23,43,0	194	149
30	3,7,19,0	66,176,147,177	9,8,7,14,10	159,207,201,251,203	230	149
31	0,9,20,1	34,35,83,66	39,7,7,22,12	100,122,150,125,82	224	149
32	324,618,917,513	5,10,27,9	217,390,245,408,264	8,6,1,7,3	220	149
33	273,159,192,419	0,9,0,14	1,10,19,33,6	0,3,0,0,0	247	149
34	1968,4699,3340,3549	0,0,7,1	2542,3081,2546,2815,2667	9,3,14,4,3	248	149
35	16,43,110,91	0,0,6,0	85,88,57,95,90	5,4,4,11,3	227	149
36	48,113,142,197	24,35,108,34	87,152,92,145,113	64,79,40,64,65	218	149
37	46,155,188,134	2,6,15,20	175,192,186,310,194	13,48,25,13,7	239	149
38	13,81,110,75	4,18,16,16	41,52,48,56,34	0,4,10,1,6	298	149
39	82,249,237,218	28,99,78,100	139,116,182,349,176	91,47,71,99,71	212	149
