ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	740,2508,1641,1152	0,0,2,0	2329,2814,3602,2913,2303	2,9,73,1,6	298	149
1	376,1242,1024,1077	6,56,5,15	1436,1697,1528,1607,1480	6,18,13,2,0	298	149
2	649,1094,1643,1234	18,14,55,19	991,1236,1122,1380,1043	0,0,0,2,0	298	149
3	922,2072,3141,1469	0,0,3,0	792,1136,850,1014,1002	0,0,0,0,0	256	149
4	233,279,278,555	0,0,2,0	45,108,101,130,68	2,1,0,2,0	298	149
5	311,521,548,956	0,0,0,0	250,284,304,318,299	20,6,2,8,8	298	149
6	15,50,60,122	0,2,2,4	0,8,8,4,2	1,0,11,2,2	298	149
7	119,256,304,528	0,0,0,0	97,168,70,159,86	0,0,0,2,0	298	149
8	211,443,651,559	0,0,0,0	291,520,357,602,445	0,14,0,0,0	298	149
9	110,240,314,267	0,0,0,0	169,352,164,294,292	0,0,0,0,5	298	149
10	65,141,124,200	0,0,7,0	27,91,31,41,42	0,0,1,0,0	298	149
11	48,129,88,120	0,0,1,0	28,88,20,40,39	0,3,6,2,0	298	149
12	23,112,88,126	0,0,1,0	35,89,48,78,52	0,3,6,2,0	298	149
13	4,4,9,10	0,2,6,0	0,0,1,4,5	0,0,0,2,0	298	149
14	46,133,118,210	6,9,1,4	36,95,58,83,55	2,3,0,4,0	298	149
15	95,152,186,239	0,2,6,0	25,123,29,109,31	0,0,0,2,0	298	149
16	118,264,266,365	4,4,2,10	60,209,70,185,83	0,0,0,4,5	298	149
17	93,251,312,325	0,0,0,0	53,205,98,175,108	0,0,0,1,0	298	149
18	80,145,78,408	0,16,0,0	10,22,10,25,3	0,0,0,0,0	298	149
19	2167,4176,1257,4769	1,1,5,0	1968,4068,2724,4666,2979	0,4,2,0,0	298	149
20	4031,9933,3676,9095	0,0,0,0	11374,19974,15369,21280,16265	0,0,0,0,5	298	149
21	459,1061,1724,1237	1,6,2,3	3201,2615,1461,2312,1459	0,14,5,0,5	298	149
22	207,583,679,544	0,2,9,2	1371,1222,669,1145,662	15,9,10,1,0	298	149
23	141,343,562,366	0,0,1,0	879,958,520,708,516	0,0,0,0,0	298	149
24	223,531,728,634	0,0,0,0	1724,1504,835,1369,812	0,3,2,0,0	298	149
25	282,277,546,361	0,1,0,0	73,122,119,134,93	6,0,0,1,0	298	149
26	1520,2504,2960,2815	0,0,0,0	1402,1838,1427,2058,1633	0,12,0,0,0	262	149
27	945,1790,2293,1648	2,4,2,0	1083,1439,1031,1492,1249	0,0,0,0,0	276	149
28	1720,3162,4034,3134	2,0,6,0	2700,3131,3364,3781,3122	0,2,0,0,0	267	149
29	941,1929,2258,1846	0,0,0,0	1492,1928,1885,2033,1808	0,0,0,0,1	268	149
30	281,602,1036,480	2,0,10,0	506,754,667,623,629	4,9,6,2,2	298	149
31	94,268,400,231	0,0,0,0	198,264,226,242,195	0,8,0,0,0	244	149
32	545,1565,549,2697	0,0,0,2	1768,2893,1986,2248,1966	0,0,0,0,0	298	149
33	423,1214,468,1974	0,0,0,0	1392,2190,1309,1592,1320	7,2,6,0,4	194	149
34	253,951,374,1585	0,0,0,0	1110,1463,862,1186,1017	4,5,4,0,0	298	149
35	453,1377,556,2470	0,0,0,0	1530,2146,1314,1827,1450	0,1,0,0,0	212	149
36	477,1779,783,2329	0,0,0,0	1658,2665,1605,2376,1756	0,0,1,0,0	263	149
37	201,759,328,1021	0,0,0,0	593,1148,630,924,783	0,6,0,0,0	263	149
38	82,473,174,556	0,0,0,0	546,826,596,712,554	0,6,0,0,0	288	149
39	363,1543,642,1894	0,1,0,0	1648,2400,1599,2202,1569	6,2,2,2,18	288	149
40	275,1051,463,1308	0,0,0,0	1079,1547,974,1461,1002	0,0,0,2,0	288	149
41	32,150,44,255	0,0,0,0	175,253,232,295,228	0,0,0,2,0	192	149
42	125,636,213,828	2,2,5,3	721,1108,839,1018,771	0,5,0,2,11	192	149
43	62,261,93,37	0,0,0,0	287,293,410,80,276	1,1,2,0,2	219	149
44	36,146,41,14	0,0,0,0	144,154,170,28,146	7,0,8,0,0	219	149
45	131,376,125,66	0,0,0,0	503,432,568,107,401	6,0,8,0,25	298	149
46	8,46,201,129	0,0,0,0	31,6,9,20,6	0,0,6,0,0	282	149
47	44,68,37,323	25,56,76,117	141,251,201,461,257	32,63,51,121,71	298	149
48	8,13,22,60	0,0,2,4	11,29,18,22,20	0,0,0,0,0	298	149
49	5,7,10,9	2,10,8,5	8,6,15,16,18	8,19,20,45,18	298	149
50	41,62,98,170	0,0,0,0	44,86,64,137,101	0,0,0,2,0	298	149
51	26,58,87,128	3,0,6,9	33,79,79,196,97	10,30,29,48,43	298	149
52	4,0,0,51	0,0,0,0	0,2,0,3,4	0,4,0,0,0	298	149
