ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2,1,0,6	11,62,7,52	0,0,0,0,0	2,1,1,3,0	237	149
1	2,1,0,24	11,62,7,52	0,0,0,2,0	2,1,1,3,0	243	149
2	0,0,0,20	0,0,0,2	0,0,0,2,0	0,0,0,0,0	155	149
3	80,231,133,209	4,2,3,7	67,94,52,74,91	0,0,0,0,0	167	149
6	5,14,18,20	2,2,0,2	31,33,43,54,46	0,0,0,0,0	158	149
7	281,756,621,824	135,222,180,211	628,1006,1091,1634,1205	57,77,76,146,79	158	149
8	18,48,72,81	0,2,0,0	9,26,6,35,28	0,1,0,1,0	485	149
9	3,1,28,0	0,0,11,0	2,0,0,0,0	0,0,0,0,1	156	149
10	0,0,11,0	0,0,12,0	1,0,0,0,0	1,0,0,0,0	154	149
11	0,0,16,6	0,0,3,0	0,0,1,0,2	3,2,3,0,0	229	149
12	0,0,6,0	6,0,15,0	10,20,9,16,7	25,32,37,24,35	158	149
16	1175,2047,502,1172	2,0,0,2	2497,2621,2753,3808,3325	6,7,32,9,12	554	149
17	773,1393,351,691	0,0,0,0	1786,1822,1925,2687,2406	0,0,2,0,0	554	149
18	0,4,51,31	1,0,12,2	6,14,16,15,20	4,0,0,2,6	336	149
19	10,7,51,46	0,6,2,5	4,0,0,26,5	2,2,0,0,0	275	149
20	85,153,337,143	19,44,92,51	4,4,10,5,0	17,28,16,15,22	170	149
21	109,197,505,212	0,6,12,0	8,10,15,8,5	14,7,8,1,0	224	149
22	43,88,260,120	0,6,12,0	21,34,21,18,27	14,7,8,1,0	203	149
23	42,78,152,67	2,9,12,5	16,21,8,19,11	0,7,0,0,0	155	149
25	17,62,162,36	27,77,28,78	93,106,100,209,151	21,28,70,98,42	167	149
26	7,17,79,5	0,0,0,0	33,83,20,68,42	0,0,0,0,2	167	149
27	7,0,0,10	18,11,8,35	0,10,11,12,14	8,0,6,0,0	194	149
28	8,1,18,12	0,5,35,4	4,6,13,13,2	0,1,6,2,12	174	149
29	6,1,18,8	34,14,55,32	2,6,12,13,4	0,12,16,4,14	174	149
30	2859,4985,7609,6218	815,1313,2136,1837	5063,6044,4791,5748,4677	562,669,595,717,502	170	149
31	28,83,146,153	10,33,52,67	146,177,45,60,140	112,88,46,64,116	194	149
32	32,113,127,115	129,230,225,213	42,72,40,81,93	314,514,397,529,452	189	149
33	1230,2571,788,3571	4,37,9,27	176,399,157,206,268	42,76,76,36,55	240	149
34	4,22,5,4	60,91,95,165	1,12,1,4,0	16,47,15,32,24	152	149
35	528,1327,8113,971	127,343,2526,224	386,510,563,605,610	265,297,264,290,280	212	149
36	47,39,210,39	41,54,220,44	32,123,132,88,34	36,247,278,210,62	159	149
37	601,1159,2363,1315	41,54,220,44	996,1939,2212,2069,1260	36,247,278,210,62	403	149
38	591,1155,2335,1303	37,35,182,27	990,1921,2198,2051,1242	26,105,118,70,16	393	149
39	10,4,32,12	0,0,2,0	12,19,14,20,20	5,0,2,4,7	159	149
40	361,792,1633,924	0,0,2,0	786,1423,1646,1682,1095	5,0,2,4,7	403	149
41	351,788,1605,912	0,0,4,0	780,1405,1632,1664,1077	6,1,0,2,2	393	149
42	6281,6642,15191,8858	657,1441,3654,1088	809,1361,1229,1238,1182	108,169,252,173,157	308	149
43	0,2,3,0	14,6,10,3	0,0,0,1,0	1,0,6,2,2	154	149
44	0,29,38,35	1,0,5,10	40,16,71,108,108	2,21,4,31,20	651	149
45	3,12,60,39	1,0,0,5	24,47,53,54,64	1,9,2,0,2	428	149
46	94,95,71,128	5,0,2,1	36,40,31,50,17	0,1,2,0,0	236	149
47	78,168,387,241	69,197,69,140	219,285,230,390,273	176,308,289,380,323	311	149
48	3629,8873,7113,7951	0,0,2,0	6357,8248,7769,8418,8484	0,0,0,0,0	1131	149
49	62,218,31,146	3,15,14,20	205,376,396,426,397	9,48,18,40,27	153	149
50	56,582,39,127	3,15,14,20	270,469,537,446,682	9,48,18,40,27	595	149
51	56,580,38,127	62,216,30,146	270,467,537,446,682	205,374,396,426,397	591	149
52	393,676,673,744	14,12,37,14	493,777,884,966,738	0,4,5,4,2	308	149
53	173,254,297,358	663,1021,922,1194	855,1371,1020,1282,1339	1557,2105,2197,2933,3072	316	149
54	1309,2989,1287,3388	6,2,0,0	1105,3107,3532,4752,1570	12,12,19,8,8	494	149
55	420,1219,673,1266	4,59,20,39	613,1053,1045,1127,910	20,29,22,16,16	198	149
56	21,59,242,44	11,7,20,6	38,92,102,128,242	38,91,66,35,113	236	149
57	276,467,128,966	33,4,6,48	24,205,109,88,57	0,0,2,0,0	203	149
58	127,231,54,504	4,0,2,0	18,188,79,93,70	0,1,0,0,0	203	149
59	120,214,50,496	0,0,0,2	6,224,72,89,73	2,7,0,4,0	203	149
60	442,712,759,783	48,114,96,75	529,774,678,893,624	30,43,55,103,46	182	149
61	0,1,4,1	38,85,37,101	8,8,1,0,0	46,40,38,44,87	161	149
62	4,20,13,17	0,0,0,0	0,3,2,2,0	6,0,0,4,1	484	149
63	35,107,43,127	0,2,0,0	26,27,19,47,26	2,2,0,0,2	2695	149
64	31,87,30,110	0,2,0,0	32,24,17,49,27	2,2,0,0,2	2360	149
65	195,375,343,452	567,662,556,851	1266,1958,1792,2955,1828	329,491,544,647,413	266	149
66	37,89,78,96	335,898,516,1126	127,218,178,210,202	911,1170,1211,1178,1346	161	149
67	243,524,287,579	14,14,53,48	660,787,840,1097,875	48,63,52,53,87	198	149
68	541,1333,725,1609	14,14,53,48	1444,1739,1873,2065,2019	48,63,52,53,87	186	149
69	12,25,29,22	0,2,0,2	19,39,9,29,13	0,0,0,6,0	155	149
70	4,1,32,0	0,55,37,8	1,0,0,4,1	29,5,23,35,26	230	149
71	30,45,79,66	2,8,8,8	38,85,71,56,88	0,1,0,0,7	155	149
72	0,0,0,0	7,12,17,0	0,0,0,1,2	7,26,13,15,21	153	149
73	839,1856,1908,1879	491,705,1186,559	1570,2230,1774,2170,1980	210,284,294,314,226	191	149
74	702,1470,1176,1262	18,61,5,34	924,1452,1340,1476,1273	58,53,121,119,76	296	149
75	1063,1942,1730,1493	38,63,24,32	966,1262,1210,1522,1138	106,128,113,116,112	269	149
76	1285,2322,2391,1900	34,19,34,66	1304,1695,1714,2033,1457	21,25,9,24,13	269	149
77	4,15,16,21	0,2,4,0	2,0,10,4,6	0,0,0,0,0	193	149
78	281,588,390,960	109,20,24,42	178,478,309,354,199	0,0,8,2,0	304	149
79	321,440,517,640	65,68,70,39	198,428,287,346,320	16,30,23,41,32	159	149
80	13,12,4,18	58,48,36,146	0,14,0,2,2	33,60,65,94,19	361	149
81	3815,7820,2354,8144	160,279,171,413	126,193,218,251,280	5,2,4,0,5	167	149
82	30,78,56,83	8,97,94,118	30,55,9,32,55	21,51,17,54,65	175	149
83	26,33,22,44	57,118,249,107	19,30,31,17,15	6,47,29,29,11	180	149
84	701,1213,1152,1217	71,98,126,104	909,1429,1301,1651,1196	15,49,48,62,46	153	149
85	0,4,8,6	0,0,0,0	63,141,107,174,104	27,30,16,20,8	198	149
86	15,33,35,10	98,194,289,196	177,188,189,226,201	100,180,174,224,167	203	149
87	37,52,38,103	49,30,22,18	14,29,10,29,5	10,4,14,7,16	153	149
88	15,64,85,25	4,17,33,9	30,33,23,49,41	11,5,17,14,5	262	149
89	42,133,173,158	73,254,202,194	54,70,61,106,38	90,118,154,245,150	502	149
90	52,265,1086,302	16,115,85,94	486,514,444,915,701	10,38,8,23,28	662	149
91	202,474,421,448	4,32,36,37	205,227,224,318,260	6,13,21,13,9	176	149
92	4,44,54,33	94,213,283,274	38,63,45,54,52	135,208,213,205,191	185	149
93	0,1,4,0	2,14,12,24	2,11,4,19,3	26,28,21,25,18	162	149
94	68,140,122,57	111,283,262,342	107,96,202,176,131	451,622,427,585,402	162	149
95	8,1,13,0	0,0,6,0	2,11,4,11,2	0,0,0,0,0	162	149
96	0,2,6,3	1,4,4,3	0,0,0,1,0	0,1,0,6,0	154	149
97	412,1274,1257,979	7,50,45,58	1238,1037,1392,1563,999	16,2,22,18,2	167	149
98	544,2028,1027,2243	94,282,174,255	1267,1782,1567,2586,1715	305,459,348,505,460	584	149
99	0,2,2,4	21,52,77,10	0,2,2,0,0	27,52,81,98,83	170	149
100	43,39,42,76	10,6,5,11	27,42,21,26,33	6,10,1,4,15	157	149
101	425,938,893,893	169,350,220,340	871,934,1015,1309,808	448,429,471,502,394	281	149
102	5,30,14,40	1,42,32,23	23,25,24,34,29	17,24,10,21,6	153	149
103	212,595,271,730	55,88,348,94	671,1000,851,1148,1150	145,340,376,613,377	197	149
104	7,35,35,55	14,30,4,21	44,89,136,103,116	19,22,18,37,28	356	149
105	7,39,35,58	20,66,43,90	55,103,156,115,131	75,227,194,164,140	368	149
106	7,63,35,74	0,12,4,15	82,138,201,141,156	24,18,28,14,43	385	149
107	17,259,43,316	0,11,0,5	288,500,704,640,509	45,122,44,61,73	539	149
108	88,394,190,504	4,10,0,4	429,793,979,944,720	17,36,13,84,60	839	149
109	14,34,4,24	20,66,43,90	30,36,38,49,43	75,227,194,164,140	161	149
110	14,58,4,40	0,12,4,15	57,71,83,75,68	24,18,28,14,43	178	149
111	24,254,12,282	0,11,0,5	263,433,586,574,421	45,122,44,61,73	332	149
112	95,389,159,470	4,10,0,4	404,726,861,878,632	17,36,13,84,60	632	149
113	20,90,43,106	0,12,4,15	102,262,239,190,165	24,18,28,14,43	166	149
114	30,286,51,348	0,11,0,5	308,624,742,689,518	45,122,44,61,73	320	149
115	101,421,198,536	4,10,0,4	449,917,1017,993,729	17,36,13,84,60	620	149
116	10,208,12,257	0,11,0,5	230,380,531,513,396	45,122,44,61,73	303	149
117	81,343,159,445	4,10,0,4	371,673,806,817,607	17,36,13,84,60	603	149
118	71,146,147,193	4,10,0,4	186,415,319,365,284	17,36,13,84,60	449	149
119	39,112,94,95	184,471,403,417	40,108,111,92,108	395,649,683,779,722	155	149
120	54,153,142,123	523,1246,967,1214	148,86,115,91,107	1292,1410,1382,1655,1443	214	149
121	9,34,52,101	0,12,15,8	53,107,39,77,55	1,6,8,10,7	158	149
122	2,15,25,24	7,44,112,59	60,50,53,98,51	197,275,276,374,234	158	149
123	2,3,6,9	3,0,1,0	44,77,60,97,81	79,57,88,152,73	158	149
124	106,153,118,179	2,16,9,24	151,247,203,280,248	4,17,9,17,10	211	149
125	44,92,110,107	2,0,4,0	92,176,178,169,96	3,5,3,6,1	189	149
126	6,19,33,47	30,89,61,80	32,34,29,34,42	119,121,197,165,170	154	149
127	674,1339,1713,1178	32,84,70,95	924,1216,1146,1306,1328	12,34,29,68,10	362	149
128	147,283,44,420	0,0,0,9	62,45,67,86,11	1,0,0,0,0	444	149
129	5,13,2,9	53,106,32,140	13,0,11,16,0	24,34,47,111,0	162	149
130	330,775,797,761	26,42,146,66	580,648,932,962,842	173,217,245,327,184	182	149
131	206,466,724,499	13,18,35,16	533,704,491,645,552	2,4,3,4,2	164	149
132	14,1,29,41	174,347,152,409	45,13,7,26,31	550,465,436,693,769	158	149
133	330,852,1099,993	2,2,18,14	674,793,1031,934,1023	44,8,25,50,34	779	149
134	0,2,1,0	0,6,2,6	0,8,0,3,2	8,12,8,9,7	170	149
135	51,981,63,107	0,50,0,8	2295,2632,2051,3904,1814	110,232,78,198,142	355	149
136	50,720,56,103	2,0,0,0	1320,1454,1158,2255,1063	0,2,0,0,10	355	149
137	10,37,4,27	0,2,0,0	4,20,14,19,24	0,2,10,14,11	154	149
138	47,103,111,93	4,9,1,2	110,184,251,311,158	16,25,20,43,27	161	149
139	20,20,29,25	113,172,159,213	24,78,52,93,32	206,360,271,356,306	161	149
140	9,30,78,23	89,239,523,272	11,7,12,32,7	262,462,327,466,312	155	149
141	46,84,64,135	50,25,57,74	1,24,28,13,19	5,11,4,7,6	158	149
