ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1618,4989,3537,2711	0,0,2,0	4203,5307,5835,5205,4377	2,9,73,1,6	483	149
1	403,1335,1113,1128	6,56,5,15	1594,1885,1695,1752,1665	6,18,13,2,0	313	149
2	836,1463,2039,1561	18,14,55,19	1116,1430,1196,1555,1212	0,0,0,2,0	306	149
3	922,2078,3145,1471	0,0,3,0	794,1136,850,1014,1002	0,0,0,0,0	256	149
4	284,363,378,742	0,0,2,0	60,155,129,183,99	2,1,0,2,0	366	149
5	528,974,1095,1638	0,0,0,0	341,507,391,442,398	20,6,2,8,8	525	149
6	819,1661,1928,3166	0,2,2,4	552,1083,792,992,702	1,0,11,2,2	2059	149
7	165,405,427,694	0,0,0,0	126,226,94,255,150	0,0,0,2,0	456	149
8	246,530,730,655	0,0,0,0	334,605,416,691,523	0,14,0,0,0	349	149
9	176,459,583,490	0,0,0,0	337,581,355,546,509	0,0,0,0,5	399	149
10	93,257,184,407	0,0,7,0	55,149,84,114,89	0,0,1,0,0	537	149
11	76,245,148,327	0,0,1,0	56,146,73,113,86	0,3,6,2,0	537	149
12	57,168,169,219	0,0,1,0	71,140,93,163,95	0,3,6,2,0	370	149
13	38,60,90,103	0,2,6,0	36,51,46,89,48	0,0,0,2,0	370	149
14	80,189,199,303	6,9,1,4	72,146,103,168,98	2,3,0,4,0	370	149
15	168,358,380,483	0,2,6,0	103,318,143,257,157	0,0,0,2,0	555	149
16	191,470,460,609	4,4,2,10	138,404,184,333,209	0,0,0,4,5	555	149
17	163,359,464,519	0,0,0,0	134,295,160,287,226	0,0,0,1,0	467	149
18	80,145,92,445	0,16,0,0	10,26,10,32,10	0,0,0,0,0	314	149
19	3029,6589,2127,6808	1,1,5,0	6404,10656,9792,14297,10245	0,4,2,0,0	349	149
20	7046,17142,6563,15151	0,0,0,0	20519,33608,25817,35387,28981	0,0,0,0,5	357	149
21	757,1943,3192,2058	1,6,2,3	5446,4608,2594,3964,2641	0,14,5,0,5	557	149
22	264,671,831,716	0,2,9,2	1556,1383,724,1251,741	15,9,10,1,0	321	149
23	263,670,919,689	0,0,1,0	1755,1705,841,1133,980	0,0,0,0,0	377	149
