ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,0,0	14,1,0,0,0	0,2,2	34,2,4	237	149
1	0,0,0,0,0	14,1,0,0,0	5,0,2	34,2,4	243	149
3	14,36,4,4,0	5,3,0,0,0	334,6,196	2,0,0	167	149
4	0,0,0,0,3	0,1,1,0,0	3,4,20	0,1,0	226	149
6	2,5,35,3,30	0,12,17,0,3	1,23,20	0,0,0	158	149
7	0,10,17,3,7	0,1,0,0,0	1,21,20	0,0,0	158	149
8	11,7,6,6,0	0,0,1,0,0	12,32,36	0,0,0	298	149
9	8,101,133,187,86	0,9,21,9,21	0,3,3	0,0,0	156	149
10	0,0,15,18,3	0,7,66,52,40	0,0,0	0,3,5	154	149
11	6,3,5,0,1	7,3,2,0,0	0,2,0	9,11,29	229	149
12	6,83,43,12,74	13,197,38,45,87	607,408,582	521,471,575	158	149
13	6,18,92,20,51	2,20,35,18,36	33,71,34	4,25,7	173	149
14	6,30,117,44,78	13,75,174,105,104	71,107,50	0,7,16	202	149
15	2,32,60,42,63	13,75,174,105,104	42,61,23	0,7,16	178	149
16	45,505,352,362,306	0,0,0,0,4	998,1317,1622	2,0,0	298	149
17	4,6,10,4,4	0,2,8,0,1	0,11,13	0,8,9	298	149
18	0,2,21,5,0	0,0,1,2,1	6,16,31	0,2,0	275	149
19	37,230,262,390,352	15,78,199,141,96	418,225,304	1413,929,1263	170	149
20	50,289,371,471,455	0,2,0,4,4	954,652,777	602,434,460	224	149
21	28,137,308,222,199	0,2,0,4,4	1949,1356,1736	602,434,460	203	149
22	25,110,173,105,76	0,4,7,32,4	748,630,940	4,4,23	155	149
23	2,29,71,53,64	0,6,2,6,9	2,6,16	0,4,2	190	149
25	0,4,5,4,0	0,3,0,12,2	0,0,5	6,1,0	194	149
26	0,7,88,0,12	0,8,40,0,0	86,87,184	168,115,229	174	149
27	0,7,86,0,12	0,26,234,24,16	90,74,99	272,391,539	174	149
28	785,7125,11262,7830,8656	290,3079,3802,3189,3653	49359,36210,51096	12521,8495,12670	170	149
29	7,97,86,86,25	3,18,55,43,5	5,5,0	0,0,0	194	149
30	4,64,44,37,19	20,241,276,165,156	18,23,35	62,43,78	189	149
31	248,1856,249,647,168	0,63,8,26,24	344,58,331	19,9,27	240	149
32	0,10,1,5,0	23,125,7,10,3	0,0,1	44,4,23	152	149
33	461,2563,813,1249,826	110,450,141,190,205	21102,6459,16344	10589,2324,6546	212	149
34	0,17,45,27,13	0,15,33,12,25	16,28,12	6,31,3	159	149
35	91,707,548,709,705	0,15,33,12,25	426,583,373	6,31,3	298	149
36	99,821,602,824,756	0,15,41,23,5	483,622,389	10,24,0	298	149
37	36,206,149,250,167	0,0,0,0,0	211,187,183	0,0,2	298	149
38	728,2208,3827,2415,3481	118,1395,2192,1532,3218	105,174,160	49,295,214	298	149
39	0,0,0,0,0	0,0,6,0,6	9,2,8	43,20,18	154	149
40	2,6,19,19,19	0,6,4,2,6	70,46,35	3,41,13	298	149
41	10,52,67,13,84	4,12,8,5,10	149,187,188	0,14,13	298	149
42	11,35,8,5,5	0,0,0,2,0	42,7,19	2,0,0	236	149
43	20,93,152,74,103	9,81,127,93,71	819,910,753	9,37,58	298	149
44	2,19,27,0,0	0,2,4,8,0	54,23,53	8,4,0	153	149
45	0,12,30,24,12	0,2,4,8,0	18,16,28	8,4,0	298	149
46	0,16,24,24,12	2,19,21,0,0	18,16,31	54,21,53	298	149
47	31,394,542,345,234	0,2,3,0,0	1092,545,1023	75,33,61	298	149
48	60,268,214,220,225	140,951,764,719,1228	128,182,95	148,111,123	298	149
49	182,1219,2028,2283,2329	0,4,4,0,0	271,680,572	40,26,32	298	149
50	157,819,1011,925,551	0,0,0,0,0	12367,8892,11531	44,65,27	232	149
51	132,1173,1761,1652,1369	12,61,103,105,67	11840,10082,12213	338,161,267	198	149
52	8,14,141,15,49	0,12,30,0,6	0,4,0	1,8,0	236	149
53	67,255,67,57,43	1,15,0,4,0	137,62,116	4,9,2	203	149
54	41,109,3,3,9	0,0,0,0,0	80,2,46	2,0,0	203	149
55	37,97,3,3,9	0,0,0,0,0	72,0,42	5,6,1	203	149
56	107,578,285,425,242	6,67,36,66,26	3181,2136,3012	715,422,594	182	149
61	8,14,23,4,32	0,2,9,0,0	6,0,8	0,0,0	266	149
62	32,133,115,268,153	283,1567,1365,1834,1730	51,62,98	430,686,968	161	149
63	217,1013,1034,1611,1156	8,108,44,127,77	408,386,669	24,36,40	198	149
64	468,2447,2284,3177,2733	8,108,44,127,77	787,1010,1539	24,36,40	186	149
65	5,19,35,62,28	1,0,2,0,0	6,4,0	0,0,0	155	149
