ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	15,105,89,131,87	67,698,700,493,502	54,76,78	396,295,476	192	288
1	8,34,10,18,2	82,384,548,337,503	4,57,48	774,794,1049	291	260
2	892,5132,8481,6539,9076	376,2386,4600,2306,4228	168,119,182	82,88,72	231	198
3	897,5067,9175,5566,9718	596,4102,6956,5001,7154	141,88,170	161,111,81	267	231
4	17,221,109,127,135	14,117,70,103,93	583,451,698	405,384,574	298	298
5	16,168,73,82,96	14,196,34,136,63	542,362,642	459,304,470	298	215
6	7,30,108,33,26	104,1453,3263,1534,2546	25,54,39	0,8,1	254	197
7	6,13,37,10,8	95,1323,2978,1394,2418	12,26,10	0,8,1	254	197
8	586,5779,12073,5766,9324	244,2169,6048,2161,4163	500,314,394	67,55,47	289	222
9	586,5779,12073,5766,9324	22,288,527,192,459	500,314,394	4,6,4	289	185
10	244,2169,6048,2161,4163	22,288,527,192,459	67,55,47	4,6,4	222	185
11	582,6373,15891,7899,10082	2,13,41,12,33	1419,1346,1490	0,1,0	182	233
12	15,160,367,221,171	600,4913,9910,5657,6547	0,0,1	770,772,625	298	209
13	1188,10454,22856,9892,16295	734,6714,14232,8933,10309	1833,1729,1692	1271,1061,1258	298	220
14	4,26,208,309,192	25,259,1483,2491,1909	88,17,25	866,228,551	234	255
15	21,219,1435,2007,1468	41,96,628,846,714	278,142,175	508,174,421	255	298
16	31,298,1690,2577,2298	14,217,1148,1982,1223	929,251,585	731,364,610	298	298
17	10,120,72,115,55	16,73,19,27,22	78,179,259	613,28,127	198	298
18	1,137,222,158,122	35,34,110,52,44	842,519,865	407,650,619	298	298
19	11,59,121,68,94	2,42,124,71,52	472,311,490	708,795,913	298	298
20	0,2,2,0,4	0,12,24,24,6	0,2,0	0,2,0	298	191
21	2,47,58,20,92	8,71,103,57,87	7,15,31	18,16,25	298	191
22	0,25,13,44,30	24,272,220,201,145	71,93,95	637,762,934	298	298
23	1,101,145,78,63	20,102,221,231,186	59,36,33	193,176,351	298	298
24	35,547,336,488,289	70,1068,879,1260,649	32,22,72	289,117,293	295	298
25	96,1606,864,1920,854	30,588,484,700,472	164,83,266	98,87,196	298	233
26	8,276,140,85,63	98,1626,1327,1893,1082	6,10,11	365,202,479	230	233
27	0,0,54,2,0	6,10,126,10,22	23,36,29	1270,1083,1986	181	198
28	0,0,54,2,0	8,18,195,10,28	23,36,29	2537,1924,3379	181	203
29	377,4029,5359,3770,4396	89,273,366,348,614	21205,15852,25105	6639,3456,5282	213	212
30	377,4032,5359,3770,4396	242,3917,5061,4435,4062	21207,15852,25102	20806,14050,22853	213	183
31	981,8982,7757,11614,8182	213,3134,3183,3864,2029	1472,1636,2633	704,721,1086	262	298
32	981,8972,7757,11614,8182	2188,16263,8234,15468,7682	1472,1636,2636	2204,1733,3626	262	298
33	6,238,67,58,49	2188,16251,8234,15466,7682	67,22,167	2202,1733,3627	269	298
34	86,603,264,256,109	2188,16251,8234,15466,7682	128,74,154	2202,1733,3627	262	298
35	70,302,25,203,34	95,651,342,701,406	941,123,500	987,705,1234	277	239
36	85,274,274,250,145	19,371,180,351,156	203,155,290	1084,813,1769	298	298
37	37,416,367,288,233	221,1853,1723,1347,1071	61,262,328	365,1144,1528	260	298
38	57,398,279,420,132	217,1852,1713,1349,1071	19,171,382	365,1144,1506	216	298
39	37,420,367,288,240	78,608,396,549,222	61,301,348	80,289,528	260	238
40	57,398,279,420,132	57,565,192,366,107	19,176,393	66,242,517	216	260
41	31,314,208,266,246	17,226,246,226,176	291,282,403	312,327,390	262	298
42	10,257,15,55,23	16,223,12,57,6	354,38,187	216,50,231	296	296
43	20,23,4,6,4	25,144,16,33,19	285,24,97	412,60,230	298	298
44	2,26,5,13,21	22,255,37,52,19	76,112,153	335,86,446	298	298
45	40,1165,1394,937,950	99,907,1689,1133,1006	329,201,309	396,215,315	259	298
46	48,785,1095,766,638	57,823,1061,596,580	247,169,203	189,198,299	298	259
47	96,1117,1542,942,919	63,1286,1631,1011,1021	411,261,362	374,227,378	298	298
48	8,18,196,133,298	63,1277,1578,1006,1001	32,24,43	367,221,364	223	298
49	34,787,1100,498,650	48,786,1097,766,638	275,175,309	245,169,203	298	298
50	7,467,566,340,392	48,788,1095,766,638	104,18,92	245,169,197	298	298
51	0,33,25,24,24	48,786,1095,768,638	10,0,6	246,169,199	298	298
52	0,33,18,24,24	96,1117,1545,948,921	0,0,10	411,261,359	298	298
53	19,285,546,337,394	96,1117,1545,948,921	203,17,102	411,261,359	218	298
54	19,285,546,337,394	0,33,18,24,24	203,17,102	0,0,10	218	298
55	8,18,195,139,300	34,778,1047,493,632	31,24,43	268,169,293	223	298
56	0,1,2,0,8	10,17,38,24,45	21,0,2	28,10,2	298	298
57	10,20,40,24,45	48,265,280,279,85	25,10,2	35,1,6	298	298
58	10,19,40,24,45	4,1,9,7,6	25,10,2	7,3,0	298	298
59	10,19,40,24,45	140,1139,1287,868,664	25,10,2	35,6,31	298	298
60	10,17,38,24,45	4,13,28,14,6	29,10,2	2,2,2	298	298
61	10,17,38,24,45	367,2517,3179,2661,1524	29,10,2	132,50,74	298	298
62	4,1,9,7,6	140,1139,1287,868,664	7,3,0	35,6,31	298	298
63	8,17,61,35,18	136,1142,1287,868,664	28,6,5	35,6,31	298	298
64	6,16,70,30,20	0,16,28,14,6	39,3,15	2,2,2	298	298
65	6,16,70,30,20	367,2519,3181,2661,1524	39,3,15	127,50,74	298	298
66	4,13,28,14,6	367,2517,3179,2661,1524	2,2,2	132,50,74	298	298
67	0,16,28,14,6	367,2519,3181,2661,1524	2,2,2	127,50,74	298	298
