ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	1,45,79,119,70	0,0,0,1,0	109,152,111	0,0,4	298	149
2	35,0,7,6,0	9,1,3,2,0	20,62,73	10,8,34	298	149
3	19,6,4,4,0	0,0,1,0,0	10,34,35	0,0,0	298	149
4	12,6,3,10,4	0,2,40,0,2	2,30,22	22,52,96	298	149
5	0,0,26,13,0	0,0,26,64,0	0,0,0	0,0,14	226	149
6	1,2,0,0,3	14,26,6,6,1	4,6,26	18,4,19	222	149
7	0,4,22,4,1	2,19,21,3,26	22,16,24	8,8,20	298	149
8	10,10,12,6,10	0,6,17,4,0	73,35,75	20,36,11	212	149
9	10,36,56,57,56	2,12,17,29,33	24,36,30	0,16,35	222	149
10	33,340,206,242,212	0,25,13,44,30	511,613,1033	45,78,67	250	149
11	0,2,7,0,0	0,0,10,5,0	0,16,17	3,10,9	236	149
12	0,73,79,100,78	0,0,8,0,5	9,24,50	0,0,2	298	149
13	2,102,142,152,125	0,6,2,6,9	11,20,64	0,4,2	298	149
14	0,17,11,22,3	0,0,1,0,2	86,37,20	35,4,0	224	149
15	13,25,15,19,20	0,10,0,4,0	77,27,38	18,0,8	298	149
16	2,7,1,15,0	0,0,0,0,0	147,8,21	1871,67,173	238	149
17	0,1,0,0,0	0,0,0,2,0	83,7,56	15,1,18	230	149
18	17,242,257,254,236	2,42,35,42,52	320,227,270	23,35,62	224	149
19	587,2668,963,1657,938	25,297,111,204,126	2531,1214,2276	159,175,221	281	149
20	276,1260,1382,1336,1181	15,58,140,41,225	1767,2161,1850	175,124,98	215	149
21	2,25,22,27,29	1,49,65,39,7	66,48,38	18,18,2	298	149
22	110,650,335,648,379	2,49,53,28,34	3527,2827,3695	654,477,658	245	149
23	375,2018,1824,2390,1775	15,82,99,62,84	2646,2079,3208	322,244,366	298	149
24	0,8,87,8,1	0,0,2,0,0	68,56,45	0,0,0	298	149
25	158,826,1265,1559,1535	0,20,144,65,51	194,593,528	4,33,18	298	149
26	51,336,246,341,188	114,579,833,724,462	501,503,569	10813,7512,9499	225	149
27	1466,7325,2416,6169,2336	172,529,298,431,323	1927,712,939	1323,339,605	236	149
28	40,47,222,207,46	3,18,19,49,3	14,33,25	0,0,6	227	149
29	0,0,0,0,0	0,0,7,2,0	93,46,71	0,51,26	194	149
30	0,6,10,6,0	1,71,69,69,63	8,4,29	293,215,391	230	149
31	4,0,0,0,5	22,71,14,40,32	7,6,17	129,113,206	224	149
32	37,639,64,177,44	0,0,0,0,7	379,115,455	14,0,6	220	149
33	0,5,2,10,0	0,0,1,0,0	32,1,1	9,0,2	247	149
34	454,2867,1778,2432,1256	0,4,2,4,13	4581,3860,5341	16,5,3	248	149
35	3,67,5,11,8	0,5,0,0,0	173,60,212	19,36,48	227	149
36	6,44,10,22,4	2,35,0,11,2	203,55,165	138,69,199	218	149
37	4,118,214,56,86	0,10,16,0,1	392,460,657	64,87,109	239	149
38	15,83,52,58,103	2,9,14,14,10	239,250,228	24,16,57	298	149
39	41,158,124,218,174	4,22,20,12,9	166,138,194	103,82,100	212	149
40	73,238,206,291,298	15,59,54,81,54	293,224,318	59,40,57	284	149
41	62,218,247,182,358	0,17,26,10,13	1884,939,1007	120,59,56	235	149
42	70,374,350,645,372	4,28,58,35,64	201,162,293	8,27,30	219	149
43	238,803,897,1431,1014	104,344,348,292,428	2629,2256,2026	894,1276,1359	274	149
44	232,1625,2309,1872,2184	592,4437,5017,4561,5034	1846,1847,1859	5888,6410,6217	263	149
45	0,2,8,2,6	0,13,11,2,19	18,25,40	12,23,9	215	149
46	0,25,31,4,29	109,970,456,557,419	95,78,45	1171,701,1135	248	149
47	42,305,379,325,331	2,21,25,20,12	305,460,537	2,4,13	233	149
48	218,2336,1574,1827,1452	38,470,298,337,300	1707,1811,2592	68,39,76	298	149
49	121,946,174,274,160	37,279,153,138,99	278,153,271	32,66,103	227	149
50	145,1029,200,297,169	6,85,61,29,18	318,174,291	24,28,35	230	149
51	33,271,50,111,74	2,2,3,2,0	441,88,206	11,0,0	230	149
52	21,81,38,48,15	0,4,0,0,0	0,15,24	0,0,5	243	149
53	21,95,44,56,17	7,167,11,77,13	0,16,30	0,64,167	256	149
54	12,143,131,125,84	4,0,14,0,10	43,106,54	0,6,4	298	149
55	8,40,14,9,6	0,26,20,8,0	84,24,29	43,34,25	233	149
56	4,114,377,134,64	0,4,4,0,0	45,44,60	0,20,15	275	149
57	263,1844,1715,3647,2110	369,3245,3119,4456,3631	551,489,558	300,253,195	298	149
58	0,3,0,2,4	0,0,0,0,0	38,12,20	0,0,2	206	149
60	3,26,4,8,2	0,1,0,0,4	12,9,48	12,4,0	231	149
61	4,23,6,34,2	0,6,0,12,2	5,0,10	0,0,0	298	149
62	4,25,6,29,2	0,2,0,0,0	7,0,10	0,0,0	263	149
63	23,249,225,295,193	7,36,68,30,80	691,489,747	43,39,87	298	149
66	0,0,0,2,0	0,0,0,0,0	20,0,2	8,15,15	298	149
68	0,2,0,0,0	0,28,39,2,56	2,0,0	13,41,42	215	149
69	0,9,3,6,9	4,0,3,0,2	5,1,4	0,0,0	244	149
70	0,6,3,3,3	0,0,0,0,0	5,1,4	0,0,2	215	149
71	50,331,199,194,120	0,2,3,2,8	378,271,747	8,6,12	284	149
72	19,279,261,389,291	1,22,25,16,42	133,70,140	35,3,28	298	149
73	6,64,72,297,72	0,0,1,9,0	19,4,20	10,3,0	239	149
74	12,18,2,11,6	0,2,0,1,2	18,6,25	3,3,6	289	149
75	1,23,29,20,4	0,0,0,0,1	54,45,54	24,0,17	219	149
76	16,80,58,40,79	33,114,35,52,12	270,92,114	211,39,166	298	149
77	1,18,25,30,9	0,0,2,2,4	1264,562,1192	72,75,112	269	149
78	4,8,5,6,2	0,3,0,0,0	19,3,5	0,0,0	298	149
79	0,6,1,2,0	10,45,12,84,0	8,2,2	0,3,0	240	149
82	0,0,4,3,0	14,0,0,0,0	0,3,7	0,1,2	216	149
83	0,3,3,7,0	0,0,1,4,0	2,1,9	0,0,0	298	149
84	0,0,0,0,0	5,1,2,1,1	0,13,16	0,21,18	203	149
85	2,8,0,32,22	8,4,0,0,12	40,26,35	17,7,33	207	149
86	96,456,410,392,360	21,23,230,92,96	279,453,362	495,403,723	230	149
87	4,4,10,0,13	0,0,0,0,0	80,12,8	9,2,0	298	149
88	25,147,28,70,63	2,131,46,35,32	0,0,0	0,8,2	298	149
90	0,0,0,0,7	0,0,0,0,0	32,6,17	4,5,31	223	149
91	14,46,60,39,41	0,0,5,0,5	199,54,66	4,2,3	298	149
92	108,951,286,764,236	0,58,13,27,8	1110,827,1586	193,68,159	210	149
93	1817,9639,13046,12288,11937	23306,123705,169024,190879,154777	19,33,23	237,313,310	150	149
94	215,1890,4162,2149,3077	18,91,265,74,231	121,132,117	15,26,36	209	149
95	83,970,960,807,1268	0,3,0,4,1	883,965,830	0,0,0	298	149
96	56,568,501,633,666	6,37,83,61,81	542,401,527	0,0,0	298	149
97	113,764,682,850,894	8,63,71,96,94	575,487,635	0,12,0	298	149
98	104,978,1021,1003,1198	20,36,78,39,139	652,852,703	84,51,27	298	149
99	77,576,562,829,596	2,28,15,6,18	311,288,400	6,4,2	298	149
100	11,56,14,9,17	22,125,13,2,10	118,4,37	362,45,132	298	149
101	50,244,50,65,52	9,134,63,59,70	302,46,72	240,364,499	298	149
102	108,688,1169,1033,1117	60,1719,2278,2051,1444	23,62,43	146,412,305	281	149
103	3,18,21,5,6	0,2,0,0,0	36,26,27	5,0,1	298	149
105	0,4,0,0,0	0,0,0,0,0	0,0,0	0,0,8	298	149
106	2,26,16,16,1	0,0,0,6,0	122,1,19	0,4,0	233	149
107	11,87,128,126,90	1,7,73,44,31	129,86,91	137,111,242	298	149
108	73,441,416,831,415	63,215,377,722,282	363,233,332	622,843,1392	230	149
109	4,44,47,30,24	49,313,283,252,155	101,44,95	693,515,1031	215	149
110	129,954,574,740,423	0,31,6,0,2	745,610,1121	9,12,8	242	149
111	4,125,154,80,118	0,2,9,2,2	161,250,285	10,8,20	242	149
112	0,21,25,9,3	0,0,0,96,0	67,9,11	0,0,0	247	149
113	15,15,18,17,13	0,0,0,0,0	53,56,92	45,39,16	298	149
115	2,1,9,4,0	0,0,3,0,0	0,0,15	2,31,29	298	149
116	4,34,34,63,96	7,2,26,18,31	433,489,314	95,70,60	230	149
117	1,31,28,65,31	0,2,0,2,0	324,272,199	7,10,3	298	149
118	7,26,43,60,79	0,0,6,0,0	592,580,436	0,0,2	298	149
119	1,16,45,20,33	6,2,2,0,0	346,183,132	15,6,39	298	149
120	4,23,38,1,13	0,0,6,8,0	12,14,31	32,59,52	298	149
