ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	4,49,8,7,6	0,4,0,0,0	135,21,25	15,0,1	198	149
2	31,152,27,36,9	0,12,0,0,3	439,34,253	4,0,2	152	149
3	244,1630,561,1247,580	58,424,160,296,153	1098,995,1394	195,178,222	158	149
5	0,0,1,0,0	0,0,1,4,0	19,12,9	15,14,4	158	149
6	9,47,113,94,76	32,406,488,346,269	85,53,85	234,322,310	155	149
7	33,2,42,4,2	0,0,1,0,0	44,103,144	0,0,0	437	149
8	4,27,114,26,34	1,234,516,251,180	8,4,0	1,3,0	170	149
9	39,592,1199,715,916	577,5356,11879,6390,8346	119,137,194	872,888,1340	155	149
10	0,29,82,32,41	0,0,15,11,33	11,4,6	16,11,6	176	149
11	51,520,310,528,320	2,25,12,23,8	462,430,569	36,32,23	170	149
12	8,89,10,28,6	0,8,5,23,0	85,47,93	51,38,70	155	149
13	51,477,458,502,351	0,11,9,10,2	1727,1590,2773	77,73,78	194	149
14	0,0,2,5,0	7,95,52,57,51	147,147,238	1014,1328,1457	170	149
15	0,10,0,5,6	0,0,3,8,10	2,9,0	8,0,0	152	149
16	19,123,180,168,153	0,9,23,11,4	56,108,57	0,5,16	222	149
17	20,100,127,133,124	0,0,0,6,0	47,69,70	0,2,6	283	149
18	0,4,5,0,0	0,0,0,0,0	303,34,102	96,8,16	152	149
19	0,0,2,0,0	0,0,3,0,0	0,2,2	0,2,0	157	149
20	15,173,243,189,189	1,12,28,10,11	1610,921,1555	76,35,109	179	149
21	2,11,37,13,0	0,8,0,0,0	2,12,23	12,2,0	152	149
22	51,225,150,119,133	2,24,26,18,20	1716,1016,1268	95,71,173	159	149
23	0,0,1,0,0	0,0,2,2,4	0,28,12	4,16,10	152	149
24	73,1246,2041,1247,927	8,71,97,68,65	2051,1512,2048	95,83,116	152	149
25	10,53,51,110,28	64,267,854,903,402	88,96,164	596,972,718	386	149
26	4,6,53,0,9	0,0,6,0,0	758,475,794	52,53,140	154	149
27	4,32,283,24,25	0,8,40,0,0	974,826,1278	168,115,229	154	149
28	4,8,85,0,9	0,0,2,0,0	1345,903,1541	57,36,106	154	149
29	4,69,41,31,18	6,12,8,5,0	74,47,144	6,2,27	152	149
