ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	15,105,89,131,87	69,730,762,515,536	54,76,78	410,299,496	192	288
1	16,88,94,76,46	82,400,566,355,505	104,139,176	824,812,1097	291	260
2	898,5140,8511,6579,9128	376,2386,4600,2306,4228	168,119,182	82,88,72	231	198
3	899,5125,9365,5720,9852	602,4110,6986,5041,7206	141,106,170	161,111,81	267	231
4	42,551,315,409,346	50,239,335,238,253	1820,1245,1936	915,934,1333	427	405
5	41,498,279,364,307	14,196,34,136,63	1779,1156,1880	459,304,470	427	215
6	7,30,108,35,26	104,1453,3263,1534,2546	29,60,39	0,8,1	254	197
7	6,13,37,12,8	95,1323,2978,1394,2418	16,32,10	0,8,1	254	197
8	600,6003,12547,6120,9696	244,2171,6078,2161,4169	516,326,406	67,55,47	289	222
9	600,6003,12547,6120,9696	22,288,527,192,459	516,326,406	4,6,4	289	185
10	244,2171,6078,2161,4169	22,288,527,192,459	67,55,47	4,6,4	222	185
11	582,6373,15891,7899,10082	2,13,41,12,33	1419,1346,1490	0,1,0	182	233
12	1111,6526,15073,10057,8138	600,4915,9914,5671,6551	761,578,618	770,772,625	5156	209
13	1410,12293,27762,12000,19544	742,6722,14240,8947,10319	2236,2032,2098	1271,1061,1258	304	220
14	4,26,210,311,196	25,261,1509,2523,1917	102,17,25	868,228,551	234	255
15	21,221,1461,2039,1476	73,333,2271,3217,1974	280,142,175	1524,572,1100	255	411
16	63,535,3333,4948,3558	94,623,3828,6390,3721	1945,649,1264	3174,1169,2268	411	524
17	10,120,72,115,55	29,219,25,64,23	78,179,259	1138,44,264	198	329
18	3,205,321,185,160	48,119,233,108,110	1831,929,1385	1129,1608,1561	335	411
19	24,144,244,124,160	48,269,581,256,268	1194,1269,1432	4065,3523,4000	411	452
20	71,490,663,298,758	0,12,24,24,6	245,324,386	0,2,0	3842	191
21	73,535,719,318,846	8,71,103,57,87	252,337,417	18,16,25	3842	191
22	48,372,339,380,326	26,332,290,296,228	898,1020,1343	818,931,1130	453	329
23	37,464,550,571,441	34,249,442,482,340	247,189,236	532,472,795	568	666
24	39,645,340,616,295	101,1490,1149,1588,888	42,22,86	327,129,376	295	340
25	127,2028,1134,2248,1093	30,602,500,704,474	202,95,349	108,87,200	340	233
26	8,278,146,85,63	98,1640,1343,1897,1084	6,10,11	375,202,483	230	233
27	0,0,54,2,0	6,10,126,10,22	23,36,29	1270,1083,1986	181	198
28	0,0,54,2,0	8,18,195,10,28	23,36,29	2545,1924,3389	181	203
29	379,4045,5359,3778,4402	89,273,366,348,614	21229,15864,25159	6639,3456,5286	213	212
30	379,4048,5359,3778,4402	242,3917,5061,4435,4062	21231,15864,25156	20806,14050,22853	213	183
