ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	90,659,660,970,574	0,0,0,1,0	1135,923,791	0,0,4	2913	149
2	41,0,7,6,0	9,1,3,2,0	20,62,76	10,8,34	340	149
3	49,6,6,12,4	0,0,1,0,0	24,81,70	0,0,0	676	149
4	16,6,3,10,4	0,2,40,0,2	2,30,24	22,52,96	388	149
5	0,0,26,13,0	0,0,26,64,0	0,0,0	0,0,14	226	149
6	1,2,0,0,3	14,26,6,6,1	4,6,26	18,4,19	222	149
7	0,8,26,18,1	2,19,21,3,26	38,26,36	8,8,20	640	149
8	10,10,12,6,10	0,6,17,4,0	73,35,75	20,36,11	212	149
9	10,38,56,57,56	2,12,17,29,33	24,36,30	0,16,35	222	149
10	33,340,206,242,212	0,25,13,44,30	523,613,1041	45,78,67	250	149
11	0,2,7,0,0	0,0,10,5,0	0,16,17	3,10,9	236	149
12	0,73,79,105,79	0,0,8,0,5	13,24,53	0,0,2	310	149
13	2,102,142,158,138	0,6,2,6,9	15,30,67	0,4,2	351	149
14	0,17,11,22,3	0,0,1,0,2	86,37,20	35,4,0	224	149
15	13,25,15,19,20	0,10,0,4,0	77,27,41	18,0,8	326	149
16	2,7,1,15,0	0,0,0,0,0	147,8,21	1871,67,173	238	149
17	0,1,0,0,0	0,0,0,2,0	83,7,56	15,1,18	230	149
18	17,242,257,254,236	2,42,35,42,52	320,227,270	23,35,62	224	149
19	587,2668,965,1657,938	25,297,111,204,126	2533,1214,2276	159,175,221	281	149
20	276,1260,1382,1336,1181	15,58,140,41,225	1767,2161,1850	175,124,98	215	149
21	2,42,48,35,58	1,49,65,39,7	132,72,61	18,18,2	437	149
22	110,650,335,648,379	2,49,53,28,34	3527,2827,3695	654,477,658	245	149
23	969,4559,3140,4439,2896	15,82,99,62,84	6560,3674,7247	322,244,366	1065	149
24	0,8,107,24,5	0,0,2,0,0	216,229,158	0,0,0	929	149
25	200,1014,1461,1861,1801	0,20,144,65,51	204,639,668	4,33,18	367	149
26	51,336,246,341,188	114,579,833,724,462	501,503,569	10813,7512,9499	225	149
27	1484,7339,2432,6191,2344	172,529,298,431,323	1943,714,947	1323,339,605	236	149
28	40,47,222,207,46	3,18,19,49,3	14,33,25	0,0,6	227	149
29	0,0,0,0,0	0,0,7,2,0	93,46,71	0,51,26	194	149
30	0,6,10,6,0	1,71,69,69,63	8,4,29	293,215,391	230	149
31	4,0,0,0,5	22,71,14,40,32	7,6,17	129,113,206	224	149
32	37,639,64,177,44	0,0,0,0,7	383,115,455	14,0,6	220	149
33	0,5,2,10,0	0,0,1,0,0	32,1,1	9,0,2	247	149
34	454,2867,1778,2440,1256	0,4,2,4,13	4643,3866,5355	16,5,3	248	149
35	3,67,5,11,8	0,5,0,0,0	173,60,212	19,36,48	227	149
36	6,44,10,22,4	2,35,0,11,2	203,55,165	138,69,199	218	149
37	4,118,214,56,86	0,10,16,0,1	392,460,657	64,87,109	239	149
38	21,93,69,84,127	2,9,14,14,10	327,291,288	24,16,57	400	149
