ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	17,65,15,7,6	0,0,0,0,0	637,16,47	2,0,0	512	149
1	210,2094,903,1181,864	0,0,0,0,0	3765,1983,4403	4,26,11	483	149
2	40,652,163,164,280	1,7,0,0,0	688,292,909	0,0,2	313	149
3	163,1600,698,886,554	0,6,0,0,0	2907,1474,3103	0,0,0	306	149
4	109,495,227,304,167	0,0,0,0,0	839,227,530	46,2,15	525	149
5	40,488,125,211,107	4,0,0,0,0	569,175,485	0,0,0	576	149
6	30,237,35,82,27	0,0,0,0,0	306,33,255	6,0,1	456	149
7	37,346,98,131,110	2,1,0,0,4	284,52,226	0,0,0	555	149
8	81,440,136,150,113	4,6,0,2,0	349,55,281	0,0,2	555	149
9	104,389,258,210,449	0,2,0,0,2	76,84,108	0,0,0	557	149
10	205,2568,551,1055,287	0,0,0,0,0	2232,724,2138	0,2,0	262	149
11	343,4322,1859,2900,1346	0,0,1,0,0	2484,2207,4181	0,0,8	267	149
12	107,932,410,537,180	0,0,2,0,0	1167,806,1625	0,0,0	374	149
13	36,214,89,151,66	0,0,0,0,0	281,239,377	1,0,1	244	149
14	88,724,919,604,592	0,0,0,0,0	367,745,579	1,0,0	194	149
15	91,847,972,829,813	0,0,0,0,0	520,771,737	1,8,0	371	149
16	111,1012,1023,768,844	0,0,2,0,0	486,452,664	0,0,0	288	149
17	48,381,337,385,366	0,1,0,4,2	130,225,248	0,0,5	192	149
18	2,17,81,0,68	0,0,0,0,0	454,366,446	0,21,0	282	149
19	0,1,32,20,49	8,8,11,10,31	26,31,16	43,94,22	340	149
20	0,3,20,10,29	0,0,2,0,0	10,59,38	0,0,0	384	149
21	8,20,50,23,50	0,0,1,0,2	53,184,46	0,6,5	340	149
22	0,12,43,17,23	0,2,2,0,3	14,91,24	0,1,2	340	149
23	0,12,41,13,19	0,0,0,0,0	10,90,24	0,4,1	340	149
24	5,2,7,5,10	0,0,8,12,9	0,0,0	18,27,13	194	149
25	6,17,31,14,22	0,0,8,12,9	0,0,0	18,27,13	197	149
26	4,33,26,20,42	0,6,0,0,16	2,0,16	0,0,0	249	149
27	0,8,41,4,22	0,0,0,0,0	549,1080,919	0,9,0	279	149
28	0,2,15,6,0	0,0,0,0,0	58,66,39	0,2,0	352	149
29	0,2,15,2,0	0,0,0,0,0	62,64,44	0,2,0	361	149
31	8,69,212,103,81	0,0,0,0,0	2922,3251,5067	961,693,1356	209	149
32	0,8,12,7,6	8,61,164,72,74	108,192,367	2057,2230,3607	201	149
33	11,88,103,152,58	0,0,0,0,0	60,75,102	0,0,2	253	149
34	25,120,137,289,98	0,8,0,2,1	172,163,177	0,10,0	873	149
35	78,453,665,432,508	0,0,0,0,0	809,829,1045	0,1,0	291	149
36	16,88,94,76,46	0,0,0,0,0	104,139,176	0,1,0	291	149
37	82,400,566,355,505	0,0,0,0,0	824,812,1097	0,1,0	260	149
38	151,793,1148,723,960	8,26,10,16,1	1525,1539,2026	4,47,48	260	149
39	160,1047,1323,1013,1139	0,9,0,0,0	173,133,250	1160,970,1490	212	149
