ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC408552"	"LOC408552"	chrNC_037653.1	-	6985997	6986136	6990904	6990947	6985468	6985582	6991862	6992150	0	15,105,89,131,87	69,730,762,515,536	54,76,78	410,299,496	192	288	0.749702289732	0.913699665610875	0.246,0.177,0.149,0.276,0.196	0.165,0.276,0.191	-0.002
1	"LOC408562"	"LOC408562"	chrNC_037653.1	+	6600321	6600463	6601192	6601303	6539831	6539935	6603580	6603628	1	16,88,94,76,46	82,400,566,355,505	104,139,176	824,812,1097	291	260	0.404758598289	0.5777643769434485	0.148,0.164,0.129,0.161,0.075	0.101,0.133,0.125	0.016
2	"LOC408561"	"LOC408561"	chrNC_037653.1	-	5876962	5877011	5878545	5878627	5876605	5876690	5880614	5880732	2	898,5140,8511,6579,9128	376,2386,4600,2306,4228	168,119,182	82,88,72	231	198	0.288476161547	0.44050387764580157	0.672,0.649,0.613,0.71,0.649	0.637,0.537,0.684	0.039
3	"LOC408561"	"LOC408561"	chrNC_037653.1	-	5878545	5878627	5880614	5880732	5876962	5877011	5880806	5880936	3	899,5125,9365,5720,9852	602,4110,6986,5041,7206	141,106,170	161,111,81	267	231	0.676140879558	0.8487406601332941	0.564,0.519,0.537,0.495,0.542	0.431,0.452,0.645	0.022
4	"LOC409891"	"LOC409891"	chrNC_037653.1	+	5153616	5153894	5154593	5154849	5153234	5153460	5155781	5155847	4	42,551,315,409,346	50,239,335,238,253	1820,1245,1936	915,934,1333	427	405	0.415288340481	0.5900642124170993	0.443,0.686,0.471,0.62,0.565	0.654,0.558,0.579	-0.04
5	"LOC409891"	"LOC409891"	chrNC_037653.1	+	5153616	5153894	5155781	5155847	5153234	5153460	5155951	5156155	5	41,498,279,364,307	14,196,34,136,63	1779,1156,1880	459,304,470	427	215	0.879937617501	1.0	0.596,0.561,0.805,0.574,0.71	0.661,0.657,0.668	-0.013
6	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5035997	5036102	5040604	5040652	5023387	5023474	5042289	5042486	6	7,30,108,35,26	104,1453,3263,1534,2546	29,60,39	0,8,1	254	197	0	0.0	0.05,0.016,0.025,0.017,0.008	1.0,0.853,0.968	-0.917
7	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5035997	5036102	5040604	5040652	5026263	5032972	5042289	5042486	7	6,13,37,12,8	95,1323,2978,1394,2418	16,32,10	0,8,1	254	197	0	0.0	0.047,0.008,0.01,0.007,0.003	1.0,0.756,0.886	-0.866
8	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5043934	5044074	5044457	5044530	5043593	5043695	5045577	5045716	8	600,6003,12547,6120,9696	244,2171,6078,2161,4169	516,326,406	67,55,47	289	222	0	0.0	0.654,0.68,0.613,0.685,0.641	0.855,0.82,0.869	-0.193
9	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5043934	5044074	5044798	5044834	5043593	5043695	5045577	5045716	9	600,6003,12547,6120,9696	22,288,527,192,459	516,326,406	4,6,4	289	185	7.78050623929e-10	4.482047142599485e-09	0.946,0.93,0.938,0.953,0.931	0.988,0.972,0.985	-0.042
10	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5044457	5044530	5044798	5044834	5043593	5043695	5045577	5045716	10	244,2171,6078,2161,4169	22,288,527,192,459	67,55,47	4,6,4	222	185	0.18330256454	0.3045766902469246	0.902,0.863,0.906,0.904,0.883	0.933,0.884,0.907	-0.016
11	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5047423	5047456	5048272	5048356	5045931	5046043	5051230	5051286	11	582,6373,15891,7899,10082	2,13,41,12,33	1419,1346,1490	0,1,0	182	233	1	1.0	0.997,0.998,0.998,0.999,0.997	1.0,0.999,1.0	-0.002
12	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5052756	5057763	5058471	5058531	5051575	5051745	5073365	5073570	12	1111,6526,15073,10057,8138	600,4915,9914,5671,6551	761,578,618	770,772,625	5156	209	1.07530984117e-10	6.621644811415263e-10	0.07,0.051,0.058,0.067,0.048	0.039,0.029,0.039	0.023
13	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5076136	5076291	5076625	5076696	5075928	5076051	5077145	5077526	13	1410,12293,27762,12000,19544	742,6722,14240,8947,10319	2236,2032,2098	1271,1061,1258	304	220	0.925350578974	1.0	0.579,0.57,0.585,0.493,0.578	0.56,0.581,0.547	-0.002
14	"LOC725470"	"LOC725470"	chrNC_037653.1	+	4944062	4944147	4944318	4944424	4943774	4944002	4944555	4944817	14	4,26,210,311,196	25,261,1509,2523,1917	102,17,25	868,228,551	234	255	0.00388925619479	0.010382569841795806	0.148,0.098,0.132,0.118,0.1	0.114,0.075,0.047	0.041
15	"LOC725470"	"LOC725470"	chrNC_037653.1	+	4944318	4944424	4944555	4944817	4944062	4944147	4945125	4945500	15	21,221,1461,2039,1476	73,333,2271,3217,1974	280,142,175	1524,572,1100	255	411	3.5527136788e-15	2.890733216347338e-14	0.317,0.517,0.509,0.505,0.547	0.228,0.286,0.204	0.24
16	"LOC725470"	"LOC725470"	chrNC_037653.1	+	4944555	4944817	4945125	4945500	4944318	4944424	4946395	4946510	16	63,535,3333,4948,3558	94,623,3828,6390,3721	1945,649,1264	3174,1169,2268	411	524	1.36847455279e-06	5.983549172186172e-06	0.461,0.523,0.526,0.497,0.549	0.439,0.414,0.415	0.089
17	"LOC551374"	"LOC551374"	chrNC_037653.1	-	4874313	4874493	4874615	4874664	4874008	4874228	4874747	4874863	17	10,120,72,115,55	29,219,25,64,23	78,179,259	1138,44,264	198	329	0.32533308834	0.48287627678811024	0.364,0.477,0.827,0.749,0.799	0.102,0.871,0.62	0.112
18	"LOC410649"	"LOC410649"	chrNC_037653.1	+	4658188	4658374	4671338	4671600	4654069	4654398	4681989	4682292	18	3,205,321,185,160	48,119,233,108,110	1831,929,1385	1129,1608,1561	335	411	0.986910479838	1.0	0.071,0.679,0.628,0.678,0.641	0.666,0.415,0.521	0.005
19	"LOC410649"	"LOC410649"	chrNC_037653.1	+	4671338	4671600	4681989	4682292	4658188	4658374	4802990	4803052	19	24,144,244,124,160	48,269,581,256,268	1194,1269,1432	4065,3523,4000	411	452	1.58444543713e-05	6.109117463843284e-05	0.355,0.371,0.316,0.348,0.396	0.244,0.284,0.282	0.087
20	"Ubx"	"Ubx"	chrNC_037653.1	+	3689823	3693516	3741934	3741976	3685017	3685104	3764201	3764254	20	71,490,663,298,758	0,12,24,24,6	245,324,386	0,2,0	3842	191	3.14788152211e-07	1.4472577241895974e-06	1.0,0.67,0.579,0.382,0.863	1.0,0.89,1.0	-0.265
21	"Ubx"	"Ubx"	chrNC_037653.1	+	3689823	3693516	3741934	3741976	3685017	3685104	3799407	3799816	21	73,535,719,318,846	8,71,103,57,87	252,337,417	18,16,25	3842	191	1.5068631215e-06	6.563269025994224e-06	0.312,0.273,0.258,0.217,0.326	0.41,0.512,0.453	-0.181
22	"LOC551165"	"LOC551165"	chrNC_037653.1	+	3099629	3099933	3109363	3109543	3099385	3099528	3111348	3111773	22	48,372,339,380,326	26,332,290,296,228	898,1020,1343	818,931,1130	453	329	0.201053385244	0.3284420491732749	0.573,0.449,0.459,0.483,0.509	0.444,0.443,0.463	0.045
23	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2861618	2862135	2862513	2862932	2860710	2861260	2878223	2878677	23	37,464,550,571,441	34,249,442,482,340	247,189,236	532,472,795	568	666	0	0.0	0.561,0.686,0.593,0.581,0.603	0.352,0.32,0.258	0.295
