ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC410658"	NA	chrNC_037653.1	-	6721433	6724151	6721433	6722460	6723911	6724151	0	24,24,16,9	0,6,1,0	4,61,22,50,28	0,4,1,2,2	298	149	0.898870629491	1.0	1.0,0.667,0.889,1.0	1.0,0.884,0.917,0.926,0.875	-0.031
1	"LOC408562"	NA	chrNC_037653.1	+	6573547	6577971	6573547	6574271	6577035	6577971	1	129,253,174,252	0,8,2,7	109,250,181,177,143	0,2,0,0,0	298	149	0.000624545595702	0.0017161883176012942	1.0,0.941,0.978,0.947	1.0,0.984,1.0,1.0,1.0	-0.03
2	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126401	5128246	2	2,21,49,32	0,12,19,7	5,22,33,32,24	4,12,2,18,26	298	149	0.451945904707	0.6587799888819719	1.0,0.467,0.563,0.696	0.385,0.478,0.892,0.471,0.316	0.173
3	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246	3	6,37,41,34	0,2,0,0	6,13,11,33,20	0,1,0,1,0	298	149	1	1.0	1.0,0.902,1.0,1.0	1.0,0.867,1.0,0.943,1.0	0.013
4	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126498	5126737	5128246	4	14,31,53,64	2,14,42,2	6,0,5,11,2	10,22,10,40,29	298	149	2.50504061938e-11	1.5652514952941272e-10	0.778,0.525,0.387,0.941	0.231,0.0,0.2,0.121,0.033	0.541
5	"LOC102655781"	NA	chrNC_037653.1	-	4737881	4739419	4737881	4739082	4739159	4739419	5	0,0,0,0	0,2,0,0	0,0,0,2,0	0,0,0,0,0	226	149	1	1.0	NA,0.0,NA,NA	NA,NA,NA,1.0,NA	-1.0
6	"LOC100577317"	NA	chrNC_037653.1	+	4687311	4687703	4687311	4687424	4687497	4687703	6	1,2,20,7	0,0,29,12	8,11,2,0,2	1,10,7,0,3	222	149	1	1.0	1.0,1.0,0.316,0.281	0.843,0.425,0.161,NA,0.309	0.215
7	"LOC102653761"	NA	chrNC_037653.1	-	4604874	4605932	4604874	4605155	4605646	4605932	7	0,2,21,29	0,0,3,0	11,4,24,2,9	0,0,1,0,4	298	149	1	1.0	NA,1.0,0.778,1.0	1.0,1.0,0.923,1.0,0.529	0.036
8	"LOC409777"	NA	chrNC_037653.1	+	4603960	4604315	4603960	4604130	4604193	4604315	8	0,7,36,18	6,5,101,25	8,12,18,27,14	14,20,22,19,21	212	149	0.198386450748	0.31904443964555407	0.0,0.496,0.2,0.336	0.287,0.297,0.365,0.5,0.319	-0.096
10	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3099629	3099933	10	294,606,169,221	24,48,17,32	864,946,889,1164,1127	45,22,25,28,36	250	149	5.96189764224e-14	4.667694802105858e-13	0.88,0.883,0.856,0.805	0.92,0.962,0.955,0.961,0.949	-0.093
11	"LOC102655025"	NA	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906092	2906131	11	2,4,5,19	4,0,26,22	2,0,0,5,4	0,0,0,15,1	236	149	1	1.0	0.24,1.0,0.108,0.353	1.0,NA,NA,0.174,0.716	-0.205
12	"LOC552100"	NA	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878838	2879070	12	23,51,85,74	1,6,0,2	9,6,11,15,4	0,0,0,0,0	298	149	0.00825043387947	0.017946065711219667	0.92,0.81,1.0,0.949	1.0,1.0,1.0,1.0,1.0	-0.08
14	"LOC725251"	NA	chrNC_037653.1	+	2823341	2825809	2823341	2823729	2823804	2825809	14	42,32,27,107	4,5,13,16	0,5,6,23,8	6,10,10,0,0	224	149	0.171990835479	0.28309229799479696	0.875,0.81,0.58,0.816	0.0,0.25,0.285,1.0,1.0	0.263
15	"LOC413534"	NA	chrNC_037653.1	+	1249935	1250292	1249935	1250014	1250191	1250292	15	72,60,74,164	10,11,17,21	24,40,40,22,14	4,0,0,3,0	298	149	5.50840494747e-05	0.00017209379788114874	0.783,0.732,0.685,0.796	0.75,1.0,1.0,0.786,1.0	-0.158
16	"LOC413532"	NA	chrNC_037653.1	+	1184460	1185296	1184460	1184706	1184795	1185296	16	9,12,26,39	20,25,42,20	1,3,2,14,8	0,4,0,0,2	238	149	9.95479488675e-05	0.0003032811734130978	0.22,0.231,0.279,0.55	1.0,0.32,1.0,1.0,0.715	-0.487
18	"LOC411646"	NA	chrNC_037652.1	+	9394320	9394656	9394320	9394420	9394495	9394656	18	46,148,312,133	2,29,60,22	293,264,166,359,239	54,57,72,94,52	224	149	0.0239875398261	0.04765219606513056	0.939,0.772,0.776,0.801	0.783,0.755,0.605,0.718,0.754	0.099
19	"LOC412789"	NA	chrNC_037652.1	+	7886779	7887198	7886779	7886850	7886982	7887198	19	1589,3187,1584,3041	36,98,52,85	1369,2510,1628,2425,1702	25,21,57,69,32	281	149	0.00769848924954	0.016971276300671325	0.959,0.945,0.942,0.95	0.967,0.984,0.938,0.949,0.966	-0.012
20	"LOC726548"	NA	chrNC_037652.1	-	7819715	7820773	7819715	7820406	7820472	7820773	20	1079,2129,1371,2146	86,211,453,494	1691,2182,2422,2673,2373	10,5,15,17,14	215	149	0	0.0	0.897,0.875,0.677,0.751	0.992,0.997,0.991,0.991,0.992	-0.193
21	"LOC408517"	NA	chrNC_037652.1	-	7774331	7777053	7774331	7774545	7774833	7777053	21	0,11,18,17	0,5,6,5	19,0,36,73,45	10,8,3,9,2	298	149	1	1.0	NA,0.524,0.6,0.63	0.487,0.0,0.857,0.802,0.918	-0.028
22	"LOC552633"	NA	chrNC_037652.1	+	7665740	7666565	7665740	7666046	7666142	7666565	22	347,651,1150,587	2,16,99,16	600,743,610,807,672	0,3,6,7,0	245	149	0	0.0	0.991,0.961,0.876,0.957	1.0,0.993,0.984,0.986,1.0	-0.046
23	"LOC725115"	NA	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7446706	7446772	23	1240,2903,1841,2749	117,182,803,208	2004,2679,2616,2941,3005	130,177,213,166,159	298	149	0.00905361944776	0.019562997088662028	0.841,0.889,0.534,0.869	0.885,0.883,0.86,0.899,0.904	-0.103
