ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	68488	68815	68537	68815	67927	68290
1	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	68894	68999	68897	68999	68488	68721
2	"LOC100577816"	"LOC100577816"	chrNW_020555859.1	-	437956	438140	437956	438137	438276	438508
3	"LOC100577594"	"LOC100577594"	chrNW_020555859.1	-	427131	427291	427131	427282	427678	428430
4	"LOC102655737"	"LOC102655737"	chrNC_037653.1	-	6923806	6923854	6923806	6923851	6924024	6925478
5	"LOC410658"	"LOC410658"	chrNC_037653.1	-	6689118	6689330	6689118	6689321	6690224	6690399
6	"LOC726021"	"LOC726021"	chrNC_037653.1	-	5188072	5188232	5188072	5188226	5188306	5190002
7	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5126498	5125864	5126210	5126737	5128246
8	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5024260	5025993	5024281	5025993	5023387	5023474
9	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5045931	5046043	5045937	5046043	5045577	5045716
10	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5048245	5048356	5048272	5048356	5047423	5047456
11	"LOC725662"	"LOC725662"	chrNC_037653.1	-	4922538	4922753	4922538	4922732	4922887	4929705
12	"LOC412608"	"LOC412608"	chrNC_037653.1	-	4859092	4859222	4859092	4859216	4859321	4859383
13	"LOC412357"	"LOC412357"	chrNC_037653.1	-	4935310	4935588	4935310	4935543	4935663	4935939
14	"LOC413119"	"LOC413119"	chrNC_037653.1	-	4636547	4636702	4636547	4636681	4637155	4637293
15	"LOC724422"	"LOC724422"	chrNC_037653.1	+	4510828	4511762	4510831	4511762	4494355	4495982
16	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3301908	3301676	3301835	3301974	3302016
17	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3302042	3301676	3301908	3302630	3302768
18	"LOC107965657"	"LOC107965657"	chrNC_037653.1	+	2989649	2989786	2989652	2989786	2988993	2989585
19	"LOC102655025"	"LOC102655025"	chrNC_037653.1	+	2897410	2897524	2897418	2897524	2897190	2897332
20	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2859711	2859989	2859711	2859959	2860710	2861260
21	"LOC411556"	"LOC411556"	chrNC_037653.1	-	2844797	2844909	2844797	2844906	2845095	2845242
22	"LOC411469"	"LOC411469"	chrNC_037653.1	-	2705767	2705958	2705767	2705948	2706019	2706144
23	"LOC413633"	"LOC413633"	chrNC_037653.1	-	1545021	1545173	1545021	1545170	1548929	1549219
24	"LOC552675"	"LOC552675"	chrNC_037653.1	+	1308751	1310425	1308754	1310425	1307595	1308190
25	"LOC726460"	"LOC726460"	chrNC_037653.1	-	1147169	1147523	1147169	1147286	1147682	1147783
26	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103103	1103160
27	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103128	1103160
28	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103242	1103346
29	"LOC113219252"	"LOC113219252"	chrNC_037652.1	+	9504588	9505149	9504591	9505149	9503476	9503632
30	"LOC411646"	"LOC411646"	chrNC_037652.1	+	9388913	9389247	9388916	9389247	9388203	9388571
31	"LOC411646"	"LOC411646"	chrNC_037652.1	+	9395383	9395613	9395392	9395613	9394320	9394656
32	"LOC412503"	"LOC412503"	chrNC_037652.1	-	9315813	9316036	9315813	9316021	9316079	9316246
33	"LOC550735"	"LOC550735"	chrNC_037652.1	-	9283954	9284114	9283954	9284078	9284230	9284440
34	"LOC551328"	"LOC551328"	chrNC_037652.1	+	8831818	8832042	8831878	8832042	8830695	8830813
35	"LOC551328"	"LOC551328"	chrNC_037652.1	+	8838990	8840449	8838993	8840449	8838543	8838914
36	"LOC412796"	"LOC412796"	chrNC_037652.1	-	8208331	8208405	8208331	8208381	8208783	8208871
37	"LOC412796"	"LOC412796"	chrNC_037652.1	-	8208331	8208513	8208331	8208381	8208783	8208871
