ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246
95	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13715960	13716548
130	"Cyp314a1"	"Cyp314a1"	chrNC_037642.1	-	13662309	13663045	13662309	13662476	13662846	13663045
164	"LOC408811"	"LOC408811"	chrNC_037641.1	+	6768176	6768690	6768176	6768291	6768495	6768690
175	"LOC102656523"	"LOC102656523"	chrNC_037643.1	-	15719992	15721613	15719992	15720357	15720567	15721613
367	"LOC726231"	"LOC726231"	chrNC_037639.1	-	14756223	14759022	14756223	14756665	14758210	14759022
474	"LOC100578458"	"LOC100578458"	chrNC_037638.1	+	5878707	5881090	5878707	5878905	5880937	5881090
502	"LOC408577"	"LOC408577"	chrNC_037638.1	+	18905286	18909802	18905286	18906260	18909692	18909802
515	"LOC100576896"	"LOC100576896"	chrNC_037639.1	-	2019675	2020760	2019675	2019889	2019964	2020760
554	"LOC107965445"	"LOC107965445"	chrNC_037638.1	-	25994609	25998221	25994609	25996761	25997025	25998221
624	"LOC551780"	"LOC551780"	chrNC_037645.1	+	2814752	2815131	2814752	2814905	2814988	2815131
707	"LOC725406"	"LOC725406"	chrNC_037644.1	-	5041688	5042578	5041688	5041844	5042377	5042578
848	"LOC100576234"	"LOC100576234"	chrNC_037640.1	-	5358259	5358824	5358259	5358478	5358757	5358824
850	"B-gluc1"	"B-gluc1"	chrNC_037646.1	-	7483844	7484985	7483844	7483970	7484338	7484985
859	"LOC411414"	"LOC411414"	chrNC_037647.1	-	4485535	4486167	4485535	4485657	4485762	4486167
865	"LOC100578317"	"LOC100578317"	chrNC_037648.1	-	13313138	13315321	13313138	13313350	13314378	13315321
922	"LOC412959"	"LOC412959"	chrNC_037645.1	+	12688224	12688750	12688224	12688301	12688491	12688750
944	"LOC408543"	"LOC408543"	chrNC_037652.1	+	3671178	3673755	3671178	3671449	3673089	3673755
948	"LOC551883"	"LOC551883"	chrNC_037648.1	-	6385388	6386752	6385388	6386299	6386440	6386752
955	"LOC551736"	"LOC551736"	chrNC_037648.1	-	9478818	9479183	9478818	9478977	9479030	9479183
1026	"LOC102655405"	"LOC102655405"	chrNC_037649.1	+	5574298	5575740	5574298	5574451	5575493	5575740
1045	"LOC107965314"	"LOC107965314"	chrNC_037649.1	+	9146525	9147639	9146525	9147296	9147493	9147639
