ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC408552"	NA	chrNC_037653.1	-	6985997	6986136	6990904	6990947	6985468	6985582	6991862	6992150	0	15,105,89,131,87	67,698,700,493,502	54,76,78	396,295,476	192	288	0.894091340837	1.0	0.251,0.184,0.16,0.285,0.206	0.17,0.279,0.197	0.002
1	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6601192	6601303	6539831	6539935	6603580	6603628	1	8,34,10,18,2	82,384,548,337,503	4,57,48	774,794,1049	291	260	0.644467329579	0.852319380752837	0.08,0.073,0.016,0.046,0.004	0.005,0.06,0.039	0.009
2	"LOC408561"	NA	chrNC_037653.1	-	5876962	5877011	5878545	5878627	5876605	5876690	5880614	5880732	2	892,5132,8481,6539,9076	376,2386,4600,2306,4228	168,119,182	82,88,72	231	198	0.303087383752	0.4624919347014055	0.67,0.648,0.612,0.709,0.648	0.637,0.537,0.684	0.038
3	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5880614	5880732	5876962	5877011	5880806	5880936	3	897,5067,9175,5566,9718	596,4102,6956,5001,7154	141,88,170	161,111,81	267	231	0.53842028004	0.7402860504255954	0.566,0.517,0.533,0.491,0.54	0.431,0.407,0.645	0.035
4	"LOC409891"	NA	chrNC_037653.1	+	5153616	5153894	5154593	5154849	5153234	5153460	5155781	5155847	4	17,221,109,127,135	14,117,70,103,93	583,451,698	405,384,574	298	298	0.116744666089	0.20684674173762516	0.548,0.654,0.609,0.552,0.592	0.59,0.54,0.549	0.031
5	"LOC409891"	NA	chrNC_037653.1	+	5153616	5153894	5155781	5155847	5153234	5153460	5155951	5156155	5	16,168,73,82,96	14,196,34,136,63	542,362,642	459,304,470	298	215	0.523681837613	0.7248836565649669	0.452,0.382,0.608,0.303,0.524	0.46,0.462,0.496	-0.019
6	"LOC409655"	NA	chrNC_037653.1	+	5035997	5036102	5040604	5040652	5023387	5023474	5042289	5042486	6	7,30,108,33,26	104,1453,3263,1534,2546	25,54,39	0,8,1	254	197	0	0.0	0.05,0.016,0.025,0.016,0.008	1.0,0.84,0.968	-0.913
7	"LOC409655"	NA	chrNC_037653.1	+	5035997	5036102	5040604	5040652	5026263	5032972	5042289	5042486	7	6,13,37,10,8	95,1323,2978,1394,2418	12,26,10	0,8,1	254	197	0	0.0	0.047,0.008,0.01,0.006,0.003	1.0,0.716,0.886	-0.853
8	"LOC409655"	NA	chrNC_037653.1	+	5043934	5044074	5044457	5044530	5043593	5043695	5045577	5045716	8	586,5779,12073,5766,9324	244,2169,6048,2161,4163	500,314,394	67,55,47	289	222	0	0.0	0.648,0.672,0.605,0.672,0.632	0.851,0.814,0.866	-0.198
9	"LOC409655"	NA	chrNC_037653.1	+	5043934	5044074	5044798	5044834	5043593	5043695	5045577	5045716	9	586,5779,12073,5766,9324	22,288,527,192,459	500,314,394	4,6,4	289	185	5.90026916214e-10	3.0661460177449496e-09	0.945,0.928,0.936,0.951,0.929	0.988,0.971,0.984	-0.043
10	"LOC409655"	NA	chrNC_037653.1	+	5044457	5044530	5044798	5044834	5043593	5043695	5045577	5045716	10	244,2169,6048,2161,4163	22,288,527,192,459	67,55,47	4,6,4	222	185	0.181097836695	0.30120648059940264	0.902,0.863,0.905,0.904,0.883	0.933,0.884,0.907	-0.017
11	"LOC409655"	NA	chrNC_037653.1	+	5047423	5047456	5048272	5048356	5045931	5046043	5051230	5051286	11	582,6373,15891,7899,10082	2,13,41,12,33	1419,1346,1490	0,1,0	182	233	1	1.0	0.997,0.998,0.998,0.999,0.997	1.0,0.999,1.0	-0.002
12	"LOC409655"	NA	chrNC_037653.1	+	5052756	5057763	5058471	5058531	5051575	5051745	5073365	5073570	12	15,160,367,221,171	600,4913,9910,5657,6547	0,0,1	770,772,625	298	209	6.41708908233e-14	4.3418024731044775e-13	0.017,0.022,0.025,0.027,0.018	0.0,0.0,0.001	0.021
13	"LOC409655"	NA	chrNC_037653.1	+	5076136	5076291	5076625	5076696	5075928	5076051	5077145	5077526	13	1188,10454,22856,9892,16295	734,6714,14232,8933,10309	1833,1729,1692	1271,1061,1258	298	220	0.943633449484	1.0	0.544,0.535,0.542,0.45,0.539	0.516,0.546,0.498	0.002
14	"LOC725470"	NA	chrNC_037653.1	+	4944062	4944147	4944318	4944424	4943774	4944002	4944555	4944817	14	4,26,208,309,192	25,259,1483,2491,1909	88,17,25	866,228,551	234	255	0.000407191863379	0.0011773761314625274	0.148,0.099,0.133,0.119,0.099	0.1,0.075,0.047	0.046
15	"LOC725470"	NA	chrNC_037653.1	+	4944318	4944424	4944555	4944817	4944062	4944147	4945125	4945500	15	21,219,1435,2007,1468	41,96,628,846,714	278,142,175	508,174,421	255	298	2.76304540558e-06	1.059793946380628e-05	0.374,0.727,0.728,0.735,0.706	0.39,0.488,0.327	0.252
16	"LOC725470"	NA	chrNC_037653.1	+	4944555	4944817	4945125	4945500	4944318	4944424	4946395	4946510	16	31,298,1690,2577,2298	14,217,1148,1982,1223	929,251,585	731,364,610	298	298	0.00084935973282	0.002334186820576816	0.689,0.579,0.595,0.565,0.653	0.56,0.408,0.49	0.13
17	"LOC551374"	NA	chrNC_037653.1	-	4874313	4874493	4874615	4874664	4874008	4874228	4874747	4874863	17	10,120,72,115,55	16,73,19,27,22	78,179,259	613,28,127	198	298	0.286751835395	0.44195055086163326	0.485,0.712,0.851,0.865,0.79	0.161,0.906,0.754	0.134
