ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	67927	68290	66886	67095	68488	68721	0	17,65,15,7,6	0,0,0,0,0	637,16,47	2,0,0	512	149	1	1.0	1.0,1.0,1.0,1.0,1.0	0.989,1.0,1.0	0.004
1	"LOC551434"	"LOC551434"	chrNW_020555859.1	-	462329	462663	460337	460460	463080	463341	1	210,2094,903,1181,864	0,0,0,0,0	3765,1983,4403	4,26,11	483	149	0.213871585262	0.6498333690817322	1.0,1.0,1.0,1.0,1.0	0.997,0.959,0.992	0.017
2	"LOC551434"	"LOC551434"	chrNW_020555859.1	-	465717	465881	463950	464130	466398	466478	2	40,652,163,164,280	1,7,0,0,0	688,292,909	0,0,2	313	149	1	1.0	0.95,0.978,1.0,1.0,1.0	1.0,1.0,0.995	-0.013
3	"LOC409880"	"LOC409880"	chrNW_020555859.1	+	424022	424179	423682	423936	424279	424516	3	163,1600,698,886,554	0,6,0,0,0	2907,1474,3103	0,0,0	306	149	1	1.0	1.0,0.992,1.0,1.0,1.0	1.0,1.0,1.0	-0.002
4	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	209053	209429	207279	207445	210117	210544	4	109,495,227,304,167	0,0,0,0,0	839,227,530	46,2,15	525	149	2.22044604925e-16	2.766132646677194e-15	1.0,1.0,1.0,1.0,1.0	0.838,0.97,0.909	0.094
5	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	210117	210544	207279	207445	213956	214054	5	40,488,125,211,107	4,0,0,0,0	569,175,485	0,0,0	576	149	0.727197659312	1.0	0.721,1.0,1.0,1.0,1.0	1.0,1.0,1.0	-0.056
6	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	222682	222989	222388	222577	245110	245274	6	30,237,35,82,27	0,0,0,0,0	306,33,255	6,0,1	456	149	0.205198680902	0.6255669645244775	1.0,1.0,1.0,1.0,1.0	0.943,1.0,0.988	0.023
7	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	261627	262033	252113	252363	285653	285731	7	37,346,98,131,110	2,1,0,0,4	284,52,226	0,0,0	555	149	0.68331546851	1.0	0.832,0.989,1.0,1.0,0.881	1.0,1.0,1.0	-0.06
8	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	261627	262033	256086	256307	285653	285731	8	81,440,136,150,113	4,6,0,2,0	349,55,281	0,0,2	555	149	0.0277935263699	0.1002860393042693	0.845,0.952,1.0,0.953,1.0	1.0,1.0,0.974	-0.041
9	"LOC725756"	"LOC725756"	chrNC_037653.1	-	7178428	7178836	7177690	7178254	7178967	7179089	9	104,389,258,210,449	0,2,0,0,2	76,84,108	0,0,0	557	149	1	1.0	1.0,0.981,1.0,1.0,0.984	1.0,1.0,1.0	-0.007
