ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	68488	68809	68488	68721	68894	68999
1	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	68488	68815	68488	68721	68894	68999
2	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	68488	68815	68488	68809	68894	68999
3	"LOC102653753"	"LOC102653753"	chrNW_020555859.1	-	333193	333327	333211	333327	332941	333099
4	"LOC100578019"	"LOC100578019"	chrNW_020555859.1	-	35199	35439	35276	35439	34917	35016
5	"LOC100577767"	"LOC100577767"	chrNW_020555859.1	-	9038	9291	9115	9291	8756	8855
6	"LOC726021"	"LOC726021"	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165173	5165311
7	"LOC726021"	"LOC726021"	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165508	5165517
8	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5126401	5128246	5126737	5128246	5125864	5126210
9	"LOC102655781"	"LOC102655781"	chrNC_037653.1	-	4739490	4739865	4739497	4739865	4737881	4739419
10	"LOC102655781"	"LOC102655781"	chrNC_037653.1	-	4739967	4740724	4739972	4740724	4739490	4739865
11	"LOC102653761"	"LOC102653761"	chrNC_037653.1	-	4606034	4606248	4606114	4606248	4604874	4605932
12	"LOC107965722"	"LOC107965722"	chrNC_037653.1	+	4242201	4242415	4242201	4242406	4244574	4244947
13	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3302042	3301700	3302042	3301064	3301196
14	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3302042	3301729	3302042	3301064	3301196
15	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301700	3302042	3301729	3302042	3301064	3301196
16	"LOC551165"	"LOC551165"	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3109363	3109543
17	"LOC102655025"	"LOC102655025"	chrNC_037653.1	+	2900473	2900981	2900473	2900794	2902670	2902860
18	"LOC102655025"	"LOC102655025"	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906833	2907323
19	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2859016	2859246	2859037	2859246	2858187	2858325
20	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2859016	2859246	2859091	2859246	2858187	2858325
21	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2859037	2859246	2859091	2859246	2858187	2858325
22	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2859711	2859989	2859717	2859989	2859016	2859246
23	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2878838	2879070	2878879	2879070	2878223	2878677
24	"LOC413633"	"LOC413633"	chrNC_037653.1	-	1539622	1539852	1539640	1539852	1536996	1537221
25	"LOC726888"	"LOC726888"	chrNC_037653.1	-	1473046	1473423	1473091	1473423	1472376	1472673
26	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1103103	1103160	1103128	1103160	1102299	1102348
27	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1103103	1103160	1103128	1103160	1102299	1102353
28	"LOC409854"	"LOC409854"	chrNC_037653.1	-	1083573	1083835	1083594	1083835	1083194	1083505
29	"LOC100576563"	"LOC100576563"	chrNC_037653.1	-	1049318	1049693	1049363	1049693	1047862	1048233
30	"LOC411575"	"LOC411575"	chrNC_037653.1	-	766270	766478	766310	766478	765426	765559
31	"LOC411525"	"LOC411525"	chrNC_037653.1	-	750467	750728	750558	750728	749973	750093
32	"LOC412830"	"LOC412830"	chrNC_037652.1	+	9307721	9307914	9307721	9307911	9308079	9308309
33	"LOC409681"	"LOC409681"	chrNC_037652.1	+	8350365	8350552	8350365	8350489	8350677	8350810
34	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8175451	8175585	8175451	8175575	8176537	8176774
35	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8175451	8175829	8175451	8175575	8176537	8176774
36	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8175451	8175829	8175451	8175585	8176537	8176774
37	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8175451	8175829	8175451	8175575	8177361	8177605
38	"CPF2"	"CPF2"	chrNC_037652.1	+	7840908	7841251	7840908	7841092	7841734	7842089
39	"LOC726510"	"LOC726510"	chrNC_037652.1	-	7800921	7801376	7800926	7801376	7800648	7800832
40	"LOC408517"	"LOC408517"	chrNC_037652.1	-	7774331	7777051	7774833	7777051	7772283	7772438
41	"LOC551799"	"LOC551799"	chrNC_037653.1	+	4628799	4631594	4628799	4631315	4633020	4633560
42	"LOC552708"	"LOC552708"	chrNC_037652.1	-	7590514	7591104	7590601	7591104	7590165	7590428
43	"pHCl"	"pHCl"	chrNC_037652.1	+	7517528	7517779	7517528	7517617	7526389	7526454
44	"Dop1"	"Dop1"	chrNC_037652.1	+	7374945	7375015	7374945	7375011	7375536	7375846
45	"Dop1"	"Dop1"	chrNC_037652.1	+	7374945	7375457	7374945	7375011	7375536	7375846
46	"Dop1"	"Dop1"	chrNC_037652.1	+	7374945	7375457	7374945	7375015	7375536	7375846
47	"LOC724160"	"LOC724160"	chrNC_037652.1	+	7277945	7278547	7277945	7278388	7279407	7279465
48	"LOC408528"	"LOC408528"	chrNC_037652.1	+	6466815	6467085	6466815	6466918	6467627	6467841
49	"Adar"	"Adar"	chrNC_037652.1	-	6313877	6314525	6314222	6314525	6312990	6313193
50	"Adar"	"Adar"	chrNC_037652.1	-	6320326	6320517	6320409	6320517	6320151	6320250
51	"Adar"	"Adar"	chrNC_037652.1	-	6320637	6320932	6320686	6320932	6320326	6320517
52	"LOC726302"	"LOC726302"	chrNC_037652.1	-	6246790	6247474	6246877	6247474	6242502	6245373
53	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5876679	5876785
54	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5876973	5877343
55	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5877412	5877977
56	"LOC551517"	"LOC551517"	chrNC_037652.1	+	5821042	5821226	5821042	5821193	5821296	5821344
57	"LOC724466"	"LOC724466"	chrNC_037652.1	-	5267026	5267173	5267038	5267173	5266513	5266957
58	"LOC724466"	"LOC724466"	chrNC_037652.1	-	5278138	5280984	5278473	5280984	5277283	5277578
59	"LOC724466"	"LOC724466"	chrNC_037652.1	-	5278138	5280984	5280684	5280984	5277283	5277578
60	"LOC724466"	"LOC724466"	chrNC_037652.1	-	5278473	5280984	5280684	5280984	5277283	5277578
61	"LOC409674"	"LOC409674"	chrNC_037652.1	-	5244522	5244783	5244639	5244783	5241118	5241378
62	"LOC551946"	"LOC551946"	chrNC_037652.1	-	5179950	5180316	5179962	5180316	5179379	5179805
63	"LOC551946"	"LOC551946"	chrNC_037652.1	-	5179950	5180316	5179999	5180316	5179379	5179805
64	"LOC551946"	"LOC551946"	chrNC_037652.1	-	5179962	5180316	5179999	5180316	5179379	5179805
65	"LOC410623"	"LOC410623"	chrNC_037652.1	-	5090641	5090809	5090647	5090809	5090332	5090566
66	"LOC726457"	"LOC726457"	chrNC_037652.1	-	5081425	5081648	5081506	5081648	5079046	5079744
67	"LOC410624"	"LOC410624"	chrNC_037652.1	+	5069986	5070076	5069986	5070070	5072805	5074655
68	"LOC410624"	"LOC410624"	chrNC_037652.1	+	5069986	5070076	5069986	5070070	5076453	5076932
69	"LOC410632"	"LOC410632"	chrNC_037652.1	-	3545473	3546384	3545477	3546384	3545125	3545263
70	"LOC408548"	"LOC408548"	chrNC_037652.1	-	3036495	3036578	3036537	3036578	3035931	3036142
71	"LOC408548"	"LOC408548"	chrNC_037652.1	-	3036495	3036578	3036537	3036578	3036232	3036340
72	"LOC413515"	"LOC413515"	chrNC_037652.1	-	2822674	2823068	2822821	2823068	2822066	2822451
73	"LOC552479"	"LOC552479"	chrNC_037652.1	-	2718575	2718903	2718695	2718903	2716324	2716480
74	"LOC552479"	"LOC552479"	chrNC_037652.1	-	2718575	2718903	2718695	2718903	2717958	2718066
75	"LOC724207"	"LOC724207"	chrNC_037652.1	-	2534840	2535083	2534884	2535083	2534279	2534368
76	"LOC107965599"	"LOC107965599"	chrNC_037652.1	+	2491679	2492148	2491679	2491993	2492667	2492893
77	"LOC724123"	"LOC724123"	chrNC_037652.1	-	2474918	2474988	2474928	2474988	2473857	2474738
78	"LOC724123"	"LOC724123"	chrNC_037652.1	-	2475372	2475868	2475584	2475868	2474918	2474988
79	"LOC726887"	"LOC726887"	chrNC_037652.1	+	2236721	2237287	2236721	2237269	2243533	2243762
80	"LOC727228"	"LOC727228"	chrNC_037652.1	+	2192421	2192768	2192421	2192742	2192933	2193101
81	"LOC727223"	"LOC727223"	chrNC_037652.1	-	2185141	2185898	2185172	2185898	2184614	2184845
82	"LOC551984"	"LOC551984"	chrNC_037652.1	-	1968887	1969128	1968891	1969128	1968580	1968817
83	"LOC100578556"	"LOC100578556"	chrNC_037652.1	+	1817347	1817641	1817347	1817592	1819962	1820087
84	"LOC409573"	"LOC409573"	chrNC_037652.1	+	1799097	1799239	1799097	1799185	1799389	1799500
85	"LOC100577679"	"LOC100577679"	chrNC_037652.1	+	1577127	1577244	1577127	1577240	1577320	1577530
86	"LOC409200"	"LOC409200"	chrNC_037652.1	-	1573994	1574315	1574107	1574315	1572950	1573030
87	"LOC411466"	"LOC411466"	chrNC_037652.1	+	628194	628795	628194	628442	630011	630199
88	"LOC411466"	"LOC411466"	chrNC_037652.1	+	636585	637341	636585	636828	638739	638875
89	"LOC411466"	"LOC411466"	chrNC_037652.1	+	647022	647210	647022	647183	647305	653771
90	"LOC411466"	"LOC411466"	chrNC_037652.1	+	655390	655650	655390	655614	655722	655940
91	"LOC408501"	"LOC408501"	chrNC_037651.1	+	10640837	10640980	10640837	10640967	10641031	10641086
92	"LOC408501"	"LOC408501"	chrNC_037651.1	+	10640837	10640980	10640837	10640967	10641043	10641086
93	"Metrn"	"Metrn"	chrNC_037651.1	+	10631142	10631335	10631142	10631330	10631437	10631709
94	"LOC408441"	"LOC408441"	chrNC_037651.1	-	10599073	10599482	10599091	10599482	10598572	10598939
95	"LOC724159"	"LOC724159"	chrNC_037651.1	-	10588579	10589103	10589014	10589103	10584462	10584860
96	"LOC413286"	"LOC413286"	chrNC_037651.1	-	10558934	10559029	10558955	10559029	10558605	10558864
97	"LOC411495"	"LOC411495"	chrNC_037651.1	-	10475881	10476152	10475889	10476152	10475562	10475773
98	"LOC410567"	"LOC410567"	chrNC_037651.1	+	10369540	10369922	10369540	10369790	10371256	10371408
99	"LOC727238"	"LOC727238"	chrNC_037651.1	+	10038829	10038960	10038829	10038956	10039984	10040382
100	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10023291	10023484	10023339	10023484	10022405	10022500
101	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027380	10028328	10027587	10028328	10025461	10026716
102	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027380	10028328	10027599	10028328	10025461	10026716
103	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027380	10028328	10027616	10028328	10025461	10026716
104	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027380	10028328	10027770	10028328	10025461	10026716
105	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027380	10028328	10028070	10028328	10025461	10026716
106	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027587	10028328	10027599	10028328	10025461	10026716
107	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027587	10028328	10027616	10028328	10025461	10026716
108	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027587	10028328	10027770	10028328	10025461	10026716
109	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027587	10028328	10028070	10028328	10025461	10026716
110	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027599	10028328	10027616	10028328	10025461	10026716
111	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027599	10028328	10027770	10028328	10025461	10026716
112	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027599	10028328	10028070	10028328	10025461	10026716
113	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027616	10028328	10027770	10028328	10025461	10026716
114	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027616	10028328	10028070	10028328	10025461	10026716
115	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10027770	10028328	10028070	10028328	10025461	10026716
116	"LOC410558"	"LOC410558"	chrNC_037651.1	-	9983663	9983771	9983669	9983771	9983271	9983550
117	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759175	9759378	9759240	9759378	9758490	9758931
118	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486026	9486220	9486035	9486220	9474972	9475105
119	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486026	9486220	9486035	9486220	9474972	9475132
120	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486026	9486220	9486035	9486220	9481392	9481422
