ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC408552"	"LOC408552"	chrNC_037653.1	-	6985997	6986136	6990904	6990947	6985468	6985582	6991862	6992150
1	"LOC408562"	"LOC408562"	chrNC_037653.1	+	6600321	6600463	6601192	6601303	6539831	6539935	6603580	6603628
2	"LOC408561"	"LOC408561"	chrNC_037653.1	-	5876962	5877011	5878545	5878627	5876605	5876690	5880614	5880732
3	"LOC408561"	"LOC408561"	chrNC_037653.1	-	5878545	5878627	5880614	5880732	5876962	5877011	5880806	5880936
4	"LOC409891"	"LOC409891"	chrNC_037653.1	+	5153616	5153894	5154593	5154849	5153234	5153460	5155781	5155847
5	"LOC409891"	"LOC409891"	chrNC_037653.1	+	5153616	5153894	5155781	5155847	5153234	5153460	5155951	5156155
6	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5035997	5036102	5040604	5040652	5023387	5023474	5042289	5042486
8	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5043934	5044074	5044457	5044530	5043593	5043695	5045577	5045716
9	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5043934	5044074	5044798	5044834	5043593	5043695	5045577	5045716
10	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5044457	5044530	5044798	5044834	5043593	5043695	5045577	5045716
11	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5047423	5047456	5048272	5048356	5045931	5046043	5051230	5051286
12	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5052756	5057763	5058471	5058531	5051575	5051745	5073365	5073570
13	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5076136	5076291	5076625	5076696	5075928	5076051	5077145	5077526
14	"LOC725470"	"LOC725470"	chrNC_037653.1	+	4944062	4944147	4944318	4944424	4943774	4944002	4944555	4944817
15	"LOC725470"	"LOC725470"	chrNC_037653.1	+	4944318	4944424	4944555	4944817	4944062	4944147	4945125	4945500
16	"LOC725470"	"LOC725470"	chrNC_037653.1	+	4944555	4944817	4945125	4945500	4944318	4944424	4946395	4946510
17	"LOC551374"	"LOC551374"	chrNC_037653.1	-	4874313	4874493	4874615	4874664	4874008	4874228	4874747	4874863
18	"LOC410649"	"LOC410649"	chrNC_037653.1	+	4658188	4658374	4671338	4671600	4654069	4654398	4681989	4682292
19	"LOC410649"	"LOC410649"	chrNC_037653.1	+	4671338	4671600	4681989	4682292	4658188	4658374	4802990	4803052
20	"Ubx"	"Ubx"	chrNC_037653.1	+	3689823	3693516	3741934	3741976	3685017	3685104	3764201	3764254
21	"Ubx"	"Ubx"	chrNC_037653.1	+	3689823	3693516	3741934	3741976	3685017	3685104	3799407	3799816
22	"LOC551165"	"LOC551165"	chrNC_037653.1	+	3099629	3099933	3109363	3109543	3099385	3099528	3111348	3111773
23	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2861618	2862135	2862513	2862932	2860710	2861260	2878223	2878677
24	"LOC409638"	"LOC409638"	chrNC_037653.1	+	2680239	2680385	2684137	2684328	2657415	2657986	2687391	2687475
25	"LOC409638"	"LOC409638"	chrNC_037653.1	+	2684137	2684328	2687391	2687475	2680239	2680385	2689049	2689106
27	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102348	1103128	1103160	1101881	1102193	1103242	1103346
28	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102353	1103128	1103160	1101881	1102193	1103242	1103346
29	"LOC409854"	"LOC409854"	chrNC_037653.1	-	1081243	1081306	1084925	1084989	1077342	1080873	1086471	1086628
30	"LOC409854"	"LOC409854"	chrNC_037653.1	-	1083929	1083963	1084925	1084989	1083573	1083835	1086471	1086628
31	"LOC411525"	"LOC411525"	chrNC_037653.1	-	742794	743041	746506	746619	741029	741194	749973	750039
32	"LOC411525"	"LOC411525"	chrNC_037653.1	-	745248	745728	746506	746619	742794	743041	749973	750039
33	"LOC411525"	"LOC411525"	chrNC_037653.1	-	745248	745728	749973	750093	742794	743041	750467	750728
34	"LOC411525"	"LOC411525"	chrNC_037653.1	-	745248	745728	746506	746619	742794	743041	750467	750729
35	"LOC552081"	"LOC552081"	chrNC_037652.1	-	9440506	9440596	9441346	9441474	9439875	9440078	9441624	9441749
37	"LOC413697"	"LOC413697"	chrNC_037652.1	-	9435660	9435877	9437265	9437376	9434992	9435238	9437931	9437998
38	"LOC413697"	"LOC413697"	chrNC_037652.1	-	9435660	9435877	9437931	9437998	9434992	9435238	9438133	9438326
39	"LOC413697"	"LOC413697"	chrNC_037652.1	-	9436184	9436273	9437265	9437376	9435660	9435877	9437931	9437998
40	"LOC413697"	"LOC413697"	chrNC_037652.1	-	9437265	9437376	9437931	9437998	9436184	9436273	9438133	9438326
41	"LOC411646"	"LOC411646"	chrNC_037652.1	+	9381636	9381749	9385274	9385449	9381225	9381275	9386177	9387719
42	"LOC411410"	"LOC411410"	chrNC_037652.1	-	9352321	9352468	9353485	9353632	9351894	9352010	9355691	9355814
43	"LOC724551"	"LOC724551"	chrNC_037652.1	-	9292481	9292638	9292873	9293062	9292303	9292384	9293364	9293644
44	"LOC552201"	"LOC552201"	chrNC_037652.1	-	9098312	9098479	9099307	9099749	9097707	9097902	9107162	9107368
45	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8968785	8968958	8970695	8970805	8966421	8967278	8971877	8972058
46	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8970695	8970805	8971877	8972058	8968785	8968958	8979619	8979819
47	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8971877	8972058	8979619	8979819	8970695	8970805	8980641	8980844
48	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8971877	8972058	8984363	8984437	8970695	8970805	9000703	9001277
49	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8979619	8979819	8980641	8980844	8971877	8972058	8982830	8982987
50	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8979619	8979819	8982830	8982987	8971877	8972058	8983505	8983574
51	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8979619	8979819	8982830	8982987	8971877	8972058	8984363	8984437
52	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8980641	8980844	8982830	8982987	8979619	8979819	8984363	8984437
53	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8980641	8980844	8983505	8983574	8979619	8979819	8984363	8984437
54	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8982830	8982987	8983505	8983574	8979619	8979819	8984363	8984437
55	"LOC410577"	"LOC410577"	chrNC_037652.1	-	8982830	8982987	8984363	8984437	8980641	8980844	9000703	9001277
56	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8849939	8850218	8853585	8853779	8842670	8847301	8855277	8855458
57	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8855277	8855458	8856731	8856969	8853585	8853779	8858040	8858379
58	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8855277	8855458	8856731	8856969	8853585	8853779	8862759	8862912
59	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8855277	8855458	8858040	8858379	8853585	8853779	8862759	8862912
60	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8855277	8855458	8858040	8858379	8853585	8853779	8865649	8868948
61	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8855277	8855458	8862759	8862912	8853585	8853779	8865649	8868948
62	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8856731	8856969	8858040	8858379	8853585	8853779	8862759	8862912
63	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8856731	8856969	8858040	8858379	8855277	8855458	8862759	8862912
64	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8856731	8856969	8858040	8858379	8855277	8855458	8865649	8868948
65	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8856731	8856969	8862759	8862912	8855277	8855458	8865649	8868948
66	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8858040	8858379	8862759	8862912	8853585	8853779	8865649	8868948
67	"LOC410578"	"LOC410578"	chrNC_037652.1	+	8858040	8858379	8862759	8862912	8855277	8855458	8865649	8868948
69	"LOC551328"	"LOC551328"	chrNC_037652.1	+	8833548	8833646	8837721	8837920	8833228	8833365	8838008	8838204
70	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8384235	8384443	8408811	8409002	8380549	8380797	8418128	8418315
71	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8577481	8577541	8579406	8579563	8569050	8569262	8629864	8630082
72	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8577481	8577541	8629864	8630082	8569050	8569262	8685268	8685449
73	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8579406	8579563	8629864	8630082	8577481	8577541	8685268	8685449
74	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8579406	8579563	8685268	8685449	8577481	8577541	8715133	8715200
75	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8629864	8630082	8685268	8685449	8579406	8579563	8715133	8715200
76	"LOC726948"	"LOC726948"	chrNC_037652.1	-	8685268	8685449	8715133	8715200	8629864	8630082	8759414	8761510
77	"LOC412795"	"LOC412795"	chrNC_037652.1	-	8097069	8097186	8097972	8098104	8096539	8096938	8098343	8098553
78	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8176537	8176774	8177361	8177605	8175451	8175575	8177853	8178048
79	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8176537	8176774	8177361	8177605	8175451	8175829	8177853	8178048
80	"LOC409713"	"LOC409713"	chrNC_037652.1	-	7855700	7855829	7856939	7857007	7854612	7855038	7860746	7860818
81	"LOC409713"	"LOC409713"	chrNC_037652.1	-	7855700	7855844	7856939	7857007	7854612	7855038	7860746	7860818
82	"LOC100576432"	"LOC100576432"	chrNC_037652.1	+	7757291	7757477	7757596	7757770	7756680	7756905	7757853	7757978
83	"LOC726069"	"LOC726069"	chrNC_037652.1	+	7675315	7675711	7676069	7676184	7671094	7671303	7676461	7676796
84	"LOC726069"	"LOC726069"	chrNC_037652.1	+	7675315	7675711	7676069	7676184	7671495	7671685	7676461	7676796
85	"LOC726069"	"LOC726069"	chrNC_037652.1	+	7675315	7675711	7676069	7676184	7672869	7673828	7676461	7676796
86	"LOC551799"	"LOC551799"	chrNC_037653.1	+	4621344	4621376	4623135	4623218	4611519	4611778	4623967	4624337
87	"pHCl"	"pHCl"	chrNC_037652.1	+	7476523	7476598	7502902	7503098	7474684	7475180	7515862	7516033
88	"pHCl"	"pHCl"	chrNC_037652.1	+	7502902	7503098	7515862	7516033	7476523	7476598	7517528	7517617
89	"pHCl"	"pHCl"	chrNC_037652.1	+	7515862	7516033	7526389	7526454	7502896	7503098	7526654	7526875
90	"pHCl"	"pHCl"	chrNC_037652.1	+	7515862	7516033	7517528	7517617	7502902	7503098	7522309	7522462
91	"pHCl"	"pHCl"	chrNC_037652.1	+	7515862	7516033	7517528	7517617	7502902	7503098	7526654	7526875
92	"pHCl"	"pHCl"	chrNC_037652.1	+	7517528	7517617	7526389	7526454	7502902	7503098	7526654	7526875
93	"pHCl"	"pHCl"	chrNC_037652.1	+	7517528	7517617	7522309	7522462	7515862	7516033	7526389	7526454
94	"pHCl"	"pHCl"	chrNC_037652.1	+	7517528	7517617	7526389	7526454	7515862	7516033	7526654	7526875
95	"pHCl"	"pHCl"	chrNC_037652.1	+	7517528	7517779	7522309	7522462	7515862	7516033	7526389	7526454
96	"pHCl"	"pHCl"	chrNC_037652.1	+	7531498	7531591	7534332	7534547	7527182	7527323	7547451	7547577
97	"pHCl"	"pHCl"	chrNC_037652.1	+	7531498	7531591	7534332	7534547	7527182	7527323	7547460	7547577
99	"LOC725115"	"LOC725115"	chrNC_037652.1	+	7448924	7448983	7449586	7449800	7447017	7447178	7450361	7450848
