ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
7	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5126498	5125864	5126210	5126737	5128246
16	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3301908	3301676	3301835	3301974	3302016
17	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3302042	3301676	3301908	3302630	3302768
26	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103103	1103160
28	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103242	1103346
34	"LOC551328"	"LOC551328"	chrNC_037652.1	+	8831818	8832042	8831878	8832042	8830695	8830813
39	"LOC100577551"	"LOC100577551"	chrNC_037652.1	+	8045579	8047011	8045582	8047011	8045233	8045463
44	"LOC409713"	"LOC409713"	chrNC_037652.1	-	7855700	7855844	7855700	7855829	7860746	7860818
51	"pHCl"	"pHCl"	chrNC_037652.1	+	7547451	7547577	7547460	7547577	7531498	7531591
58	"LOC725115"	"LOC725115"	chrNC_037652.1	+	7445901	7446772	7446706	7446772	7445181	7445200
82	"LOC551839"	"LOC551839"	chrNC_037652.1	+	2548220	2548340	2548260	2548340	2547738	2547943
83	"LOC551839"	"LOC551839"	chrNC_037652.1	+	2548220	2548340	2548260	2548340	2547740	2547960
93	"LOC724789"	"LOC724789"	chrNC_037652.1	-	815567	815789	815567	815745	815989	816088
94	"LOC724789"	"LOC724789"	chrNC_037652.1	-	815567	815789	815567	815745	816196	816330
95	"LOC724789"	"LOC724789"	chrNC_037652.1	-	816196	816388	816196	816330	816532	816577
98	"LOC411466"	"LOC411466"	chrNC_037652.1	+	646523	646698	646535	646698	644649	644819
102	"LOC408501"	"LOC408501"	chrNC_037651.1	+	10641031	10641086	10641043	10641086	10640837	10640980
104	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10608054	10608102
105	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10606817	10607176	10606817	10607158	10608054	10608102
106	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10610668	10610755
