ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC410658"	NA	chrNC_037653.1	-	6721433	6724151	6721433	6722460	6723911	6724151	0	82,141,91,178	0,6,1,0	133,304,271,537,325	0,4,1,2,2	1600	149	0.388944985942	0.5661053875505965	1.0,0.686,0.894,1.0	1.0,0.876,0.962,0.962,0.938	-0.053
1	"LOC408562"	NA	chrNC_037653.1	+	6573547	6577971	6573547	6574271	6577035	6577971	1	911,3169,941,2055	0,8,2,7	1196,1891,1208,1569,1845	0,2,0,0,0	2913	149	0.000244283362777	0.0006866532346253209	1.0,0.953,0.96,0.938	1.0,0.98,1.0,1.0,1.0	-0.033
2	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126401	5128246	2	2,21,50,36	0,12,19,7	5,24,33,35,25	4,12,2,18,26	340	149	0.466536160969	0.6613756848418917	1.0,0.434,0.536,0.693	0.354,0.467,0.879,0.46,0.296	0.175
3	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246	3	20,57,103,110	0,2,0,0	10,38,37,52,25	0,1,0,1,0	676	149	1	1.0	1.0,0.863,1.0,1.0	1.0,0.893,1.0,0.92,1.0	0.003
4	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126498	5126737	5128246	4	18,36,62,89	2,14,42,2	6,14,6,15,2	10,22,10,40,29	388	149	3.82228571016e-09	1.983948297178286e-08	0.776,0.497,0.362,0.945	0.187,0.196,0.187,0.126,0.026	0.501
5	"LOC102655781"	NA	chrNC_037653.1	-	4737881	4739419	4737881	4739082	4739159	4739419	5	0,0,0,0	0,2,0,0	0,0,0,2,0	0,0,0,0,0	226	149	1	1.0	NA,0.0,NA,NA	NA,NA,NA,1.0,NA	-1.0
6	"LOC100577317"	NA	chrNC_037653.1	+	4687311	4687703	4687311	4687424	4687497	4687703	6	1,2,20,7	0,0,29,12	8,11,2,0,2	1,10,7,0,3	222	149	1	1.0	1.0,1.0,0.316,0.281	0.843,0.425,0.161,NA,0.309	0.215
7	"LOC102653761"	NA	chrNC_037653.1	-	4604874	4605932	4604874	4605155	4605646	4605932	7	0,2,50,41	0,0,3,0	11,18,30,14,19	0,0,1,0,4	640	149	1	1.0	NA,1.0,0.795,1.0	1.0,1.0,0.875,1.0,0.525	0.052
8	"LOC409777"	NA	chrNC_037653.1	+	4603960	4604315	4603960	4604130	4604193	4604315	8	0,7,36,18	6,5,101,25	8,12,18,27,14	14,20,22,19,21	212	149	0.198386450748	0.31288924145303537	0.0,0.496,0.2,0.336	0.287,0.297,0.365,0.5,0.319	-0.096
10	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3099629	3099933	10	298,614,169,229	24,48,17,32	872,946,889,1164,1131	45,22,25,28,36	250	149	1.13353770814e-13	8.424246149131364e-13	0.881,0.884,0.856,0.81	0.92,0.962,0.955,0.961,0.949	-0.092
