ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC410658"	NA	chrNC_037653.1	-	6721433	6724151	6721433	6722460	6723911	6724151
1	"LOC408562"	NA	chrNC_037653.1	+	6573547	6577971	6573547	6574271	6577035	6577971
2	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126401	5128246
3	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246
4	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126498	5126737	5128246
5	"LOC102655781"	NA	chrNC_037653.1	-	4737881	4739419	4737881	4739082	4739159	4739419
6	"LOC100577317"	NA	chrNC_037653.1	+	4687311	4687703	4687311	4687424	4687497	4687703
7	"LOC102653761"	NA	chrNC_037653.1	-	4604874	4605932	4604874	4605155	4605646	4605932
8	"LOC409777"	NA	chrNC_037653.1	+	4603960	4604315	4603960	4604130	4604193	4604315
9	"LOC100577695"	NA	chrNC_037653.1	-	3301676	3302042	3301676	3301835	3301908	3302042
10	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3099629	3099933
11	"LOC102655025"	NA	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906092	2906131
12	"LOC552100"	NA	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878838	2879070
13	"LOC552100"	NA	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878879	2879070
14	"LOC725251"	NA	chrNC_037653.1	+	2823341	2825809	2823341	2823729	2823804	2825809
15	"LOC413534"	NA	chrNC_037653.1	+	1249935	1250292	1249935	1250014	1250191	1250292
16	"LOC413532"	NA	chrNC_037653.1	+	1184460	1185296	1184460	1184706	1184795	1185296
17	"LOC107965756"	NA	chrNC_037653.1	-	323540	324093	323540	323981	324062	324093
18	"LOC411646"	NA	chrNC_037652.1	+	9394320	9394656	9394320	9394420	9394495	9394656
19	"LOC412789"	NA	chrNC_037652.1	+	7886779	7887198	7886779	7886850	7886982	7887198
20	"LOC726548"	NA	chrNC_037652.1	-	7819715	7820773	7819715	7820406	7820472	7820773
21	"LOC408517"	NA	chrNC_037652.1	-	7774331	7777053	7774331	7774545	7774833	7777053
22	"LOC552633"	NA	chrNC_037652.1	+	7665740	7666565	7665740	7666046	7666142	7666565
23	"LOC725115"	NA	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7446706	7446772
24	"LOC100577783"	NA	chrNC_037652.1	+	6874316	6877013	6874316	6874475	6875255	6877013
25	"Adar"	NA	chrNC_037652.1	-	6313877	6314525	6313877	6314004	6314222	6314525
26	"Adar"	NA	chrNC_037652.1	-	6320141	6320517	6320141	6320250	6320326	6320517
27	"LOC412163"	NA	chrNC_037652.1	+	5169863	5170227	5169863	5169950	5170037	5170227
28	"LOC410623"	NA	chrNC_037652.1	-	5091216	5091668	5091216	5091440	5091518	5091668
29	"LOC410624"	NA	chrNC_037652.1	+	5072805	5074655	5072805	5074010	5074055	5074655
30	"LOC413032"	NA	chrNC_037652.1	-	3839160	3840221	3839160	3839687	3839768	3840221
31	"LOC413032"	NA	chrNC_037652.1	-	3840798	3841233	3840798	3841027	3841102	3841233
32	"LOC409440"	NA	chrNC_037652.1	+	3703902	3704188	3703902	3703953	3704024	3704188
33	"LOC100577929"	NA	chrNW_020555870.1	-	33315	33827	33315	33531	33629	33827
34	"Tpx-3"	NA	chrNC_037652.1	+	4366332	4366905	4366332	4366493	4366592	4366905
35	"LOC100578556"	NA	chrNC_037652.1	+	1821600	1822048	1821600	1821844	1821922	1822048
36	"LOC100578556"	NA	chrNC_037652.1	+	1821600	1822911	1821600	1822048	1822117	1822911
37	"LOC409573"	NA	chrNC_037652.1	+	1799719	1800350	1799719	1799917	1800007	1800350
38	"LOC411466"	NA	chrNC_037652.1	+	628194	628795	628194	628442	628693	628795
39	"LOC411466"	NA	chrNC_037652.1	+	646523	646923	646523	646698	646761	646923
40	"LOC411466"	NA	chrNC_037652.1	+	646523	646923	646523	646698	646833	646923
41	"LOC411466"	NA	chrNC_037652.1	+	658778	659504	658778	658909	658995	659504
42	"Metrn"	NA	chrNC_037651.1	+	10630609	10631335	10630609	10631072	10631142	10631335
43	"LOC551446"	NA	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10602751	10602833
44	"LOC551446"	NA	chrNC_037651.1	-	10611482	10611766	10611482	10611582	10611696	10611766
45	"LOC727311"	NA	chrNC_037651.1	+	10455948	10456170	10455948	10456021	10456087	10456170
46	"LOC409253"	NA	chrNC_037651.1	+	10450746	10451211	10450746	10450957	10451056	10451211
47	"LOC727238"	NA	chrNC_037651.1	+	10041051	10044632	10041051	10044303	10044387	10044632
48	"LOC550799"	NA	chrNC_037651.1	+	9073240	9076239	9073240	9073410	9074338	9076239
49	"LOC412301"	NA	chrNC_037651.1	+	9058811	9059051	9058811	9058839	9058917	9059051
50	"LOC412301"	NA	chrNC_037651.1	+	9058811	9059051	9058811	9058839	9058920	9059051
51	"LOC726373"	NA	chrNC_037651.1	-	9030006	9031083	9030006	9030249	9030330	9031083
52	"LOC100576925"	NA	chrNC_037651.1	-	8628320	8628833	8628320	8628508	8628602	8628833
53	"LOC100576925"	NA	chrNC_037651.1	-	8628320	8628833	8628320	8628508	8628615	8628833
54	"LOC412941"	NA	chrNC_037651.1	-	8253349	8254325	8253349	8253748	8253979	8254325
55	"LOC725056"	NA	chrNC_037651.1	+	8245928	8246303	8245928	8246048	8246132	8246303
