ID	GeneID	geneSymbol	PValue	FDR	IncLevelDifference	PSI_1	PSI_2	Chr	Strand	exon_long	exon_short	exon_flanking
0	LOC113219365	NA	0.00131863688209	0.00498382443624567	0.04	1,0.902,1,1,1	0.871,1,0.95	chrNW_020555864.1	+	68489-68815	68538-68815	67928-68290
2	LOC100577816	NA	0.00839136349695	0.0268882141424299	-0.06	1,0.925,1,1,0.746	0.991,1,0.992	chrNW_020555859.1	-	437957-438140	437957-438137	438277-438508
3	LOC100577594	NA	1.53752862149e-05	8.07454855924727e-05	-0.06	0.799,0.784,0.768,0.799,0.781	0.842,0.841,0.856	chrNW_020555859.1	-	427132-427291	427132-427282	427679-428430
5	LOC410658	NA	1	1	-0.315	NA,NA,0.485,0,NA	0.544,0.447,0.68	chrNC_037653.1	-	6689119-6689330	6689119-6689321	6690225-6690399
6	LOC726021	NA	0.289581523227	0.560480367536129	-0.018	0.213,0.1,0.182,0.207,0.214	0.259,0.137,0.209	chrNC_037653.1	-	5188073-5188232	5188073-5188226	5188307-5190002
7	LOC113219299	NA	1	1	-0.012	1,1,0.952,NA,1	1,1,1	chrNC_037653.1	-	5125865-5126498	5125865-5126210	5126738-5128246
8	LOC409655	NA	1	1	-0.456	0.778,0.092,0.162,0.083,0.142	0.875,0.539,NA	chrNC_037653.1	+	5024261-5025993	5024282-5025993	5023388-5023474
9	LOC409655	NA	0.000440168689349	0.00184042657567526	-0.035	0.061,0.096,0.088,0.097,0.095	0.116,0.129,0.122	chrNC_037653.1	+	5045932-5046043	5045938-5046043	5045578-5045716
10	LOC409655	NA	1	1	0.408	NA,1,0.822,0.711,0.513	0.368,0.235,0.458	chrNC_037653.1	+	5048246-5048356	5048273-5048356	5047424-5047456
11	LOC725662	NA	0.00838049128896	0.0268882141424299	0.026	0.957,0.948,0.958,0.953,0.972	0.918,0.922,0.956	chrNC_037653.1	-	4922539-4922753	4922539-4922732	4922888-4929705
12	LOC412608	NA	0.000867426249243	0.00342405098385395	0.249	1,0.914,0.658,0.539,1	0.616,0.543,0.561	chrNC_037653.1	-	4859093-4859222	4859093-4859216	4859322-4859383
13	LOC412357	NA	2.69547155574e-06	1.57399798875328e-05	0.031	1,0.971,0.975,0.975,0.993	0.945,0.944,0.965	chrNC_037653.1	-	4935311-4935588	4935311-4935543	4935664-4935939
14	LOC413119	NA	1.65268909669e-11	1.91616127152464e-10	-0.088	0,0,0.033,0.071,0	0.113,0.088,0.125	chrNC_037653.1	-	4636548-4636702	4636548-4636681	4637156-4637293
16	LOC100577695	NA	0.734719522773	1	0.043	1,0.9,0.84,0.911,0.963	1,0.935,0.705	chrNC_037653.1	-	3301677-3301908	3301677-3301835	3301975-3302016
17	LOC100577695	NA	0.0109699008064	0.03428094002	0.048	1,1,1,0.921,1	1,0.948,0.86	chrNC_037653.1	-	3301677-3302042	3301677-3301908	3302631-3302768
18	LOC107965657	NA	1	1	0.192	NA,1,1,NA,NA	0.756,0.806,0.862	chrNC_037653.1	+	2989650-2989786	2989653-2989786	2988994-2989585
20	LOC552100	NA	0.0891920559232	0.214275209425105	-0.021	0.926,0.923,0.878,0.94,0.935	0.946,0.956,0.922	chrNC_037653.1	-	2859712-2859989	2859712-2859959	2860711-2861260
