ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC100578661"	NA	chrNW_020555859.1	-	252113	252363	254154	254542	250787	251528	256086	256307
1	"LOC100578661"	NA	chrNW_020555859.1	-	254154	254542	256086	256307	252113	252363	261627	262033
2	"LOC100578661"	NA	chrNW_020555859.1	-	256086	256307	261627	262033	254154	254542	285653	285731
3	"LOC413614"	NA	chrNC_037653.1	+	7141182	7141309	7141725	7141844	7140806	7140919	7141930	7141999
4	"LOC408551"	NA	chrNC_037653.1	+	7011976	7012162	7021663	7021708	6992890	6993491	7022058	7022280
5	"LOC408552"	NA	chrNC_037653.1	-	6985468	6985582	6985997	6986136	6984314	6984694	6990904	6990947
6	"LOC408552"	NA	chrNC_037653.1	-	6985468	6985582	6990904	6990947	6984314	6984694	6991862	6992150
7	"LOC408552"	NA	chrNC_037653.1	-	6985997	6986136	6990904	6990947	6985468	6985582	6991862	6992150
8	"LOC102655737"	NA	chrNC_037653.1	-	6911184	6911375	6914768	6914780	6903653	6903843	6916247	6916313
9	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6916247	6916313	6911184	6911375	6918057	6918249
10	"LOC102655737"	NA	chrNC_037653.1	-	6914768	6914780	6916247	6916313	6913009	6913200	6918057	6918249
11	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689321	6690224	6690399	6688838	6689031	6690797	6691937
12	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689321	6690224	6690399	6688838	6689031	6715112	6715157
13	"LOC410658"	NA	chrNC_037653.1	-	6690224	6690399	6715112	6715157	6687788	6687955	6721433	6724150
14	"LOC408562"	NA	chrNC_037653.1	+	6539831	6539935	6573547	6574271	6456566	6461101	6577035	6577971
15	"LOC408562"	NA	chrNC_037653.1	+	6539831	6539935	6600321	6600463	6456566	6461101	6601192	6601303
16	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6601192	6601303	6539831	6539935	6603580	6603628
17	"LOC408562"	NA	chrNC_037653.1	+	6601192	6601303	6603580	6603628	6600321	6600463	6603705	6603788
