ID	GeneID	geneSymbol	PValue	FDR	IncLevelDifference	PSI_1	PSI_2	Chr	Strand	exon_long	exon_short	exon_flanking
0	LOC113219365	NA	0.922680317577	1	0.038	1,0.954,1,1	1,0.751,1,1,1	chrNW_020555864.1	+	68489-68815	68538-68815	67928-68290
1	LOC113219365	NA	1	1	-0.062	1,0.859,0.774,0.864	1,1,1,0.746,NA	chrNW_020555864.1	+	68895-68999	68898-68999	68489-68721
2	LOC100577816	NA	0.620210772603	0.853263496727752	-0.004	0.898,0.968,0.987,0.975	0.926,0.995,1,0.986,0.9	chrNW_020555859.1	-	437957-438140	437957-438137	438277-438508
3	LOC100577594	NA	0.132174102569	0.238440183753439	0.026	0.776,0.718,0.795,0.821	0.744,0.78,0.697,0.78,0.758	chrNW_020555859.1	-	427132-427291	427132-427282	427679-428430
4	LOC102655737	NA	0.0303221878177	0.064336867690089	0.065	1,0.943,1,0.949	1,1,1,0.539,1	chrNC_037653.1	-	6923807-6923854	6923807-6923851	6924025-6925478
5	LOC410658	NA	7.00309372714e-08	3.86960311875916e-07	-0.364	0.3,0.476,0.406,0.398	0.525,0.879,0.929,0.731,0.733	chrNC_037653.1	-	6689119-6689330	6689119-6689321	6690225-6690399
6	LOC408562	NA	1	1	-0.003	1,1,1,0.988	1,1,1,1,1	chrNC_037653.1	+	6573548-6577971	6577036-6577971	6539832-6539935
7	LOC726021	NA	6.76328129314e-05	0.000250677449301293	0.104	0.233,0.229,0.329,0.418	0.186,0.176,0.164,0.192,0.272	chrNC_037653.1	-	5188073-5188232	5188073-5188226	5188307-5190002
8	LOC113219299	NA	1	1	-0.021	1,0.846,1,1	1,0.946,1,0.968,1	chrNC_037653.1	-	5125865-5126498	5125865-5126210	5126738-5128246
10	LOC409655	NA	0.0870876825344	0.166297468698197	-0.014	0.114,0.108,0.101,0.113	0.113,0.105,0.096,0.161,0.141	chrNC_037653.1	+	5045932-5046043	5045938-5046043	5045578-5045716
11	LOC409655	NA	0.872149582293	1	-0.023	1,1,0.952,0.957	1,1,1,1,1	chrNC_037653.1	+	5048246-5048356	5048273-5048356	5045932-5046043
12	LOC409655	NA	0.42143145491	0.631913313633085	-0.015	1,0.98,0.878,0.958	0.986,0.966,0.986,0.942,0.965	chrNC_037653.1	+	5048246-5048356	5048273-5048356	5047424-5047456
