ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	67927	68290	66886	67095	68488	68721
1	"LOC551434"	"LOC551434"	chrNW_020555859.1	-	462329	462663	460337	460460	463080	463341
2	"LOC551434"	"LOC551434"	chrNW_020555859.1	-	465717	465881	463950	464130	466398	466478
3	"LOC409880"	"LOC409880"	chrNW_020555859.1	+	424022	424179	423682	423936	424279	424516
4	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	209053	209429	207279	207445	210117	210544
5	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	210117	210544	207279	207445	213956	214054
6	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	222682	222989	222388	222577	245110	245274
7	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	261627	262033	252113	252363	285653	285731
8	"LOC100578661"	"LOC100578661"	chrNW_020555859.1	-	261627	262033	256086	256307	285653	285731
9	"LOC725756"	"LOC725756"	chrNC_037653.1	-	7178428	7178836	7177690	7178254	7178967	7179089
10	"LOC413614"	"LOC413614"	chrNC_037653.1	+	7140806	7140919	7139620	7139981	7141182	7141309
11	"LOC413614"	"LOC413614"	chrNC_037653.1	+	7141452	7141570	7141182	7141309	7141725	7141844
12	"LOC113219301"	"LOC113219301"	chrNC_037653.1	-	7136424	7136649	7133720	7133782	7137856	7137951
13	"LOC113219301"	"LOC113219301"	chrNC_037653.1	-	7137856	7137951	7136424	7136649	7138389	7138581
14	"LOC408551"	"LOC408551"	chrNC_037653.1	+	7021663	7021708	7011976	7012162	7022058	7022280
15	"LOC408551"	"LOC408551"	chrNC_037653.1	+	7022058	7022280	7011976	7012162	7023000	7023063
16	"LOC408552"	"LOC408552"	chrNC_037653.1	-	6985997	6986136	6985468	6985582	6990904	6990947
17	"LOC408552"	"LOC408552"	chrNC_037653.1	-	6990904	6990947	6985997	6986136	6991862	6992150
18	"LOC100578001"	"LOC100578001"	chrNC_037653.1	+	6962602	6962735	6962023	6962387	6964512	6965101
19	"LOC102655737"	"LOC102655737"	chrNC_037653.1	-	6911184	6911375	6903653	6903843	6913009	6913200
20	"LOC102655737"	"LOC102655737"	chrNC_037653.1	-	6912043	6912278	6911846	6911947	6913009	6913200
21	"LOC102655737"	"LOC102655737"	chrNC_037653.1	-	6913009	6913200	6903653	6903843	6918057	6918249
22	"LOC102655737"	"LOC102655737"	chrNC_037653.1	-	6913009	6913200	6911184	6911375	6918057	6918249
23	"LOC102655737"	"LOC102655737"	chrNC_037653.1	-	6913009	6913200	6911476	6911947	6918057	6918249
