ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"LOC408562"	NA	chrNC_037653.1	+	6573547	6577971	6573547	6574271	6577035	6577971	1	1,45,79,119,70	0,0,0,1,0	109,152,111	0,0,4	298	149	0.599886670279	0.9919973179924495	1.0,1.0,1.0,0.983,1.0	1.0,1.0,0.933	0.019
2	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126401	5128246	2	35,0,7,6,0	9,1,3,2,0	20,62,73	10,8,34	298	149	1	1.0	0.66,0.0,0.538,0.6,NA	0.5,0.795,0.518	-0.155
3	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246	3	19,6,4,4,0	0,0,1,0,0	10,34,35	0,0,0	298	149	1	1.0	1.0,1.0,0.667,1.0,NA	1.0,1.0,1.0	-0.083
4	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126498	5126737	5128246	4	12,6,3,10,4	0,2,40,0,2	2,30,22	22,52,96	298	149	0.000680440923926	0.002254414591370484	1.0,0.6,0.036,1.0,0.5	0.043,0.224,0.103	0.504
5	"LOC102655781"	NA	chrNC_037653.1	-	4737881	4739419	4737881	4739082	4739159	4739419	5	0,0,26,13,0	0,0,26,64,0	0,0,0	0,0,14	226	149	1	1.0	NA,NA,0.397,0.118,NA	NA,NA,0.0	0.258
6	"LOC100577317"	NA	chrNC_037653.1	+	4687311	4687703	4687311	4687424	4687497	4687703	6	1,2,0,0,3	14,26,6,6,1	4,6,26	18,4,19	222	149	8.25640430532e-05	0.00031502919705954585	0.046,0.049,0.0,0.0,0.668	0.13,0.502,0.479	-0.218
7	"LOC102653761"	NA	chrNC_037653.1	-	4604874	4605932	4604874	4605155	4605646	4605932	7	0,4,22,4,1	2,19,21,3,26	22,16,24	8,8,20	298	149	5.01467803183e-05	0.00020316958022820262	0.0,0.095,0.344,0.4,0.019	0.579,0.5,0.375	-0.313
8	"LOC409777"	NA	chrNC_037653.1	+	4603960	4604315	4603960	4604130	4604193	4604315	8	10,10,12,6,10	0,6,17,4,0	73,35,75	20,36,11	212	149	0.767864380923	1.0	1.0,0.539,0.332,0.513,1.0	0.72,0.406,0.827	0.026
9	"LOC100577695"	NA	chrNC_037653.1	-	3301676	3302042	3301676	3301835	3301908	3302042	9	10,36,56,57,56	2,12,17,29,33	24,36,30	0,16,35	222	149	0.632273878763	1.0	0.77,0.668,0.689,0.569,0.532	1.0,0.602,0.365	-0.01
10	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3099629	3099933	10	33,340,206,242,212	0,25,13,44,30	511,613,1033	45,78,67	250	149	0.606793301006	1.0	1.0,0.89,0.904,0.766,0.808	0.871,0.824,0.902	0.008
11	"LOC102655025"	NA	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906092	2906131	11	0,2,7,0,0	0,0,10,5,0	0,16,17	3,10,9	236	149	1	1.0	NA,1.0,0.306,0.0,NA	0.0,0.503,0.544	0.086
12	"LOC552100"	NA	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878838	2879070	12	0,73,79,100,78	0,0,8,0,5	9,24,50	0,0,2	298	149	1	1.0	NA,1.0,0.832,1.0,0.886	1.0,1.0,0.926	-0.046
13	"LOC552100"	NA	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878879	2879070	13	2,102,142,152,125	0,6,2,6,9	11,20,64	0,4,2	298	149	0.899881141756	1.0	1.0,0.895,0.973,0.927,0.874	1.0,0.714,0.941	0.049
14	"LOC725251"	NA	chrNC_037653.1	+	2823341	2825809	2823341	2823729	2823804	2825809	14	0,17,11,22,3	0,0,1,0,2	86,37,20	35,4,0	224	149	1	1.0	NA,1.0,0.88,1.0,0.499	0.62,0.86,1.0	0.018
15	"LOC413534"	NA	chrNC_037653.1	+	1249935	1250292	1249935	1250014	1250191	1250292	15	13,25,15,19,20	0,10,0,4,0	77,27,38	18,0,8	298	149	0.289557894943	0.543504839096639	1.0,0.556,1.0,0.704,1.0	0.681,1.0,0.704	0.057
16	"LOC413532"	NA	chrNC_037653.1	+	1184460	1185296	1184460	1184706	1184795	1185296	16	2,7,1,15,0	0,0,0,0,0	147,8,21	1871,67,173	238	149	1	1.0	1.0,1.0,1.0,1.0,NA	0.047,0.07,0.071	0.937
17	"LOC107965756"	NA	chrNC_037653.1	-	323540	324093	323540	323981	324062	324093	17	0,1,0,0,0	0,0,0,2,0	83,7,56	15,1,18	230	149	1	1.0	NA,1.0,NA,0.0,NA	0.782,0.819,0.668	-0.256
18	"LOC411646"	NA	chrNC_037652.1	+	9394320	9394656	9394320	9394420	9394495	9394656	18	17,242,257,254,236	2,42,35,42,52	320,227,270	23,35,62	224	149	0.343292837631	0.6328824392761604	0.85,0.793,0.83,0.801,0.751	0.902,0.812,0.743	-0.014
19	"LOC412789"	NA	chrNC_037652.1	+	7886779	7887198	7886779	7886850	7886982	7887198	19	587,2668,963,1657,938	25,297,111,204,126	2531,1214,2276	159,175,221	281	149	0.378173426382	0.6849794940887978	0.926,0.826,0.821,0.812,0.798	0.894,0.786,0.845	-0.005
20	"LOC726548"	NA	chrNC_037652.1	-	7819715	7820773	7819715	7820406	7820472	7820773	20	276,1260,1382,1336,1181	15,58,140,41,225	1767,2161,1850	175,124,98	215	149	0.482267571339	0.8376699793220317	0.927,0.938,0.872,0.958,0.784	0.875,0.924,0.929	-0.014
21	"LOC408517"	NA	chrNC_037652.1	-	7774331	7777053	7774331	7774545	7774833	7777053	21	2,25,22,27,29	1,49,65,39,7	66,48,38	18,18,2	298	149	0.000140138369166	0.0005177334194188334	0.5,0.203,0.145,0.257,0.674	0.647,0.571,0.905	-0.352
22	"LOC552633"	NA	chrNC_037652.1	+	7665740	7666565	7665740	7666046	7666142	7666565	22	110,650,335,648,379	2,49,53,28,34	3527,2827,3695	654,477,658	245	149	2.90730883812e-10	2.70670452828972e-09	0.971,0.89,0.794,0.934,0.871	0.766,0.783,0.774	0.118
23	"LOC725115"	NA	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7446706	7446772	23	375,2018,1824,2390,1775	15,82,99,62,84	2646,2079,3208	322,244,366	298	149	0	0.0	0.926,0.925,0.902,0.951,0.914	0.804,0.81,0.814	0.114
