ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246
83	"LOC102653850"	NA	chrNC_037653.1	-	4501410	4502685	4501410	4501605	4502508	4502685
96	"LOC409729"	NA	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13715960	13716548
98	"LOC409729"	NA	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13716041	13716548
132	"Cyp314a1"	NA	chrNC_037642.1	-	13662309	13663045	13662309	13662476	13662846	13663045
166	"LOC408811"	NA	chrNC_037641.1	+	6768176	6768690	6768176	6768291	6768495	6768690
344	"LOC551259"	NA	chrNC_037644.1	+	9007078	9008530	9007078	9007153	9007483	9008530
369	"LOC726231"	NA	chrNC_037639.1	-	14756223	14759022	14756223	14756665	14758210	14759022
440	"LOC100578866"	NA	chrNC_037647.1	+	11614680	11615872	11614680	11614865	11615496	11615872
477	"LOC100578458"	NA	chrNC_037638.1	+	5878707	5881090	5878707	5878905	5880937	5881090
505	"LOC408577"	NA	chrNC_037638.1	+	18905286	18909802	18905286	18906260	18909692	18909802
556	"LOC107965445"	NA	chrNC_037638.1	-	25994609	25998221	25994609	25996761	25997025	25998221
626	"LOC551780"	NA	chrNC_037645.1	+	2814752	2815131	2814752	2814905	2814988	2815131
682	"LOC100578882"	NA	chrNC_037638.1	+	22358152	22360650	22358152	22358403	22360402	22360650
695	"LOC100577772"	NA	chrNC_037647.1	-	2146211	2148096	2146211	2146277	2148017	2148096
794	"LOC102655699"	NA	chrNC_037645.1	-	7633291	7633741	7633291	7633302	7633394	7633741
821	"LOC411764"	NA	chrNC_037639.1	-	15048597	15049118	15048597	15048647	15048719	15049118
853	"LOC100576234"	NA	chrNC_037640.1	-	5358259	5358824	5358259	5358478	5358757	5358824
863	"LOC411414"	NA	chrNC_037647.1	-	4485535	4486167	4485535	4485657	4485762	4486167
869	"LOC100578317"	NA	chrNC_037648.1	-	13313138	13315321	13313138	13313350	13314378	13315321
947	"LOC408543"	NA	chrNC_037652.1	+	3671178	3673755	3671178	3671449	3673089	3673755
951	"LOC551883"	NA	chrNC_037648.1	-	6385388	6386752	6385388	6386299	6386440	6386752
958	"LOC551736"	NA	chrNC_037648.1	-	9478818	9479183	9478818	9478977	9479030	9479183
1029	"LOC102655405"	NA	chrNC_037649.1	+	5574298	5575740	5574298	5574451	5575493	5575740
1046	"LOC107965314"	NA	chrNC_037649.1	+	9146525	9147639	9146525	9146993	9147425	9147639
1049	"LOC107965314"	NA	chrNC_037649.1	+	9146525	9147639	9146525	9146993	9147493	9147639
1050	"LOC107965314"	NA	chrNC_037649.1	+	9146525	9147639	9146525	9147296	9147493	9147639
