ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68809	68488	68721	68894	68999	0	2,1,0,6	11,62,7,52	0,0,0,0,0	2,1,1,3,0	237	149	1	1.0	0.103,0.01,0.0,0.068	0.0,0.0,0.0,0.0,NA	0.045
1	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68815	68488	68721	68894	68999	1	2,1,0,24	11,62,7,52	0,0,0,2,0	2,1,1,3,0	243	149	1	1.0	0.1,0.01,0.0,0.221	0.0,0.0,0.0,0.29,NA	0.01
2	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68815	68488	68809	68894	68999	2	0,0,0,20	0,0,0,2	0,0,0,2,0	0,0,0,0,0	155	149	1	1.0	NA,NA,NA,0.906	NA,NA,NA,1.0,NA	-0.094
3	"LOC102653753"	NA	chrNW_020555859.1	-	333193	333327	333211	333327	332941	333099	3	80,231,133,209	4,2,3,7	67,94,52,74,91	0,0,0,0,0	167	149	0.0331365583671	0.06924570695598894	0.947,0.99,0.975,0.964	1.0,1.0,1.0,1.0,1.0	-0.031
6	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165173	5165311	6	5,14,18,20	2,2,0,2	31,33,43,54,46	0,0,0,0,0	158	149	0.105787925103	0.19426259664694778	0.702,0.868,1.0,0.904	1.0,1.0,1.0,1.0,1.0	-0.132
7	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165508	5165517	7	281,756,621,824	135,222,180,211	628,1006,1091,1634,1205	57,77,76,146,79	158	149	0	0.0	0.662,0.763,0.765,0.786	0.912,0.925,0.931,0.913,0.935	-0.179
8	"LOC113219299"	NA	chrNC_037653.1	-	5126401	5128246	5126737	5128246	5125864	5126210	8	18,48,72,81	0,2,0,0	9,26,6,35,28	0,1,0,1,0	485	149	1	1.0	1.0,0.881,1.0,1.0	1.0,0.889,1.0,0.915,1.0	0.009
9	"LOC102655781"	NA	chrNC_037653.1	-	4739490	4739865	4739497	4739865	4737881	4739419	9	3,1,28,0	0,0,11,0	2,0,0,0,0	0,0,0,0,1	156	149	1	1.0	1.0,1.0,0.709,NA	1.0,NA,NA,NA,0.0	0.403
10	"LOC102655781"	NA	chrNC_037653.1	-	4739967	4740724	4739972	4740724	4739490	4739865	10	0,0,11,0	0,0,12,0	1,0,0,0,0	1,0,0,0,0	154	149	1	1.0	NA,NA,0.47,NA	0.492,NA,NA,NA,NA	-0.022
11	"LOC102653761"	NA	chrNC_037653.1	-	4606034	4606248	4606114	4606248	4604874	4605932	11	0,0,16,6	0,0,3,0	0,0,1,0,2	3,2,3,0,0	229	149	1	1.0	NA,NA,0.776,1.0	0.0,0.0,0.178,NA,1.0	0.594
12	"LOC107965722"	NA	chrNC_037653.1	+	4242201	4242415	4242201	4242406	4244574	4244947	12	0,0,6,0	6,0,15,0	10,20,9,16,7	25,32,37,24,35	158	149	1	1.0	0.0,NA,0.274,NA	0.274,0.371,0.187,0.386,0.159	-0.138
16	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3109363	3109543	16	1175,2047,502,1172	2,0,0,2	2497,2621,2753,3808,3325	6,7,32,9,12	554	149	0.011030969742	0.025140613840418123	0.994,1.0,1.0,0.994	0.991,0.99,0.959,0.991,0.987	0.013
17	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3111348	3111773	17	773,1393,351,691	0,0,0,0	1786,1822,1925,2687,2406	0,0,2,0,0	554	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.996,1.0,1.0	0.001
18	"LOC102655025"	NA	chrNC_037653.1	+	2900473	2900981	2900473	2900794	2902670	2902860	18	0,4,51,31	1,0,12,2	6,14,16,15,20	4,0,0,2,6	336	149	0.618222966789	0.867550681993695	0.0,1.0,0.653,0.873	0.399,1.0,1.0,0.769,0.596	-0.121
19	"LOC102655025"	NA	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906833	2907323	19	10,7,51,46	0,6,2,5	4,0,0,26,5	2,2,0,0,0	275	149	1	1.0	1.0,0.387,0.933,0.833	0.52,0.0,NA,1.0,1.0	0.158
20	"LOC552100"	NA	chrNC_037653.1	-	2859016	2859246	2859037	2859246	2858187	2858325	20	85,153,337,143	19,44,92,51	4,4,10,5,0	17,28,16,15,22	170	149	0	0.0	0.797,0.753,0.763,0.711	0.171,0.111,0.354,0.226,0.0	0.584
21	"LOC552100"	NA	chrNC_037653.1	-	2859016	2859246	2859091	2859246	2858187	2858325	21	109,197,505,212	0,6,12,0	8,10,15,8,5	14,7,8,1,0	224	149	1.11357878474e-09	6.502242349946227e-09	1.0,0.956,0.966,1.0	0.275,0.487,0.555,0.842,1.0	0.349
22	"LOC552100"	NA	chrNC_037653.1	-	2859037	2859246	2859091	2859246	2858187	2858325	22	43,88,260,120	0,6,12,0	21,34,21,18,27	14,7,8,1,0	203	149	2.21604598691e-05	7.846575630450927e-05	1.0,0.915,0.941,1.0	0.524,0.781,0.658,0.93,1.0	0.185
23	"LOC552100"	NA	chrNC_037653.1	-	2859711	2859989	2859717	2859989	2859016	2859246	23	42,78,152,67	2,9,12,5	16,21,8,19,11	0,7,0,0,0	155	149	0.133235225604	0.237398996990058	0.953,0.893,0.924,0.928	1.0,0.743,1.0,1.0,1.0	-0.024
