ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"LOC408562"	"LOC408562"	chrNC_037653.1	+	6573547	6577971	6573547	6574271	6577035	6577971	1	90,659,660,970,574	0,0,0,1,0	1135,923,791	0,0,4	2913	149	0.662140599364	1.0	1.0,1.0,1.0,0.98,1.0	1.0,1.0,0.91	0.026
2	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126401	5128246	2	41,0,7,6,0	9,1,3,2,0	20,62,76	10,8,34	340	149	1	1.0	0.666,0.0,0.506,0.568,NA	0.467,0.773,0.495	-0.143
3	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246	3	49,6,6,12,4	0,0,1,0,0	24,81,70	0,0,0	676	149	1	1.0	1.0,1.0,0.569,1.0,1.0	1.0,1.0,1.0	-0.086
4	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126498	5126737	5128246	4	16,6,3,10,4	0,2,40,0,2	2,30,24	22,52,96	388	149	0.000914061278321	0.0028945273813498337	1.0,0.535,0.028,1.0,0.434	0.034,0.181,0.088	0.498
5	"LOC102655781"	"LOC102655781"	chrNC_037653.1	-	4737881	4739419	4737881	4739082	4739159	4739419	5	0,0,26,13,0	0,0,26,64,0	0,0,0	0,0,14	226	149	1	1.0	NA,NA,0.397,0.118,NA	NA,NA,0.0	0.258
6	"LOC100577317"	"LOC100577317"	chrNC_037653.1	+	4687311	4687703	4687311	4687424	4687497	4687703	6	1,2,0,0,3	14,26,6,6,1	4,6,26	18,4,19	222	149	8.25640430532e-05	0.00031120293150821535	0.046,0.049,0.0,0.0,0.668	0.13,0.502,0.479	-0.218
7	"LOC102653761"	"LOC102653761"	chrNC_037653.1	-	4604874	4605932	4604874	4605155	4605646	4605932	7	0,8,26,18,1	2,19,21,3,26	38,26,36	8,8,20	640	149	0.000335172952577	0.0011557259957377295	0.0,0.089,0.224,0.583,0.009	0.525,0.431,0.295	-0.236
8	"LOC409777"	"LOC409777"	chrNC_037653.1	+	4603960	4604315	4603960	4604130	4604193	4604315	8	10,10,12,6,10	0,6,17,4,0	73,35,75	20,36,11	212	149	0.767864380923	1.0	1.0,0.539,0.332,0.513,1.0	0.72,0.406,0.827	0.026
9	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3302042	3301676	3301835	3301908	3302042	9	10,38,56,57,56	2,12,17,29,33	24,36,30	0,16,35	222	149	0.646514535816	1.0	0.77,0.68,0.689,0.569,0.532	1.0,0.602,0.365	-0.008
10	"LOC551165"	"LOC551165"	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3099629	3099933	10	33,340,206,242,212	0,25,13,44,30	523,613,1041	45,78,67	250	149	0.573703433568	0.9270903257019774	1.0,0.89,0.904,0.766,0.808	0.874,0.824,0.903	0.007
