ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC113219365"	"LOC113219365"	chrNW_020555864.1	+	68488	68815	68537	68815	67927	68290	0	4,49,8,7,6	0,4,0,0,0	135,21,25	15,0,1	198	149	0.00131863688209	0.004887910170957068	1.0,0.902,1.0,1.0,1.0	0.871,1.0,0.95	0.04
2	"LOC100577816"	"LOC100577816"	chrNW_020555859.1	-	437956	438140	437956	438137	438276	438508	2	31,152,27,36,9	0,12,0,0,3	439,34,253	4,0,2	152	149	0.00839136349695	0.026382271099049604	1.0,0.925,1.0,1.0,0.746	0.991,1.0,0.992	-0.06
3	"LOC100577594"	"LOC100577594"	chrNW_020555859.1	-	427131	427291	427131	427282	427678	428430	3	244,1630,561,1247,580	58,424,160,296,153	1098,995,1394	195,178,222	158	149	1.53752862149e-05	7.925201177723132e-05	0.799,0.784,0.768,0.799,0.781	0.842,0.841,0.856	-0.06
5	"LOC410658"	"LOC410658"	chrNC_037653.1	-	6689118	6689330	6689118	6689321	6690224	6690399	5	0,0,1,0,0	0,0,1,4,0	19,12,9	15,14,4	158	149	1	1.0	NA,NA,0.485,0.0,NA	0.544,0.447,0.68	-0.315
6	"LOC726021"	"LOC726021"	chrNC_037653.1	-	5188072	5188232	5188072	5188226	5188306	5190002	6	9,47,113,94,76	32,406,488,346,269	85,53,85	234,322,310	155	149	0.289581523227	0.5546848634698995	0.213,0.1,0.182,0.207,0.214	0.259,0.137,0.209	-0.018
7	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5126498	5125864	5126210	5126737	5128246	7	33,2,42,4,2	0,0,1,0,0	44,103,144	0,0,0	437	149	1	1.0	1.0,1.0,0.935,1.0,1.0	1.0,1.0,1.0	-0.013
8	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5024260	5025993	5024281	5025993	5023387	5023474	8	4,27,114,26,34	1,234,516,251,180	8,4,0	1,3,0	170	149	1	1.0	0.778,0.092,0.162,0.083,0.142	0.875,0.539,NA	-0.456
9	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5045931	5046043	5045937	5046043	5045577	5045716	9	39,592,1199,715,916	577,5356,11879,6390,8346	119,137,194	872,888,1340	155	149	0.000440168689349	0.0018166412230520583	0.061,0.096,0.088,0.097,0.095	0.116,0.129,0.122	-0.035
10	"LOC409655"	"LOC409655"	chrNC_037653.1	+	5048245	5048356	5048272	5048356	5047423	5047456	10	0,29,82,32,41	0,0,15,11,33	11,4,6	16,11,6	176	149	1	1.0	NA,1.0,0.822,0.711,0.513	0.368,0.235,0.458	0.408
11	"LOC725662"	"LOC725662"	chrNC_037653.1	-	4922538	4922753	4922538	4922732	4922887	4929705	11	51,520,310,528,320	2,25,12,23,8	462,430,569	36,32,23	170	149	0.00838049128896	0.026382271099049604	0.957,0.948,0.958,0.953,0.972	0.918,0.922,0.956	0.026
12	"LOC412608"	"LOC412608"	chrNC_037653.1	-	4859092	4859222	4859092	4859216	4859321	4859383	12	8,89,10,28,6	0,8,5,23,0	85,47,93	51,38,70	155	149	0.000867426249243	0.003371452832818262	1.0,0.914,0.658,0.539,1.0	0.616,0.543,0.561	0.249
13	"LOC412357"	"LOC412357"	chrNC_037653.1	-	4935310	4935588	4935310	4935543	4935663	4935939	13	51,477,458,502,351	0,11,9,10,2	1727,1590,2773	77,73,78	194	149	2.69547155574e-06	1.5526433277907625e-05	1.0,0.971,0.975,0.975,0.993	0.945,0.944,0.965	0.031
