ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"LOC408562"	NA	chrNC_037653.1	+	6573547	6577971	6577035	6577971	6539831	6539935
8	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5126498	5125864	5126210	5126737	5128246
11	"LOC409655"	NA	chrNC_037653.1	+	5048245	5048356	5048272	5048356	5045931	5046043
26	"LOC412031"	NA	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103103	1103160
28	"LOC412031"	NA	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103242	1103346
34	"LOC413078"	NA	chrNC_037652.1	+	9032523	9032669	9032552	9032669	9032152	9032171
35	"LOC551328"	NA	chrNC_037652.1	+	8831818	8832042	8831878	8832042	8830695	8830813
40	"LOC100577551"	NA	chrNC_037652.1	+	8045579	8047011	8045582	8047011	8045233	8045463
45	"LOC409713"	NA	chrNC_037652.1	-	7855700	7855844	7855700	7855829	7860746	7860818
52	"pHCl"	NA	chrNC_037652.1	+	7547451	7547577	7547460	7547577	7527182	7527323
72	"LOC410621"	NA	chrNC_037652.1	-	5252366	5252872	5252366	5252860	5253469	5254381
75	"LOC413032"	NA	chrNC_037652.1	-	3839160	3840221	3839160	3839687	3840302	3840688
80	"Syt20"	NA	chrNC_037653.1	-	1776423	1776583	1776423	1776568	1777055	1777945
85	"LOC551839"	NA	chrNC_037652.1	+	2548220	2548340	2548260	2548340	2547738	2547943
86	"LOC551839"	NA	chrNC_037652.1	+	2548220	2548340	2548260	2548340	2547740	2547960
96	"LOC724789"	NA	chrNC_037652.1	-	815567	815789	815567	815745	815989	816088
97	"LOC724789"	NA	chrNC_037652.1	-	815567	815789	815567	815745	816196	816330
98	"LOC724789"	NA	chrNC_037652.1	-	816196	816388	816196	816330	816532	816577
101	"LOC411466"	NA	chrNC_037652.1	+	646523	646698	646535	646698	644649	644819
105	"LOC408501"	NA	chrNC_037651.1	+	10641031	10641086	10641043	10641086	10640837	10640980
107	"LOC551446"	NA	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10608054	10608102
108	"LOC551446"	NA	chrNC_037651.1	-	10606817	10607176	10606817	10607158	10608054	10608102
109	"LOC551446"	NA	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10610668	10610755
117	"LOC727185"	NA	chrNC_037651.1	+	9966246	9966516	9966251	9966516	9964657	9964866
118	"LOC727185"	NA	chrNC_037651.1	+	9966246	9966516	9966251	9966516	9965644	9965907
119	"LOC550989"	NA	chrNC_037653.1	-	4895512	4895705	4895512	4895657	4896059	4896119
120	"LOC550989"	NA	chrNC_037653.1	-	4895512	4895657	4895512	4895643	4896817	4896904
121	"LOC550989"	NA	chrNC_037653.1	-	4895512	4895705	4895512	4895643	4896817	4896904
122	"LOC550989"	NA	chrNC_037653.1	-	4895512	4895705	4895512	4895657	4896817	4896904
127	"LOC100576251"	NA	chrNC_037651.1	-	9470630	9470834	9470630	9470822	9472321	9472534
128	"LOC100576251"	NA	chrNC_037651.1	-	9470630	9470834	9470630	9470822	9474972	9475132
130	"LOC100576251"	NA	chrNC_037651.1	-	9474972	9475132	9474972	9475105	9481392	9481422
133	"LOC100576251"	NA	chrNC_037651.1	-	9472321	9472534	9472321	9472489	9502567	9502898
134	"LOC100576251"	NA	chrNC_037651.1	-	9474972	9475132	9474972	9475105	9502567	9502898
