ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68809	68488	68721	68894	68999
1	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68815	68488	68721	68894	68999
2	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68815	68488	68809	68894	68999
3	"LOC102653753"	NA	chrNW_020555859.1	-	333193	333327	333211	333327	332941	333099
4	"LOC100578019"	NA	chrNW_020555859.1	-	35199	35439	35276	35439	34917	35016
5	"LOC100577767"	NA	chrNW_020555859.1	-	9038	9291	9115	9291	8756	8855
6	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165173	5165311
7	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165508	5165517
8	"LOC113219299"	NA	chrNC_037653.1	-	5126401	5128246	5126737	5128246	5125864	5126210
9	"LOC102655781"	NA	chrNC_037653.1	-	4739490	4739865	4739497	4739865	4737881	4739419
10	"LOC102655781"	NA	chrNC_037653.1	-	4739967	4740724	4739972	4740724	4739490	4739865
11	"LOC102653761"	NA	chrNC_037653.1	-	4606034	4606248	4606114	4606248	4604874	4605932
12	"LOC107965722"	NA	chrNC_037653.1	+	4242201	4242415	4242201	4242406	4244574	4244947
13	"LOC100577695"	NA	chrNC_037653.1	-	3301676	3302042	3301700	3302042	3301064	3301196
14	"LOC100577695"	NA	chrNC_037653.1	-	3301676	3302042	3301729	3302042	3301064	3301196
15	"LOC100577695"	NA	chrNC_037653.1	-	3301700	3302042	3301729	3302042	3301064	3301196
16	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3109363	3109543
17	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3111348	3111773
18	"LOC102655025"	NA	chrNC_037653.1	+	2900473	2900981	2900473	2900794	2902670	2902860
19	"LOC102655025"	NA	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906833	2907323
20	"LOC552100"	NA	chrNC_037653.1	-	2859016	2859246	2859037	2859246	2858187	2858325
21	"LOC552100"	NA	chrNC_037653.1	-	2859016	2859246	2859091	2859246	2858187	2858325
22	"LOC552100"	NA	chrNC_037653.1	-	2859037	2859246	2859091	2859246	2858187	2858325
23	"LOC552100"	NA	chrNC_037653.1	-	2859711	2859989	2859717	2859989	2859016	2859246
24	"LOC552100"	NA	chrNC_037653.1	-	2878838	2879070	2878879	2879070	2878223	2878677
25	"LOC413633"	NA	chrNC_037653.1	-	1539622	1539852	1539640	1539852	1536996	1537221
26	"LOC413633"	NA	chrNC_037653.1	-	1539622	1539852	1539640	1539852	1539511	1539520
27	"LOC726888"	NA	chrNC_037653.1	-	1473046	1473423	1473091	1473423	1472376	1472673
28	"LOC412031"	NA	chrNC_037653.1	-	1103103	1103160	1103128	1103160	1102299	1102348
29	"LOC412031"	NA	chrNC_037653.1	-	1103103	1103160	1103128	1103160	1102299	1102353
30	"LOC409854"	NA	chrNC_037653.1	-	1083573	1083835	1083594	1083835	1083194	1083505
31	"LOC100576563"	NA	chrNC_037653.1	-	1049318	1049693	1049363	1049693	1047862	1048233
32	"LOC411575"	NA	chrNC_037653.1	-	766270	766478	766310	766478	765426	765559
33	"LOC411525"	NA	chrNC_037653.1	-	750467	750728	750558	750728	749973	750093
34	"LOC412830"	NA	chrNC_037652.1	+	9307721	9307914	9307721	9307911	9308079	9308309
35	"LOC409681"	NA	chrNC_037652.1	+	8350365	8350552	8350365	8350489	8350677	8350810
36	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175585	8175451	8175575	8176537	8176774
37	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175829	8175451	8175575	8176537	8176774
38	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175829	8175451	8175585	8176537	8176774
39	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175585	8175451	8175575	8177361	8177605
40	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175829	8175451	8175575	8177361	8177605
41	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175829	8175451	8175585	8177361	8177605
42	"CPF2"	NA	chrNC_037652.1	+	7840908	7841251	7840908	7841092	7841734	7842089
43	"LOC726510"	NA	chrNC_037652.1	-	7800921	7801376	7800926	7801376	7800648	7800832
44	"LOC408517"	NA	chrNC_037652.1	-	7774331	7777051	7774833	7777051	7772283	7772438
45	"LOC551799"	NA	chrNC_037653.1	+	4628799	4631594	4628799	4631315	4633020	4633560
46	"LOC552708"	NA	chrNC_037652.1	-	7590514	7591104	7590601	7591104	7590165	7590428
47	"pHCl"	NA	chrNC_037652.1	+	7517528	7517779	7517528	7517617	7526389	7526454
48	"LOC725115"	NA	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7447017	7447178
49	"Dop1"	NA	chrNC_037652.1	+	7374945	7375015	7374945	7375011	7375536	7375846
50	"Dop1"	NA	chrNC_037652.1	+	7374945	7375457	7374945	7375011	7375536	7375846
51	"Dop1"	NA	chrNC_037652.1	+	7374945	7375457	7374945	7375015	7375536	7375846
52	"LOC724160"	NA	chrNC_037652.1	+	7277945	7278547	7277945	7278388	7279407	7279465
53	"LOC408528"	NA	chrNC_037652.1	+	6466815	6467085	6466815	6466918	6467627	6467841
