ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC551434"	NA	chrNW_020555859.1	-	462329	462663	460337	460460	463080	463341
1	"LOC551434"	NA	chrNW_020555859.1	-	465717	465881	463950	464130	466398	466478
2	"LOC409880"	NA	chrNW_020555859.1	+	424022	424179	423682	423936	424279	424516
3	"LOC100576967"	NA	chrNW_020555859.1	+	300956	301063	300603	300820	301177	301372
4	"LOC100578661"	NA	chrNW_020555859.1	-	206758	206975	205112	206170	207279	207445
5	"LOC100578661"	NA	chrNW_020555859.1	-	209053	209429	207279	207445	210117	210544
6	"LOC100578661"	NA	chrNW_020555859.1	-	215604	217514	213956	214054	221715	222291
7	"LOC100578661"	NA	chrNW_020555859.1	-	222682	222989	222388	222577	245110	245274
8	"LOC100578661"	NA	chrNW_020555859.1	-	247169	247369	245110	245274	250787	251528
9	"LOC100578661"	NA	chrNW_020555859.1	-	252113	252363	250787	251528	254154	254542
10	"LOC100578661"	NA	chrNW_020555859.1	-	254154	254542	252113	252363	256086	256307
11	"LOC100578661"	NA	chrNW_020555859.1	-	254154	254542	252113	252363	261627	262033
12	"LOC100578661"	NA	chrNW_020555859.1	-	256086	256307	252113	252363	261627	262033
13	"LOC100578661"	NA	chrNW_020555859.1	-	256086	256307	252113	252363	285653	285731
14	"LOC100578661"	NA	chrNW_020555859.1	-	256086	256307	254154	254542	261627	262033
15	"LOC100578661"	NA	chrNW_020555859.1	-	261627	262033	252113	252363	285653	285731
16	"LOC100578661"	NA	chrNW_020555859.1	-	261627	262033	256086	256307	285653	285731
17	"LOC100578661"	NA	chrNW_020555859.1	-	287555	287873	285653	285731	293833	293951
18	"LOC100578019"	NA	chrNW_020555859.1	-	34483	34648	33999	34139	34917	35016
19	"Y-f"	NA	chrNC_037653.1	+	7213187	7213387	7212692	7212956	7213785	7214121
20	"Y-f"	NA	chrNC_037653.1	+	7213488	7213696	7213187	7213387	7213785	7214121
21	"LOC725756"	NA	chrNC_037653.1	-	7178428	7178836	7177690	7178254	7178967	7179089
22	"LOC725756"	NA	chrNC_037653.1	-	7179869	7180041	7178967	7179089	7180455	7180683
23	"LOC725756"	NA	chrNC_037653.1	-	7180455	7180683	7178967	7179089	7181006	7181101
24	"LOC725756"	NA	chrNC_037653.1	-	7182108	7182281	7181458	7181609	7182766	7182838
25	"LOC102654640"	NA	chrNC_037653.1	+	7170468	7170966	7170215	7170387	7171090	7171564
26	"LOC413614"	NA	chrNC_037653.1	+	7140806	7140919	7139620	7139981	7141182	7141309
27	"LOC413614"	NA	chrNC_037653.1	+	7141182	7141309	7140806	7140919	7141725	7141844
28	"LOC413614"	NA	chrNC_037653.1	+	7141452	7141570	7141182	7141309	7141725	7141844
29	"LOC413614"	NA	chrNC_037653.1	+	7141725	7141844	7141182	7141309	7141930	7141999
30	"LOC113219301"	NA	chrNC_037653.1	-	7136424	7136649	7133720	7133782	7137856	7137951
31	"LOC113219301"	NA	chrNC_037653.1	-	7137856	7137951	7136424	7136649	7138389	7138581
32	"LOC408551"	NA	chrNC_037653.1	+	7011976	7012162	6992890	6993491	7021663	7021708
33	"LOC408551"	NA	chrNC_037653.1	+	7021663	7021708	7011976	7012162	7022058	7022280
34	"LOC408551"	NA	chrNC_037653.1	+	7022058	7022280	7011976	7012162	7023000	7023063
35	"LOC408551"	NA	chrNC_037653.1	+	7023000	7023063	7022058	7022280	7024110	7024350
36	"LOC408552"	NA	chrNC_037653.1	-	6985468	6985582	6984314	6984694	6985997	6986136
37	"LOC408552"	NA	chrNC_037653.1	-	6985468	6985582	6984314	6984694	6990904	6990947
38	"LOC408552"	NA	chrNC_037653.1	-	6985997	6986136	6984314	6984694	6990904	6990947
39	"LOC408552"	NA	chrNC_037653.1	-	6985997	6986136	6985468	6985582	6990904	6990947
40	"LOC408552"	NA	chrNC_037653.1	-	6985997	6986136	6985468	6985582	6991862	6992150
41	"LOC408552"	NA	chrNC_037653.1	-	6990904	6990947	6985468	6985582	6991862	6992150
42	"LOC408552"	NA	chrNC_037653.1	-	6990904	6990947	6985997	6986136	6991862	6992150
43	"LOC725204"	NA	chrNC_037653.1	-	6965835	6965905	6965327	6965456	6966236	6966319
44	"LOC725204"	NA	chrNC_037653.1	-	6965835	6965905	6965327	6965456	6968742	6968901
45	"LOC725204"	NA	chrNC_037653.1	-	6968742	6968901	6966418	6966610	6972292	6972360
46	"LOC100578001"	NA	chrNC_037653.1	+	6962602	6962735	6962023	6962387	6964512	6965101
47	"LOC102655737"	NA	chrNC_037653.1	-	6911184	6911375	6903653	6903843	6913009	6913200
48	"LOC102655737"	NA	chrNC_037653.1	-	6912043	6912278	6911846	6911947	6913009	6913200
49	"LOC102655737"	NA	chrNC_037653.1	-	6912043	6912278	6911846	6911947	6918057	6918249
50	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6903653	6903843	6914768	6914780
51	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6903653	6903843	6918057	6918249
52	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6911184	6911375	6916247	6916313
53	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6911184	6911375	6918057	6918249
54	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6911476	6911947	6918057	6918249
55	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6911953	6912278	6918057	6918249
56	"LOC102655737"	NA	chrNC_037653.1	-	6914768	6914780	6903653	6903843	6918057	6918249
57	"LOC102655737"	NA	chrNC_037653.1	-	6914768	6914780	6913009	6913200	6916247	6916313
58	"LOC102655737"	NA	chrNC_037653.1	-	6914768	6914780	6913009	6913200	6918057	6918249
59	"LOC102655737"	NA	chrNC_037653.1	-	6916247	6916313	6911184	6911375	6918057	6918249
60	"LOC102655737"	NA	chrNC_037653.1	-	6916247	6916313	6913009	6913200	6918057	6918249
61	"LOC102655737"	NA	chrNC_037653.1	-	6916247	6916313	6914768	6914780	6918057	6918249
62	"LOC102655737"	NA	chrNC_037653.1	-	6923806	6923851	6921909	6922101	6924024	6925478
63	"LOC102655737"	NA	chrNC_037653.1	-	6923806	6923854	6921909	6922101	6924024	6925478
64	"LOC102655737"	NA	chrNC_037653.1	-	6924024	6925478	6921909	6922101	6952470	6952570
65	"LOC102655737"	NA	chrNC_037653.1	-	6952470	6952570	6924024	6925478	6952848	6953297
66	"LOC408554"	NA	chrNC_037653.1	-	6788002	6788118	6787152	6787317	6789083	6789227
67	"LOC410639"	NA	chrNC_037653.1	+	6748471	6748601	6747391	6747625	6748748	6749009
68	"LOC410658"	NA	chrNC_037653.1	-	6688838	6689031	6687788	6687955	6690224	6690399
69	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689321	6688838	6689031	6690224	6690399
70	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689330	6688838	6689031	6690224	6690399
71	"LOC410658"	NA	chrNC_037653.1	-	6690224	6690399	6687788	6687955	6715112	6715157
72	"LOC410658"	NA	chrNC_037653.1	-	6690224	6690399	6689118	6689321	6690797	6691937
73	"LOC410658"	NA	chrNC_037653.1	-	6690224	6690399	6689118	6689321	6715112	6715157
74	"LOC410658"	NA	chrNC_037653.1	-	6715112	6715157	6690224	6690399	6721433	6722460
75	"LOC551652"	NA	chrNC_037653.1	-	6626935	6626988	6626523	6626689	6627151	6627284
76	"LOC551652"	NA	chrNC_037653.1	-	6626935	6627030	6626523	6626689	6627151	6627290
77	"LOC551685"	NA	chrNC_037653.1	+	6617671	6617731	6609765	6609999	6619298	6619646
78	"LOC551685"	NA	chrNC_037653.1	+	6618561	6618613	6617671	6617731	6619298	6619646
79	"LOC551685"	NA	chrNC_037653.1	+	6623685	6623846	6622839	6623482	6623923	6624079
80	"LOC408562"	NA	chrNC_037653.1	+	6539831	6539935	6456566	6461101	6573547	6574271
81	"LOC408562"	NA	chrNC_037653.1	+	6539831	6539935	6456566	6461101	6600321	6600463
82	"LOC408562"	NA	chrNC_037653.1	+	6573547	6574271	6456566	6461101	6600321	6600463
83	"LOC408562"	NA	chrNC_037653.1	+	6573547	6574271	6539831	6539935	6577035	6577971
84	"LOC408562"	NA	chrNC_037653.1	+	6573547	6574271	6539831	6539935	6600321	6600463
85	"LOC408562"	NA	chrNC_037653.1	+	6573547	6574271	6539831	6539935	6601192	6601303
86	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6539831	6539935	6601192	6601303
87	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6539831	6539935	6603580	6603628
88	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6573547	6574271	6601192	6601303
89	"LOC408562"	NA	chrNC_037653.1	+	6601192	6601303	6539831	6539935	6603580	6603628
90	"LOC408562"	NA	chrNC_037653.1	+	6601192	6601303	6600321	6600463	6603580	6603628
91	"LOC408562"	NA	chrNC_037653.1	+	6603580	6603628	6601192	6601303	6603705	6603788
92	"LOC408562"	NA	chrNC_037653.1	+	6603705	6603788	6601192	6601303	6606044	6606173
93	"LOC408562"	NA	chrNC_037653.1	+	6604070	6604133	6603705	6603788	6606044	6606173
94	"LOC100578474"	NA	chrNC_037653.1	+	6421612	6421725	6402003	6404682	6455803	6455903
95	"LOC413407"	NA	chrNC_037653.1	+	6296668	6297663	6296199	6296477	6298117	6298296
96	"LOC413408"	NA	chrNC_037653.1	-	6276628	6277630	6267059	6267151	6288806	6289809
97	"LOC410655"	NA	chrNC_037653.1	-	6019402	6019447	6012316	6012382	6019873	6020023
98	"LOC410655"	NA	chrNC_037653.1	-	6019873	6020023	6012316	6012382	6023725	6023863
99	"LOC410655"	NA	chrNC_037653.1	-	6072661	6072756	6039414	6039608	6226183	6226354
100	"LOC408561"	NA	chrNC_037653.1	-	5876962	5877011	5876605	5876690	5878545	5878627
101	"LOC408561"	NA	chrNC_037653.1	-	5876962	5877011	5876605	5876690	5890137	5890314
102	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5876605	5876690	5890137	5890314
103	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5876962	5877011	5880614	5880732
104	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5876962	5877011	5890137	5890314
105	"LOC408561"	NA	chrNC_037653.1	-	5880614	5880732	5878545	5878627	5880806	5880936
106	"LOC408561"	NA	chrNC_037653.1	-	5880806	5880936	5878545	5878627	5890137	5890453
107	"LOC408561"	NA	chrNC_037653.1	-	5881604	5881762	5880806	5880936	5890137	5890314
108	"LOC726437"	NA	chrNC_037653.1	+	5872737	5872871	5871992	5872363	5873338	5873484
109	"LOC726437"	NA	chrNC_037653.1	+	5872979	5873113	5872737	5872871	5873338	5873484
110	"LOC550708"	NA	chrNC_037653.1	-	5802397	5802549	5290329	5290549	5860365	5860563
111	"LOC411815"	NA	chrNC_037653.1	-	5277433	5277619	5277083	5277339	5278121	5278358
112	"LOC411815"	NA	chrNC_037653.1	-	5277808	5278004	5277433	5277619	5278121	5278358
113	"LOC552113"	NA	chrNC_037653.1	-	5246516	5246674	5246163	5246317	5247019	5247157
114	"LOC552113"	NA	chrNC_037653.1	-	5247019	5247157	5246516	5246674	5247240	5247381
115	"LOC552113"	NA	chrNC_037653.1	-	5249995	5250233	5248300	5248532	5251448	5251599
116	"LOC552113"	NA	chrNC_037653.1	-	5251787	5252001	5251448	5251599	5257044	5257061
117	"LOC552113"	NA	chrNC_037653.1	-	5251787	5252001	5251448	5251599	5257876	5258073
118	"LOC113219314"	NA	chrNC_037653.1	+	5230205	5230406	5228753	5228982	5231203	5231552
119	"LOC113219314"	NA	chrNC_037653.1	+	5230205	5230406	5229357	5229598	5231203	5231552
