ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC113219365"	NA	chrNW_020555864.1	+	67927	68290	66886	67095	68488	68721	0	5,40,12,7,6	0,0,0,0,0	129,12,22	2,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0,1.0	0.97,1.0,1.0	0.01
1	"LOC551434"	NA	chrNW_020555859.1	-	462329	462663	460337	460460	463080	463341	1	82,941,576,705,615	0,0,0,0,0	1585,1273,2356	4,26,11	298	149	0.045990842227	0.16515946932463818	1.0,1.0,1.0,1.0,1.0	0.995,0.961,0.991	0.018
2	"LOC551434"	NA	chrNW_020555859.1	-	465717	465881	463950	464130	466398	466478	2	38,598,144,130,215	1,7,0,0,0	666,230,850	0,0,2	298	149	1	1.0	0.95,0.977,1.0,1.0,1.0	1.0,1.0,0.995	-0.013
3	"LOC409880"	NA	chrNW_020555859.1	+	424022	424179	423682	423936	424279	424516	3	117,1364,670,813,519	0,6,0,0,0	2169,1410,2746	0,0,0	298	149	1	1.0	1.0,0.991,1.0,1.0,1.0	1.0,1.0,1.0	-0.002
4	"LOC100578661"	NA	chrNW_020555859.1	-	209053	209429	207279	207445	210117	210544	4	57,320,177,198,154	0,0,0,0,0	450,198,387	46,2,15	298	149	1.55431223448e-15	1.8824570482891276e-14	1.0,1.0,1.0,1.0,1.0	0.83,0.98,0.928	0.087
5	"LOC100578661"	NA	chrNW_020555859.1	-	210117	210544	207279	207445	213956	214054	5	12,75,9,28,13	4,0,0,0,0	258,7,56	0,0,0	298	149	0.567881957345	1.0	0.6,1.0,1.0,1.0,1.0	1.0,1.0,1.0	-0.08
6	"LOC100578661"	NA	chrNW_020555859.1	-	222682	222989	222388	222577	245110	245274	6	28,204,13,68,17	0,0,0,0,0	174,21,178	6,0,1	298	149	0.184821356745	0.5892300562446393	1.0,1.0,1.0,1.0,1.0	0.935,1.0,0.989	0.025
7	"LOC100578661"	NA	chrNW_020555859.1	-	261627	262033	252113	252363	285653	285731	7	6,106,22,40,6	2,1,0,0,4	104,4,70	0,0,0	298	149	0.105011752082	0.3513609806993313	0.6,0.981,1.0,1.0,0.429	1.0,1.0,1.0	-0.198
8	"LOC100578661"	NA	chrNW_020555859.1	-	261627	262033	256086	256307	285653	285731	8	50,200,60,59,9	4,6,0,2,0	169,7,125	0,0,2	298	149	0.0115445224182	0.04571032134143047	0.862,0.943,1.0,0.937,1.0	1.0,1.0,0.969	-0.041
9	"LOC725756"	NA	chrNC_037653.1	-	7178428	7178836	7177690	7178254	7178967	7179089	9	28,185,142,90,216	0,2,0,0,2	44,37,66	0,0,0	298	149	1	1.0	1.0,0.979,1.0,1.0,0.982	1.0,1.0,1.0	-0.008
10	"LOC413614"	NA	chrNC_037653.1	+	7140806	7140919	7139620	7139981	7141182	7141309	10	203,2542,551,1055,287	0,0,0,0,0	2214,724,2128	0,2,0	262	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.995,1.0	0.002
11	"LOC413614"	NA	chrNC_037653.1	+	7141452	7141570	7141182	7141309	7141725	7141844	11	331,4154,1767,2746,1302	0,0,1,0,0	2400,2165,4063	0,0,8	267	149	1	1.0	1.0,1.0,0.999,1.0,1.0	1.0,1.0,0.996	0.001
