ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC410658"	"LOC410658"	chrNC_037653.1	-	6721433	6724151	6721433	6722460	6723911	6724151
1	"LOC408562"	"LOC408562"	chrNC_037653.1	+	6573547	6577971	6573547	6574271	6577035	6577971
2	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126401	5128246
3	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126210	5126737	5128246
4	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5125864	5128246	5125864	5126498	5126737	5128246
5	"LOC102655781"	"LOC102655781"	chrNC_037653.1	-	4737881	4739419	4737881	4739082	4739159	4739419
6	"LOC100577317"	"LOC100577317"	chrNC_037653.1	+	4687311	4687703	4687311	4687424	4687497	4687703
7	"LOC102653761"	"LOC102653761"	chrNC_037653.1	-	4604874	4605932	4604874	4605155	4605646	4605932
8	"LOC409777"	"LOC409777"	chrNC_037653.1	+	4603960	4604315	4603960	4604130	4604193	4604315
9	"LOC100577695"	"LOC100577695"	chrNC_037653.1	-	3301676	3302042	3301676	3301835	3301908	3302042
10	"LOC551165"	"LOC551165"	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3099629	3099933
11	"LOC102655025"	"LOC102655025"	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906092	2906131
12	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878838	2879070
13	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878879	2879070
14	"LOC725251"	"LOC725251"	chrNC_037653.1	+	2823341	2825809	2823341	2823729	2823804	2825809
15	"LOC413534"	"LOC413534"	chrNC_037653.1	+	1249935	1250292	1249935	1250014	1250191	1250292
16	"LOC413532"	"LOC413532"	chrNC_037653.1	+	1184460	1185296	1184460	1184706	1184795	1185296
17	"LOC107965756"	"LOC107965756"	chrNC_037653.1	-	323540	324093	323540	323981	324062	324093
18	"LOC411646"	"LOC411646"	chrNC_037652.1	+	9394320	9394656	9394320	9394420	9394495	9394656
19	"LOC412789"	"LOC412789"	chrNC_037652.1	+	7886779	7887198	7886779	7886850	7886982	7887198
20	"LOC726548"	"LOC726548"	chrNC_037652.1	-	7819715	7820773	7819715	7820406	7820472	7820773
21	"LOC408517"	"LOC408517"	chrNC_037652.1	-	7774331	7777053	7774331	7774545	7774833	7777053
